Ensembl Gene ID	Ensembl Transcript ID	Microbat Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSMLUP00000010169
ENSG00000005884	ENST00000007722	ENSMLUP00000004615
ENSG00000019582	ENST00000009530	ENSMLUP00000022167
ENSG00000010610	ENST00000011653	ENSMLUP00000020857
ENSG00000013588	ENST00000014914	ENSMLUP00000002880
ENSG00000080293	ENST00000019103	ENSMLUP00000003678
ENSG00000022355	ENST00000023897	ENSMLUP00000012721
ENSG00000048462	ENST00000053243	ENSMLUP00000000583
ENSG00000054967	ENST00000064780	ENSMLUP00000011697
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	ENSMLUP00000012991
ENSG00000008300	ENST00000164024	ENSMLUP00000006922
ENSG00000070886	ENST00000166244	ENSMLUP00000002845
ENSG00000064300	ENST00000172229	ENSMLUP00000017790
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSMLUP00000005196
ENSG00000089692	ENST00000203629	ENSMLUP00000012548
ENSG00000092096	ENST00000206544	ENSMLUP00000015686
ENSG00000094661	ENST00000209540	ENSMLUP00000018884
ENSG00000069702	ENST00000212355	ENSMLUP00000009500
ENSG00000100385	ENST00000216223	ENSMLUP00000020028
ENSG00000100739	ENST00000216629	
ENSG00000101890	ENST00000218006	ENSMLUP00000016564
ENSG00000101958	ENST00000218075	ENSMLUP00000013908
ENSG00000102195	ENST00000218316	ENSMLUP00000011824
ENSG00000102539	ENST00000218721	ENSMLUP00000019858
ENSG00000103310	ENST00000219593	ENSMLUP00000004678
ENSG00000104332	ENST00000220772	ENSMLUP00000013202
ENSG00000104870	ENST00000221466	
ENSG00000105369	ENST00000221972	ENSMLUP00000005615
ENSG00000187266	ENST00000222139	ENSMLUP00000014829
ENSG00000105855	ENST00000222573	ENSMLUP00000008114
ENSG00000106327	ENST00000223051	ENSMLUP00000009161
ENSG00000107779	ENST00000224764	ENSMLUP00000009075
ENSG00000083454	ENST00000225328	ENSMLUP00000015574
ENSG00000108405	ENST00000225538	ENSMLUP00000015280
ENSG00000108947	ENST00000226091	ENSMLUP00000016525
ENSG00000004468	ENST00000226279	ENSMLUP00000008503
ENSG00000109163	ENST00000226413	ENSMLUP00000008258
ENSG00000110324	ENST00000227752	
ENSG00000110848	ENST00000228434	ENSMLUP00000012793
ENSG00000111291	ENST00000228887	ENSMLUP00000002887
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSMLUP00000020433
ENSG00000111796	ENST00000229402	
ENSG00000204252	ENST00000229829	
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSMLUP00000000115
ENSG00000113070	ENST00000230990	ENSMLUP00000002821
ENSG00000113262	ENST00000231188	ENSMLUP00000020142
ENSG00000115602	ENST00000233954	ENSMLUP00000001306
ENSG00000116014	ENST00000234371	ENSMLUP00000010627
ENSG00000116032	ENST00000234389	ENSMLUP00000010674
ENSG00000116329	ENST00000234961	ENSMLUP00000011451
ENSG00000119686	ENST00000238667	ENSMLUP00000012161
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSMLUP00000008346
ENSG00000120659	ENST00000239849	ENSMLUP00000008022
ENSG00000213809	ENST00000240618	ENSMLUP00000001908
ENSG00000121853	ENST00000241256	ENSMLUP00000000008
ENSG00000121989	ENST00000241416	ENSMLUP00000005926
ENSG00000122025	ENST00000241453	ENSMLUP00000002354
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSMLUP00000008436
ENSG00000123384	ENST00000243077	ENSMLUP00000006361
ENSG00000123612	ENST00000243349	ENSMLUP00000002211
ENSG00000123901	ENST00000243673	ENSMLUP00000015477
ENSG00000124089	ENST00000243911	ENSMLUP00000008678
ENSG00000124334	ENST00000244174	ENSMLUP00000016912
ENSG00000124557	ENST00000244513	ENSMLUP00000010967
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSMLUP00000003563
ENSG00000125384	ENST00000245457	ENSMLUP00000016287
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSMLUP00000010179
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	ENSMLUP00000010468
ENSG00000126262	ENST00000246549	ENSMLUP00000011278
ENSG00000126266	ENST00000246553	ENSMLUP00000021941
ENSG00000126353	ENST00000246657	ENSMLUP00000007233
ENSG00000127364	ENST00000247881	ENSMLUP00000021022
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSMLUP00000019067
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSMLUP00000012674
ENSG00000127780	ENST00000248384	ENSMLUP00000018199
ENSG00000127780	ENST00000248384	ENSMLUP00000021076
ENSG00000127780	ENST00000248384	ENSMLUP00000016498
ENSG00000127780	ENST00000248384	ENSMLUP00000017077
ENSG00000127780	ENST00000248384	ENSMLUP00000014837
ENSG00000127780	ENST00000248384	ENSMLUP00000006200
ENSG00000127780	ENST00000248384	ENSMLUP00000020744
ENSG00000128285	ENST00000249016	ENSMLUP00000003251
ENSG00000128310	ENST00000249041	ENSMLUP00000021107
ENSG00000128519	ENST00000249284	ENSMLUP00000018917
ENSG00000128602	ENST00000249373	ENSMLUP00000000880
ENSG00000128617	ENST00000249389	ENSMLUP00000001208
ENSG00000129048	ENST00000249887	ENSMLUP00000000746
ENSG00000129749	ENST00000250699	ENSMLUP00000012363
ENSG00000130164	ENST00000252444	ENSMLUP00000004102
ENSG00000130202	ENST00000252483	ENSMLUP00000022261
ENSG00000130234	ENST00000252519	ENSMLUP00000016146
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSMLUP00000003738
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	ENSMLUP00000009906
ENSG00000131477	ENST00000253796	ENSMLUP00000019702
ENSG00000132329	ENST00000254661	ENSMLUP00000001833
ENSG00000132334	ENST00000254667	ENSMLUP00000022265
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	ENSMLUP00000015875
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSMLUP00000004606
ENSG00000133019	ENST00000255380	ENSMLUP00000020531
ENSG00000133800	ENST00000256178	ENSMLUP00000005656
ENSG00000134061	ENST00000256447	ENSMLUP00000014486
ENSG00000134243	ENST00000256637	ENSMLUP00000007732
ENSG00000134250	ENST00000256646	ENSMLUP00000002778
ENSG00000134489	ENST00000256906	
ENSG00000134640	ENST00000257068	ENSMLUP00000010580
ENSG00000134817	ENST00000257254	ENSMLUP00000006504
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSMLUP00000006167
ENSG00000135409	ENST00000257863	ENSMLUP00000015778
ENSG00000135424	ENST00000257879	ENSMLUP00000009474
ENSG00000135577	ENST00000258042	ENSMLUP00000006942
ENSG00000135902	ENST00000258385	ENSMLUP00000010218
ENSG00000135914	ENST00000258400	ENSMLUP00000004764
ENSG00000135960	ENST00000258443	ENSMLUP00000007032
ENSG00000135973	ENST00000258456	ENSMLUP00000012195
ENSG00000136040	ENST00000258526	ENSMLUP00000002655
ENSG00000136834	ENST00000259357	ENSMLUP00000011675
ENSG00000136839	ENST00000259362	ENSMLUP00000017651
ENSG00000136928	ENST00000259455	ENSMLUP00000004438
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSMLUP00000005751
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	ENSMLUP00000017999
ENSG00000137462	ENST00000260010	ENSMLUP00000019973
ENSG00000149305	ENST00000260191	ENSMLUP00000007811
ENSG00000137642	ENST00000260197	ENSMLUP00000018783
ENSG00000138271	ENST00000260843	ENSMLUP00000010440
ENSG00000138435	ENST00000261007	ENSMLUP00000014303
ENSG00000138448	ENST00000261023	ENSMLUP00000007049
ENSG00000069431	ENST00000261200	ENSMLUP00000004617
ENSG00000069493	ENST00000261340	
