ENSG00000003056	ENST00000000412	ENSDNOP00000002730
ENSG00000005884	ENST00000007722	ENSDNOP00000014959
ENSG00000019582	ENST00000009530	ENSDNOP00000009663
ENSG00000010610	ENST00000011653	ENSDNOP00000001713
ENSG00000013588	ENST00000014914	ENSDNOP00000014636
ENSG00000080293	ENST00000019103	
ENSG00000022355	ENST00000023897	ENSDNOP00000005906
ENSG00000048462	ENST00000053243	
ENSG00000054967	ENST00000064780	ENSDNOP00000017467
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	ENSDNOP00000005147
ENSG00000008300	ENST00000164024	
ENSG00000070886	ENST00000166244	
ENSG00000064300	ENST00000172229	ENSDNOP00000012823
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSDNOP00000002012
ENSG00000089692	ENST00000203629	ENSDNOP00000001888
ENSG00000092096	ENST00000206544	
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSDNOP00000006470
ENSG00000100385	ENST00000216223	
ENSG00000100739	ENST00000216629	
ENSG00000101890	ENST00000218006	
ENSG00000101958	ENST00000218075	ENSDNOP00000004821
ENSG00000102195	ENST00000218316	ENSDNOP00000012808
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSDNOP00000003138
ENSG00000104332	ENST00000220772	
ENSG00000104870	ENST00000221466	
ENSG00000105369	ENST00000221972	ENSDNOP00000010593
ENSG00000187266	ENST00000222139	
ENSG00000105855	ENST00000222573	ENSDNOP00000007522
ENSG00000106327	ENST00000223051	
ENSG00000107779	ENST00000224764	ENSDNOP00000012950
ENSG00000083454	ENST00000225328	
ENSG00000108405	ENST00000225538	ENSDNOP00000011165
ENSG00000108947	ENST00000226091	
ENSG00000004468	ENST00000226279	ENSDNOP00000004855
ENSG00000109163	ENST00000226413	ENSDNOP00000012754
ENSG00000110324	ENST00000227752	
ENSG00000110848	ENST00000228434	ENSDNOP00000009259
ENSG00000111291	ENST00000228887	ENSDNOP00000015544
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSDNOP00000000145
ENSG00000111796	ENST00000229402	ENSDNOP00000003208
ENSG00000204252	ENST00000229829	ENSDNOP00000008574
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSDNOP00000006788
ENSG00000113070	ENST00000230990	ENSDNOP00000011572
ENSG00000113262	ENST00000231188	ENSDNOP00000007873
ENSG00000115602	ENST00000233954	ENSDNOP00000000128
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	ENSDNOP00000009514
ENSG00000116329	ENST00000234961	
ENSG00000119686	ENST00000238667	ENSDNOP00000013722
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSDNOP00000017316
ENSG00000120659	ENST00000239849	ENSDNOP00000005356
ENSG00000121853	ENST00000241256	ENSDNOP00000016156
ENSG00000121989	ENST00000241416	ENSDNOP00000007579
ENSG00000122025	ENST00000241453	ENSDNOP00000001232
ENSG00000122679	ENST00000242249	ENSDNOP00000000526
ENSG00000123146	ENST00000242786	ENSDNOP00000014555
ENSG00000123384	ENST00000243077	ENSDNOP00000016147
ENSG00000123612	ENST00000243349	ENSDNOP00000003295
ENSG00000123901	ENST00000243673	
ENSG00000124089	ENST00000243911	
ENSG00000124334	ENST00000244174	
ENSG00000124557	ENST00000244513	ENSDNOP00000000254
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSDNOP00000017647
ENSG00000125384	ENST00000245457	ENSDNOP00000011613
ENSG00000125810	ENST00000246006	ENSDNOP00000001234
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	
