Ensembl Gene ID	Ensembl Transcript ID	Sloth Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSCHOP00000005153
ENSG00000005884	ENST00000007722	
ENSG00000019582	ENST00000009530	ENSCHOP00000005161
ENSG00000010610	ENST00000011653	
ENSG00000013588	ENST00000014914	
ENSG00000080293	ENST00000019103	ENSCHOP00000001261
ENSG00000022355	ENST00000023897	ENSCHOP00000009429
ENSG00000048462	ENST00000053243	ENSCHOP00000003098
ENSG00000054967	ENST00000064780	
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	
ENSG00000008300	ENST00000164024	
ENSG00000070886	ENST00000166244	
ENSG00000064300	ENST00000172229	
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	
ENSG00000089692	ENST00000203629	
ENSG00000092096	ENST00000206544	
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSCHOP00000009341
ENSG00000100385	ENST00000216223	
ENSG00000100739	ENST00000216629	
ENSG00000101890	ENST00000218006	
ENSG00000101958	ENST00000218075	ENSCHOP00000002483
ENSG00000102195	ENST00000218316	
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSCHOP00000001137
ENSG00000104332	ENST00000220772	ENSCHOP00000005824
ENSG00000104870	ENST00000221466	
ENSG00000105369	ENST00000221972	
ENSG00000187266	ENST00000222139	
ENSG00000105855	ENST00000222573	ENSCHOP00000004441
ENSG00000106327	ENST00000223051	
ENSG00000107779	ENST00000224764	ENSCHOP00000005597
ENSG00000083454	ENST00000225328	
ENSG00000108405	ENST00000225538	
ENSG00000108947	ENST00000226091	
ENSG00000004468	ENST00000226279	ENSCHOP00000007774
ENSG00000109163	ENST00000226413	ENSCHOP00000002447
ENSG00000110324	ENST00000227752	ENSCHOP00000006295
ENSG00000110848	ENST00000228434	ENSCHOP00000005585
ENSG00000111291	ENST00000228887	ENSCHOP00000000099
ENSG00000111432	ENST00000229030	ENSCHOP00000002761
ENSG00000111729	ENST00000229332	
ENSG00000111796	ENST00000229402	ENSCHOP00000008663
ENSG00000204252	ENST00000229829	ENSCHOP00000001518
ENSG00000112459	ENST00000230221	
