Ensembl Gene ID	Ensembl Transcript ID	Platypus Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSOANP00000002506
ENSG00000005884	ENST00000007722	ENSOANP00000000978
ENSG00000019582	ENST00000009530	ENSOANP00000003656
ENSG00000010610	ENST00000011653	ENSOANP00000010475
ENSG00000013588	ENST00000014914	ENSOANP00000002642
ENSG00000080293	ENST00000019103	
ENSG00000022355	ENST00000023897	ENSOANP00000005722
ENSG00000048462	ENST00000053243	ENSOANP00000021779
ENSG00000054967	ENST00000064780	
ENSG00000070985	ENST00000155858	ENSOANP00000027541
ENSG00000067182	ENST00000162749	ENSOANP00000016848
ENSG00000008300	ENST00000164024	ENSOANP00000002934
ENSG00000070886	ENST00000166244	ENSOANP00000011286
ENSG00000064300	ENST00000172229	ENSOANP00000000716
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	
ENSG00000089692	ENST00000203629	ENSOANP00000027404
ENSG00000092096	ENST00000206544	
ENSG00000094661	ENST00000209540	ENSOANP00000008136
ENSG00000094661	ENST00000209540	ENSOANP00000015549
ENSG00000094661	ENST00000209540	ENSOANP00000012364
ENSG00000069702	ENST00000212355	ENSOANP00000009337
ENSG00000069702	ENST00000212355	ENSOANP00000017681
ENSG00000100385	ENST00000216223	ENSOANP00000021474
ENSG00000100739	ENST00000216629	ENSOANP00000010512
ENSG00000101890	ENST00000218006	ENSOANP00000001775
ENSG00000101958	ENST00000218075	ENSOANP00000004142
ENSG00000102195	ENST00000218316	
ENSG00000102539	ENST00000218721	ENSOANP00000024494
ENSG00000103310	ENST00000219593	ENSOANP00000010947
ENSG00000103310	ENST00000219593	ENSOANP00000003525
ENSG00000104332	ENST00000220772	
ENSG00000104870	ENST00000221466	
ENSG00000105369	ENST00000221972	
ENSG00000187266	ENST00000222139	ENSOANP00000006895
ENSG00000105855	ENST00000222573	ENSOANP00000011960
ENSG00000106327	ENST00000223051	
ENSG00000107779	ENST00000224764	ENSOANP00000014182
ENSG00000083454	ENST00000225328	ENSOANP00000020076
ENSG00000108405	ENST00000225538	ENSOANP00000005479
ENSG00000108947	ENST00000226091	
ENSG00000004468	ENST00000226279	ENSOANP00000025530
ENSG00000109163	ENST00000226413	ENSOANP00000006286
ENSG00000109163	ENST00000226413	ENSOANP00000020534
ENSG00000110324	ENST00000227752	ENSOANP00000028537
ENSG00000110848	ENST00000228434	ENSOANP00000027579
ENSG00000111291	ENST00000228887	ENSOANP00000010517
ENSG00000111432	ENST00000229030	ENSOANP00000001459
ENSG00000111729	ENST00000229332	
ENSG00000111796	ENST00000229402	
ENSG00000204252	ENST00000229829	
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSOANP00000027626
ENSG00000113070	ENST00000230990	ENSOANP00000021063
ENSG00000113262	ENST00000231188	ENSOANP00000022980
ENSG00000115602	ENST00000233954	ENSOANP00000017688
ENSG00000116014	ENST00000234371	ENSOANP00000012518
ENSG00000116032	ENST00000234389	ENSOANP00000012921
ENSG00000116329	ENST00000234961	
ENSG00000119686	ENST00000238667	ENSOANP00000008041
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSOANP00000009086
ENSG00000120659	ENST00000239849	ENSOANP00000007357
ENSG00000213809	ENST00000240618	ENSOANP00000006473
ENSG00000213809	ENST00000240618	ENSOANP00000026770
ENSG00000213809	ENST00000240618	ENSOANP00000017145
ENSG00000213809	ENST00000240618	ENSOANP00000003763
ENSG00000213809	ENST00000240618	ENSOANP00000004556
ENSG00000213809	ENST00000240618	ENSOANP00000025420
ENSG00000213809	ENST00000240618	ENSOANP00000028853
ENSG00000213809	ENST00000240618	ENSOANP00000017146
ENSG00000213809	ENST00000240618	ENSOANP00000017149
ENSG00000213809	ENST00000240618	ENSOANP00000006472
ENSG00000213809	ENST00000240618	ENSOANP00000028267
ENSG00000213809	ENST00000240618	ENSOANP00000028637
ENSG00000213809	ENST00000240618	ENSOANP00000027587
ENSG00000213809	ENST00000240618	ENSOANP00000026986
ENSG00000213809	ENST00000240618	ENSOANP00000026979
ENSG00000213809	ENST00000240618	ENSOANP00000019614
ENSG00000213809	ENST00000240618	ENSOANP00000017144
ENSG00000213809	ENST00000240618	ENSOANP00000026981
ENSG00000213809	ENST00000240618	ENSOANP00000019612
ENSG00000213809	ENST00000240618	ENSOANP00000017148
