Ensembl Gene ID	Ensembl Transcript ID	Pika Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSOPRP00000000609
ENSG00000005884	ENST00000007722	ENSOPRP00000011964
ENSG00000019582	ENST00000009530	ENSOPRP00000007692
ENSG00000010610	ENST00000011653	ENSOPRP00000003439
ENSG00000013588	ENST00000014914	ENSOPRP00000013195
ENSG00000080293	ENST00000019103	
ENSG00000022355	ENST00000023897	ENSOPRP00000009317
ENSG00000048462	ENST00000053243	ENSOPRP00000013015
ENSG00000054967	ENST00000064780	ENSOPRP00000008370
ENSG00000070985	ENST00000155858	ENSOPRP00000011617
ENSG00000067182	ENST00000162749	ENSOPRP00000011324
ENSG00000008300	ENST00000164024	ENSOPRP00000010557
ENSG00000070886	ENST00000166244	ENSOPRP00000002903
ENSG00000064300	ENST00000172229	ENSOPRP00000000802
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSOPRP00000013490
ENSG00000085514	ENST00000198536	ENSOPRP00000003325
ENSG00000089692	ENST00000203629	ENSOPRP00000003416
ENSG00000092096	ENST00000206544	ENSOPRP00000015054
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSOPRP00000002934
ENSG00000100385	ENST00000216223	ENSOPRP00000012966
ENSG00000100739	ENST00000216629	
ENSG00000101890	ENST00000218006	ENSOPRP00000013406
ENSG00000101958	ENST00000218075	
ENSG00000102195	ENST00000218316	
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSOPRP00000010520
ENSG00000104332	ENST00000220772	
ENSG00000104870	ENST00000221466	ENSOPRP00000013280
ENSG00000105369	ENST00000221972	ENSOPRP00000002677
ENSG00000187266	ENST00000222139	ENSOPRP00000000183
ENSG00000105855	ENST00000222573	ENSOPRP00000010580
ENSG00000106327	ENST00000223051	ENSOPRP00000013779
ENSG00000107779	ENST00000224764	ENSOPRP00000013598
ENSG00000083454	ENST00000225328	ENSOPRP00000000085
ENSG00000108405	ENST00000225538	ENSOPRP00000010362
ENSG00000108947	ENST00000226091	ENSOPRP00000005923
ENSG00000004468	ENST00000226279	ENSOPRP00000004784
ENSG00000109163	ENST00000226413	ENSOPRP00000007295
ENSG00000110324	ENST00000227752	ENSOPRP00000002829
ENSG00000110848	ENST00000228434	ENSOPRP00000015340
ENSG00000111291	ENST00000228887	ENSOPRP00000013205
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	
ENSG00000111796	ENST00000229402	
ENSG00000204252	ENST00000229829	ENSOPRP00000006822
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSOPRP00000015149
ENSG00000113070	ENST00000230990	ENSOPRP00000006083
ENSG00000113262	ENST00000231188	ENSOPRP00000008292
ENSG00000115602	ENST00000233954	ENSOPRP00000005503
ENSG00000116014	ENST00000234371	ENSOPRP00000013381
ENSG00000116032	ENST00000234389	ENSOPRP00000006927
ENSG00000116329	ENST00000234961	ENSOPRP00000006775
ENSG00000119686	ENST00000238667	ENSOPRP00000010996
ENSG00000119973	ENST00000239032	
