Ensembl Gene ID	Ensembl Transcript ID	Horse Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSECAP00000019515
ENSG00000005884	ENST00000007722	ENSECAP00000013928
ENSG00000019582	ENST00000009530	ENSECAP00000006710
ENSG00000010610	ENST00000011653	ENSECAP00000007248
ENSG00000013588	ENST00000014914	ENSECAP00000012545
ENSG00000080293	ENST00000019103	ENSECAP00000016427
ENSG00000022355	ENST00000023897	ENSECAP00000005089
ENSG00000048462	ENST00000053243	ENSECAP00000017935
ENSG00000054967	ENST00000064780	ENSECAP00000005580
ENSG00000070985	ENST00000155858	ENSECAP00000022358
ENSG00000067182	ENST00000162749	ENSECAP00000014162
ENSG00000008300	ENST00000164024	ENSECAP00000014231
ENSG00000070886	ENST00000166244	ENSECAP00000020293
ENSG00000064300	ENST00000172229	ENSECAP00000015435
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSECAP00000018545
ENSG00000089692	ENST00000203629	ENSECAP00000002333
ENSG00000092096	ENST00000206544	ENSECAP00000011006
ENSG00000094661	ENST00000209540	ENSECAP00000003730
ENSG00000069702	ENST00000212355	ENSECAP00000017479
ENSG00000100385	ENST00000216223	ENSECAP00000013760
ENSG00000100739	ENST00000216629	ENSECAP00000003974
ENSG00000101890	ENST00000218006	ENSECAP00000011607
ENSG00000101958	ENST00000218075	ENSECAP00000011534
ENSG00000102195	ENST00000218316	ENSECAP00000019646
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSECAP00000017894
ENSG00000104332	ENST00000220772	ENSECAP00000018832
ENSG00000104870	ENST00000221466	ENSECAP00000002663
ENSG00000105369	ENST00000221972	ENSECAP00000005291
ENSG00000187266	ENST00000222139	ENSECAP00000006353
ENSG00000105855	ENST00000222573	ENSECAP00000016855
ENSG00000106327	ENST00000223051	ENSECAP00000022296
ENSG00000107779	ENST00000224764	ENSECAP00000018155
ENSG00000083454	ENST00000225328	ENSECAP00000022248
ENSG00000108405	ENST00000225538	ENSECAP00000008233
ENSG00000108947	ENST00000226091	ENSECAP00000006343
ENSG00000004468	ENST00000226279	ENSECAP00000018257
ENSG00000109163	ENST00000226413	ENSECAP00000004001
ENSG00000110324	ENST00000227752	ENSECAP00000012730
