ENSG00000003056	ENST00000000412	ENSPVAP00000011494
ENSG00000005884	ENST00000007722	ENSPVAP00000006476
ENSG00000019582	ENST00000009530	ENSPVAP00000005128
ENSG00000010610	ENST00000011653	ENSPVAP00000012922
ENSG00000013588	ENST00000014914	ENSPVAP00000014060
ENSG00000080293	ENST00000019103	ENSPVAP00000013528
ENSG00000022355	ENST00000023897	ENSPVAP00000008352
ENSG00000048462	ENST00000053243	ENSPVAP00000004733
ENSG00000054967	ENST00000064780	ENSPVAP00000008366
ENSG00000070985	ENST00000155858	ENSPVAP00000013402
ENSG00000067182	ENST00000162749	ENSPVAP00000011837
ENSG00000008300	ENST00000164024	ENSPVAP00000006287
ENSG00000070886	ENST00000166244	ENSPVAP00000008136
ENSG00000064300	ENST00000172229	ENSPVAP00000004138
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSPVAP00000011303
ENSG00000089692	ENST00000203629	ENSPVAP00000012921
ENSG00000092096	ENST00000206544	ENSPVAP00000004989
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSPVAP00000007097
ENSG00000100385	ENST00000216223	ENSPVAP00000014887
ENSG00000100739	ENST00000216629	ENSPVAP00000006172
ENSG00000101890	ENST00000218006	ENSPVAP00000002865
ENSG00000101958	ENST00000218075	ENSPVAP00000001830
ENSG00000102195	ENST00000218316	ENSPVAP00000009507
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSPVAP00000001054
ENSG00000104332	ENST00000220772	ENSPVAP00000014114
ENSG00000104870	ENST00000221466	ENSPVAP00000010330
ENSG00000105369	ENST00000221972	ENSPVAP00000008474
ENSG00000187266	ENST00000222139	ENSPVAP00000014027
ENSG00000105855	ENST00000222573	ENSPVAP00000011566
ENSG00000106327	ENST00000223051	ENSPVAP00000011324
ENSG00000107779	ENST00000224764	ENSPVAP00000015732
ENSG00000083454	ENST00000225328	ENSPVAP00000012017
ENSG00000108405	ENST00000225538	ENSPVAP00000012203
ENSG00000108947	ENST00000226091	ENSPVAP00000015406
ENSG00000004468	ENST00000226279	ENSPVAP00000007311
ENSG00000109163	ENST00000226413	ENSPVAP00000005450
ENSG00000110324	ENST00000227752	ENSPVAP00000016451
ENSG00000110848	ENST00000228434	ENSPVAP00000012817
ENSG00000111291	ENST00000228887	ENSPVAP00000000286
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSPVAP00000006427
ENSG00000111796	ENST00000229402	ENSPVAP00000006169
ENSG00000204252	ENST00000229829	ENSPVAP00000011322
ENSG00000112459	ENST00000230221	
