Ensembl Gene ID	Ensembl Transcript ID	Squirrel Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSSTOP00000011842
ENSG00000005884	ENST00000007722	ENSSTOP00000013300
ENSG00000019582	ENST00000009530	ENSSTOP00000008077
ENSG00000010610	ENST00000011653	
ENSG00000013588	ENST00000014914	ENSSTOP00000001654
ENSG00000080293	ENST00000019103	ENSSTOP00000006058
ENSG00000022355	ENST00000023897	ENSSTOP00000010166
ENSG00000048462	ENST00000053243	ENSSTOP00000009636
ENSG00000054967	ENST00000064780	ENSSTOP00000012985
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	ENSSTOP00000009024
ENSG00000008300	ENST00000164024	ENSSTOP00000003112
ENSG00000070886	ENST00000166244	ENSSTOP00000008001
ENSG00000064300	ENST00000172229	ENSSTOP00000007005
ENSG00000069696	ENST00000176183	ENSSTOP00000003720
ENSG00000085514	ENST00000198536	
ENSG00000089692	ENST00000203629	ENSSTOP00000013947
ENSG00000092096	ENST00000206544	
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSSTOP00000009928
ENSG00000100385	ENST00000216223	
ENSG00000100739	ENST00000216629	
ENSG00000101890	ENST00000218006	ENSSTOP00000004683
ENSG00000101958	ENST00000218075	ENSSTOP00000003411
ENSG00000102195	ENST00000218316	ENSSTOP00000000086
ENSG00000102539	ENST00000218721	ENSSTOP00000010730
ENSG00000103310	ENST00000219593	ENSSTOP00000006464
ENSG00000104332	ENST00000220772	
ENSG00000104870	ENST00000221466	ENSSTOP00000013102
ENSG00000105369	ENST00000221972	ENSSTOP00000003144
ENSG00000187266	ENST00000222139	ENSSTOP00000002673
ENSG00000105855	ENST00000222573	ENSSTOP00000014680
ENSG00000106327	ENST00000223051	ENSSTOP00000012218
ENSG00000107779	ENST00000224764	ENSSTOP00000014184
ENSG00000083454	ENST00000225328	
ENSG00000108405	ENST00000225538	ENSSTOP00000001914
ENSG00000108947	ENST00000226091	ENSSTOP00000003580
ENSG00000004468	ENST00000226279	ENSSTOP00000004910
ENSG00000109163	ENST00000226413	
ENSG00000110324	ENST00000227752	ENSSTOP00000007020
ENSG00000110848	ENST00000228434	ENSSTOP00000012332
ENSG00000111291	ENST00000228887	ENSSTOP00000000555
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSSTOP00000009655
ENSG00000111729	ENST00000229332	ENSSTOP00000010117
ENSG00000111796	ENST00000229402	ENSSTOP00000001076
ENSG00000111796	ENST00000229402	ENSSTOP00000007527
ENSG00000204252	ENST00000229829	ENSSTOP00000009705
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSSTOP00000006436
ENSG00000113070	ENST00000230990	ENSSTOP00000001702
ENSG00000113262	ENST00000231188	ENSSTOP00000004307
ENSG00000115602	ENST00000233954	ENSSTOP00000003731
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	ENSSTOP00000006193
ENSG00000116329	ENST00000234961	ENSSTOP00000010711
ENSG00000119686	ENST00000238667	ENSSTOP00000012884
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSSTOP00000004687
ENSG00000120659	ENST00000239849	ENSSTOP00000009059
ENSG00000213809	ENST00000240618	ENSSTOP00000012381
ENSG00000121853	ENST00000241256	ENSSTOP00000013942
ENSG00000121989	ENST00000241416	ENSSTOP00000000943
ENSG00000122025	ENST00000241453	ENSSTOP00000002636
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSSTOP00000012321
ENSG00000123384	ENST00000243077	ENSSTOP00000011988
ENSG00000123612	ENST00000243349	ENSSTOP00000008216
ENSG00000123901	ENST00000243673	ENSSTOP00000006124
ENSG00000124089	ENST00000243911	
ENSG00000124334	ENST00000244174	ENSSTOP00000001988
ENSG00000124557	ENST00000244513	ENSSTOP00000003606
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSSTOP00000000044
ENSG00000125384	ENST00000245457	ENSSTOP00000002560
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	ENSSTOP00000000789
