Ensembl Gene ID	Ensembl Transcript ID	Pig Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSSSCP00000000703
ENSG00000005884	ENST00000007722	ENSSSCP00000018629
ENSG00000019582	ENST00000009530	
ENSG00000010610	ENST00000011653	ENSSSCP00000000732
ENSG00000013588	ENST00000014914	
ENSG00000080293	ENST00000019103	
ENSG00000022355	ENST00000023897	ENSSSCP00000018038
ENSG00000048462	ENST00000053243	ENSSSCP00000008421
ENSG00000054967	ENST00000064780	ENSSSCP00000015744
ENSG00000054967	ENST00000064780	ENSSSCP00000015743
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	ENSSSCP00000000755
ENSG00000008300	ENST00000164024	ENSSSCP00000012112
ENSG00000070886	ENST00000166244	ENSSSCP00000003824
ENSG00000064300	ENST00000172229	ENSSSCP00000018596
ENSG00000069696	ENST00000176183	ENSSSCP00000013661
ENSG00000085514	ENST00000198536	ENSSSCP00000008176
ENSG00000085514	ENST00000198536	ENSSSCP00000008165
ENSG00000089692	ENST00000203629	ENSSSCP00000000734
ENSG00000092096	ENST00000206544	ENSSSCP00000002213
ENSG00000094661	ENST00000209540	ENSSSCP00000014701
ENSG00000069702	ENST00000212355	ENSSSCP00000007368
ENSG00000100385	ENST00000216223	
ENSG00000100739	ENST00000216629	ENSSSCP00000002708
ENSG00000101890	ENST00000218006	ENSSSCP00000013377
ENSG00000101958	ENST00000218075	ENSSSCP00000012912
ENSG00000102195	ENST00000218316	
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSSSCP00000008380
ENSG00000104332	ENST00000220772	ENSSSCP00000007473
ENSG00000104870	ENST00000221466	ENSSSCP00000003430
ENSG00000104870	ENST00000221466	ENSSSCP00000003441
ENSG00000104870	ENST00000221466	ENSSSCP00000003457
ENSG00000105369	ENST00000221972	ENSSSCP00000003295
ENSG00000187266	ENST00000222139	ENSSSCP00000014472
ENSG00000105855	ENST00000222573	ENSSSCP00000016303
ENSG00000106327	ENST00000223051	ENSSSCP00000008192
ENSG00000107779	ENST00000224764	ENSSSCP00000011048
ENSG00000083454	ENST00000225328	ENSSSCP00000018930
ENSG00000083454	ENST00000225328	ENSSSCP00000018927
ENSG00000108405	ENST00000225538	ENSSSCP00000018931
ENSG00000108947	ENST00000226091	ENSSSCP00000019014
ENSG00000004468	ENST00000226279	ENSSSCP00000009318
ENSG00000109163	ENST00000226413	ENSSSCP00000009521
ENSG00000110324	ENST00000227752	ENSSSCP00000016008
ENSG00000110848	ENST00000228434	ENSSSCP00000000694
ENSG00000111291	ENST00000228887	
ENSG00000111432	ENST00000229030	ENSSSCP00000010412
ENSG00000111729	ENST00000229332	
ENSG00000111796	ENST00000229402	ENSSSCP00000000699
ENSG00000204252	ENST00000229829	ENSSSCP00000001596
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSSSCP00000017873
ENSG00000113070	ENST00000230990	ENSSSCP00000015278
ENSG00000113262	ENST00000231188	ENSSSCP00000014913
ENSG00000113262	ENST00000231188	ENSSSCP00000014914
ENSG00000115602	ENST00000233954	ENSSSCP00000008710
ENSG00000116014	ENST00000234371	ENSSSCP00000014269
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	
ENSG00000119686	ENST00000238667	
ENSG00000119973	ENST00000239032	ENSSSCP00000011376
ENSG00000119973	ENST00000239032	ENSSSCP00000011374
ENSG00000120586	ENST00000239761	
ENSG00000120659	ENST00000239849	ENSSSCP00000010068
ENSG00000213809	ENST00000240618	ENSSSCP00000000676
ENSG00000121853	ENST00000241256	ENSSSCP00000012525
ENSG00000121989	ENST00000241416	ENSSSCP00000016612
ENSG00000122025	ENST00000241453	ENSSSCP00000009936
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSSSCP00000014645
ENSG00000123384	ENST00000243077	ENSSSCP00000000451
ENSG00000123612	ENST00000243349	ENSSSCP00000016822
ENSG00000123901	ENST00000243673	ENSSSCP00000015877
ENSG00000124089	ENST00000243911	ENSSSCP00000007982
ENSG00000124334	ENST00000244174	ENSSSCP00000008512
ENSG00000124557	ENST00000244513	ENSSSCP00000001201
ENSG00000124657	ENST00000244623	ENSSSCP00000001251
ENSG00000124657	ENST00000244623	ENSSSCP00000001255
ENSG00000124731	ENST00000244709	ENSSSCP00000001752
ENSG00000124731	ENST00000244709	ENSSSCP00000001749
ENSG00000125384	ENST00000245457	ENSSSCP00000005410
ENSG00000125384	ENST00000245457	ENSSSCP00000005411
