Ensembl Gene ID	Ensembl Transcript ID	Rat Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSRNOP00000020364
ENSG00000003056	ENST00000000412	ENSRNOP00000040513
ENSG00000005884	ENST00000007722	ENSRNOP00000034608
ENSG00000019582	ENST00000009530	ENSRNOP00000025354
ENSG00000010610	ENST00000011653	ENSRNOP00000021915
ENSG00000013588	ENST00000014914	ENSRNOP00000011134
ENSG00000080293	ENST00000019103	
ENSG00000022355	ENST00000023897	ENSRNOP00000004725
ENSG00000048462	ENST00000053243	ENSRNOP00000034356
ENSG00000054967	ENST00000064780	ENSRNOP00000036110
ENSG00000070985	ENST00000155858	ENSRNOP00000039981
ENSG00000067182	ENST00000162749	ENSRNOP00000042371
ENSG00000008300	ENST00000164024	ENSRNOP00000041011
ENSG00000070886	ENST00000166244	ENSRNOP00000017559
ENSG00000064300	ENST00000172229	ENSRNOP00000007268
ENSG00000069696	ENST00000176183	ENSRNOP00000024137
ENSG00000085514	ENST00000198536	ENSRNOP00000059615
ENSG00000085514	ENST00000198536	ENSRNOP00000035136
ENSG00000085514	ENST00000198536	ENSRNOP00000060351
ENSG00000085514	ENST00000198536	ENSRNOP00000060447
ENSG00000085514	ENST00000198536	ENSRNOP00000059614
ENSG00000085514	ENST00000198536	ENSRNOP00000041571
ENSG00000085514	ENST00000198536	ENSRNOP00000040924
ENSG00000085514	ENST00000198536	ENSRNOP00000062376
ENSG00000085514	ENST00000198536	ENSRNOP00000061816
ENSG00000085514	ENST00000198536	ENSRNOP00000060008
ENSG00000085514	ENST00000198536	ENSRNOP00000045306
ENSG00000085514	ENST00000198536	ENSRNOP00000063274
ENSG00000089692	ENST00000203629	ENSRNOP00000036771
ENSG00000092096	ENST00000206544	ENSRNOP00000021851
ENSG00000094661	ENST00000209540	ENSRNOP00000009615
ENSG00000069702	ENST00000212355	ENSRNOP00000002867
ENSG00000100385	ENST00000216223	
ENSG00000100739	ENST00000216629	ENSRNOP00000005953
ENSG00000101890	ENST00000218006	ENSRNOP00000049500
ENSG00000101958	ENST00000218075	ENSRNOP00000004443
ENSG00000102195	ENST00000218316	ENSRNOP00000015147
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	
ENSG00000104332	ENST00000220772	ENSRNOP00000024128
ENSG00000104870	ENST00000221466	ENSRNOP00000027944
ENSG00000105369	ENST00000221972	ENSRNOP00000027254
ENSG00000187266	ENST00000222139	ENSRNOP00000017369
ENSG00000105855	ENST00000222573	ENSRNOP00000008707
ENSG00000106327	ENST00000223051	ENSRNOP00000001905
ENSG00000107779	ENST00000224764	ENSRNOP00000015047
ENSG00000083454	ENST00000225328	ENSRNOP00000053301
ENSG00000108405	ENST00000225538	ENSRNOP00000024068
ENSG00000108947	ENST00000226091	ENSRNOP00000013956
ENSG00000004468	ENST00000226279	ENSRNOP00000004121
ENSG00000109163	ENST00000226413	ENSRNOP00000002755
ENSG00000110324	ENST00000227752	ENSRNOP00000021926
ENSG00000110848	ENST00000228434	ENSRNOP00000010422
ENSG00000111291	ENST00000228887	ENSRNOP00000011141
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSRNOP00000013308
ENSG00000111729	ENST00000229332	ENSRNOP00000035476
ENSG00000111729	ENST00000229332	ENSRNOP00000037071
ENSG00000111729	ENST00000229332	ENSRNOP00000048802
ENSG00000111729	ENST00000229332	ENSRNOP00000029845
ENSG00000111796	ENST00000229402	ENSRNOP00000009594
ENSG00000111796	ENST00000229402	ENSRNOP00000036493
ENSG00000111796	ENST00000229402	ENSRNOP00000010312
ENSG00000204252	ENST00000229829	ENSRNOP00000034452
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSRNOP00000044119
ENSG00000113070	ENST00000230990	ENSRNOP00000025157
ENSG00000113262	ENST00000231188	ENSRNOP00000000249
ENSG00000115602	ENST00000233954	ENSRNOP00000020108
ENSG00000116014	ENST00000234371	ENSRNOP00000016395
ENSG00000116032	ENST00000234389	ENSRNOP00000017064
ENSG00000116329	ENST00000234961	ENSRNOP00000014084
ENSG00000119686	ENST00000238667	ENSRNOP00000011599
ENSG00000119973	ENST00000239032	ENSRNOP00000013170
ENSG00000120586	ENST00000239761	ENSRNOP00000062621
ENSG00000120659	ENST00000239849	ENSRNOP00000013210
ENSG00000213809	ENST00000240618	ENSRNOP00000012886
ENSG00000121853	ENST00000241256	ENSRNOP00000038418
ENSG00000121989	ENST00000241416	ENSRNOP00000007404
ENSG00000122025	ENST00000241453	ENSRNOP00000057874
ENSG00000122679	ENST00000242249	ENSRNOP00000010866
ENSG00000123146	ENST00000242786	ENSRNOP00000006152
ENSG00000123384	ENST00000243077	ENSRNOP00000034210
ENSG00000123612	ENST00000243349	ENSRNOP00000063473
ENSG00000123901	ENST00000243673	ENSRNOP00000049895
ENSG00000124089	ENST00000243911	ENSRNOP00000005871
ENSG00000124334	ENST00000244174	ENSRNOP00000028008
ENSG00000124557	ENST00000244513	ENSRNOP00000023622
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSRNOP00000040482
ENSG00000125384	ENST00000245457	ENSRNOP00000047910
ENSG00000125384	ENST00000245457	ENSRNOP00000041247
ENSG00000125384	ENST00000245457	ENSRNOP00000049247
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSRNOP00000034001
ENSG00000125910	ENST00000246115	ENSRNOP00000007117
ENSG00000126246	ENST00000246532	ENSRNOP00000028442
ENSG00000126262	ENST00000246549	ENSRNOP00000028532
ENSG00000126266	ENST00000246553	ENSRNOP00000028533
ENSG00000126353	ENST00000246657	ENSRNOP00000014163
ENSG00000127364	ENST00000247881	ENSRNOP00000016232
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSRNOP00000061889
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	
ENSG00000127780	ENST00000248384	ENSRNOP00000040387
ENSG00000127780	ENST00000248384	ENSRNOP00000049606
ENSG00000127780	ENST00000248384	ENSRNOP00000050536
ENSG00000127780	ENST00000248384	ENSRNOP00000042028
ENSG00000127780	ENST00000248384	ENSRNOP00000044905
ENSG00000127780	ENST00000248384	ENSRNOP00000042010
ENSG00000127780	ENST00000248384	ENSRNOP00000049888
ENSG00000127780	ENST00000248384	ENSRNOP00000047108
ENSG00000127780	ENST00000248384	ENSRNOP00000040217
ENSG00000127780	ENST00000248384	ENSRNOP00000041235
ENSG00000127780	ENST00000248384	ENSRNOP00000039877
ENSG00000127780	ENST00000248384	ENSRNOP00000040839
ENSG00000127780	ENST00000248384	ENSRNOP00000062661
ENSG00000127780	ENST00000248384	ENSRNOP00000048341
ENSG00000127780	ENST00000248384	ENSRNOP00000048805
ENSG00000127780	ENST00000248384	ENSRNOP00000042973
ENSG00000127780	ENST00000248384	ENSRNOP00000051540
ENSG00000127780	ENST00000248384	ENSRNOP00000043978
ENSG00000127780	ENST00000248384	ENSRNOP00000047074
ENSG00000127780	ENST00000248384	ENSRNOP00000043823
ENSG00000127780	ENST00000248384	ENSRNOP00000051012
ENSG00000127780	ENST00000248384	ENSRNOP00000041484
ENSG00000128285	ENST00000249016	ENSRNOP00000025564
ENSG00000128310	ENST00000249041	ENSRNOP00000014349
ENSG00000128519	ENST00000249284	ENSRNOP00000031530
ENSG00000128602	ENST00000249373	ENSRNOP00000011356
ENSG00000128617	ENST00000249389	ENSRNOP00000009278
ENSG00000129048	ENST00000249887	ENSRNOP00000061118
ENSG00000129749	ENST00000250699	ENSRNOP00000027506
ENSG00000130164	ENST00000252444	ENSRNOP00000013496
ENSG00000130202	ENST00000252483	ENSRNOP00000025388
ENSG00000130234	ENST00000252519	ENSRNOP00000041275
ENSG00000130368	ENST00000252660	ENSRNOP00000020100
ENSG00000130529	ENST00000252826	ENSRNOP00000041387
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	
ENSG00000131477	ENST00000253796	ENSRNOP00000027698
ENSG00000132329	ENST00000254661	ENSRNOP00000027012
ENSG00000132334	ENST00000254667	ENSRNOP00000021359
ENSG00000132517	ENST00000254853	ENSRNOP00000046721
ENSG00000132518	ENST00000254854	ENSRNOP00000010790
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSRNOP00000018967
ENSG00000133019	ENST00000255380	ENSRNOP00000019662
ENSG00000133800	ENST00000256178	ENSRNOP00000036731
ENSG00000134061	ENST00000256447	ENSRNOP00000013768
ENSG00000134243	ENST00000256637	ENSRNOP00000042760
ENSG00000134250	ENST00000256646	ENSRNOP00000025718
ENSG00000134489	ENST00000256906	ENSRNOP00000022744
ENSG00000134640	ENST00000257068	ENSRNOP00000011883
ENSG00000134817	ENST00000257254	ENSRNOP00000012379
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSRNOP00000003077
ENSG00000135409	ENST00000257863	ENSRNOP00000020103
ENSG00000135424	ENST00000257879	ENSRNOP00000041822
ENSG00000135577	ENST00000258042	ENSRNOP00000016215
ENSG00000135902	ENST00000258385	ENSRNOP00000035174
ENSG00000135914	ENST00000258400	ENSRNOP00000023829
ENSG00000135960	ENST00000258443	ENSRNOP00000029258
ENSG00000135973	ENST00000258456	ENSRNOP00000021999
ENSG00000136040	ENST00000258526	ENSRNOP00000011178
ENSG00000136834	ENST00000259357	ENSRNOP00000010360
ENSG00000136839	ENST00000259362	ENSRNOP00000024724
ENSG00000136928	ENST00000259455	ENSRNOP00000011573
ENSG00000136939	ENST00000259466	ENSRNOP00000049943
ENSG00000136939	ENST00000259466	ENSRNOP00000044875
ENSG00000136960	ENST00000259486	ENSRNOP00000047118
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
