Ensembl Gene ID	Ensembl Transcript ID	Rabbit Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSOCUP00000015306
ENSG00000005884	ENST00000007722	ENSOCUP00000008606
ENSG00000019582	ENST00000009530	ENSOCUP00000003348
ENSG00000010610	ENST00000011653	ENSOCUP00000016703
ENSG00000013588	ENST00000014914	ENSOCUP00000014225
ENSG00000080293	ENST00000019103	ENSOCUP00000006668
ENSG00000022355	ENST00000023897	ENSOCUP00000013846
ENSG00000048462	ENST00000053243	ENSOCUP00000001340
ENSG00000054967	ENST00000064780	ENSOCUP00000019986
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	ENSOCUP00000008744
ENSG00000008300	ENST00000164024	ENSOCUP00000021305
ENSG00000070886	ENST00000166244	ENSOCUP00000012994
ENSG00000064300	ENST00000172229	ENSOCUP00000006606
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSOCUP00000005134
ENSG00000089692	ENST00000203629	ENSOCUP00000009632
ENSG00000092096	ENST00000206544	ENSOCUP00000014518
ENSG00000094661	ENST00000209540	ENSOCUP00000024655
ENSG00000069702	ENST00000212355	ENSOCUP00000013829
ENSG00000100385	ENST00000216223	ENSOCUP00000006670
ENSG00000100739	ENST00000216629	ENSOCUP00000022849
ENSG00000101890	ENST00000218006	ENSOCUP00000008335
ENSG00000101958	ENST00000218075	ENSOCUP00000009951
ENSG00000102195	ENST00000218316	ENSOCUP00000021380
ENSG00000102539	ENST00000218721	ENSOCUP00000012668
ENSG00000103310	ENST00000219593	ENSOCUP00000011114
ENSG00000104332	ENST00000220772	ENSOCUP00000017413
ENSG00000104870	ENST00000221466	ENSOCUP00000024461
ENSG00000105369	ENST00000221972	
ENSG00000187266	ENST00000222139	ENSOCUP00000013491
ENSG00000105855	ENST00000222573	ENSOCUP00000001898
ENSG00000106327	ENST00000223051	ENSOCUP00000020508
ENSG00000107779	ENST00000224764	ENSOCUP00000014542
ENSG00000083454	ENST00000225328	ENSOCUP00000006922
ENSG00000108405	ENST00000225538	ENSOCUP00000023896
ENSG00000108947	ENST00000226091	ENSOCUP00000002447
ENSG00000004468	ENST00000226279	ENSOCUP00000015283
ENSG00000109163	ENST00000226413	ENSOCUP00000014603
ENSG00000110324	ENST00000227752	ENSOCUP00000011691
ENSG00000110848	ENST00000228434	ENSOCUP00000007818
ENSG00000111291	ENST00000228887	ENSOCUP00000013174
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSOCUP00000009409
ENSG00000111796	ENST00000229402	
ENSG00000204252	ENST00000229829	ENSOCUP00000016221
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSOCUP00000007343
ENSG00000113070	ENST00000230990	ENSOCUP00000013665
ENSG00000113262	ENST00000231188	ENSOCUP00000014505
ENSG00000115602	ENST00000233954	ENSOCUP00000014155
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	ENSOCUP00000000893
ENSG00000119686	ENST00000238667	
