Ensembl Gene ID	Ensembl Transcript ID	Dog Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSCAFP00000020353
ENSG00000004399	ENST00000324093	ENSCAFP00000006907
ENSG00000004468	ENST00000226279	ENSCAFP00000022553
ENSG00000004948	ENST00000359558	ENSCAFP00000003002
ENSG00000005884	ENST00000007722	ENSCAFP00000025006
ENSG00000005961	ENST00000262407	ENSCAFP00000020854
ENSG00000006071	ENST00000389817	ENSCAFP00000013129
ENSG00000006327	ENST00000326577	ENSCAFP00000028548
ENSG00000006638	ENST00000411851	ENSCAFP00000028282
ENSG00000007312	ENST00000392795	ENSCAFP00000018654
ENSG00000007908	ENST00000333360	ENSCAFP00000022350
ENSG00000008300	ENST00000164024	
ENSG00000010310	ENST00000263281	ENSCAFP00000006561
ENSG00000010610	ENST00000011653	ENSCAFP00000021635
ENSG00000011677	ENST00000370314	ENSCAFP00000028267
ENSG00000013588	ENST00000014914	ENSCAFP00000019467
ENSG00000013725	ENST00000313421	ENSCAFP00000024110
ENSG00000015520	ENST00000289547	ENSCAFP00000004438
ENSG00000019169	ENST00000327097	ENSCAFP00000007326
ENSG00000019582	ENST00000009530	ENSCAFP00000026760
ENSG00000020181	ENST00000412232	ENSCAFP00000009285
ENSG00000021645	ENST00000554719	
ENSG00000022355	ENST00000023897	ENSCAFP00000025386
ENSG00000026508	ENST00000428726	ENSCAFP00000010256
ENSG00000026751	ENST00000368043	ENSCAFP00000018574
ENSG00000027644	ENST00000368195	ENSCAFP00000024471
ENSG00000027697	ENST00000367739	ENSCAFP00000000378
ENSG00000028137	ENST00000376259	ENSCAFP00000024172
ENSG00000030304	ENST00000374448	ENSCAFP00000004412
ENSG00000036828	ENST00000498619	ENSCAFP00000017381
ENSG00000037280	ENST00000261937	ENSCAFP00000000712
ENSG00000038945	ENST00000262101	ENSCAFP00000010184
ENSG00000043591	ENST00000369295	ENSCAFP00000035025
ENSG00000044524	ENST00000336596	ENSCAFP00000012972
ENSG00000047936	ENST00000368508	ENSCAFP00000001313
ENSG00000048462	ENST00000053243	ENSCAFP00000027811
ENSG00000049249	ENST00000377507	ENSCAFP00000029107
ENSG00000050628	ENST00000356595	
ENSG00000054219	ENST00000263636	ENSCAFP00000014120
ENSG00000054277	ENST00000366554	ENSCAFP00000023112
ENSG00000054356	ENST00000295718	ENSCAFP00000022480
ENSG00000054967	ENST00000064780	ENSCAFP00000008375
ENSG00000056291	ENST00000308744	ENSCAFP00000004376
ENSG00000056736	ENST00000288167	ENSCAFP00000012142
