Ensembl Gene ID	Ensembl Transcript ID	Cat Ensembl Protein ID
ENSG00000003056	ENST00000000412	ENSFCAP00000014169
ENSG00000005884	ENST00000007722	
ENSG00000019582	ENST00000009530	ENSFCAP00000001884
ENSG00000010610	ENST00000011653	ENSFCAP00000003936
ENSG00000013588	ENST00000014914	ENSFCAP00000012974
ENSG00000080293	ENST00000019103	ENSFCAP00000004089
ENSG00000022355	ENST00000023897	ENSFCAP00000007535
ENSG00000048462	ENST00000053243	ENSFCAP00000009392
ENSG00000054967	ENST00000064780	ENSFCAP00000002641
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	ENSFCAP00000006375
ENSG00000008300	ENST00000164024	ENSFCAP00000001944
ENSG00000070886	ENST00000166244	
ENSG00000064300	ENST00000172229	ENSFCAP00000012713
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSFCAP00000010034
ENSG00000089692	ENST00000203629	ENSFCAP00000006393
ENSG00000092096	ENST00000206544	ENSFCAP00000008423
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSFCAP00000011271
ENSG00000100385	ENST00000216223	ENSFCAP00000007794
ENSG00000100739	ENST00000216629	ENSFCAP00000006298
ENSG00000101890	ENST00000218006	ENSFCAP00000008374
ENSG00000101958	ENST00000218075	ENSFCAP00000010635
ENSG00000102195	ENST00000218316	ENSFCAP00000002035
ENSG00000102539	ENST00000218721	ENSFCAP00000013239
ENSG00000103310	ENST00000219593	ENSFCAP00000014068
ENSG00000104332	ENST00000220772	ENSFCAP00000004824
ENSG00000104870	ENST00000221466	ENSFCAP00000008525
ENSG00000105369	ENST00000221972	ENSFCAP00000007531
ENSG00000187266	ENST00000222139	ENSFCAP00000004542
ENSG00000105855	ENST00000222573	ENSFCAP00000006400
ENSG00000106327	ENST00000223051	ENSFCAP00000006354
ENSG00000107779	ENST00000224764	
ENSG00000083454	ENST00000225328	ENSFCAP00000007341
ENSG00000108405	ENST00000225538	ENSFCAP00000007347
ENSG00000108947	ENST00000226091	ENSFCAP00000008927
ENSG00000004468	ENST00000226279	ENSFCAP00000010343
ENSG00000109163	ENST00000226413	ENSFCAP00000001282
ENSG00000110848	ENST00000228434	ENSFCAP00000014195
ENSG00000111291	ENST00000228887	ENSFCAP00000012975
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSFCAP00000003983
ENSG00000111796	ENST00000229402	
ENSG00000204252	ENST00000229829	ENSFCAP00000008991
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSFCAP00000001565
ENSG00000113070	ENST00000230990	ENSFCAP00000001182
ENSG00000113262	ENST00000231188	ENSFCAP00000008980
ENSG00000115602	ENST00000233954	
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	ENSFCAP00000015747
ENSG00000116329	ENST00000234961	ENSFCAP00000011545
ENSG00000119686	ENST00000238667	ENSFCAP00000013170
ENSG00000119973	ENST00000239032	ENSFCAP00000013149
ENSG00000120586	ENST00000239761	
ENSG00000120659	ENST00000239849	ENSFCAP00000005491
ENSG00000213809	ENST00000240618	ENSFCAP00000016234
ENSG00000121853	ENST00000241256	ENSFCAP00000010464
ENSG00000121989	ENST00000241416	
ENSG00000122025	ENST00000241453	ENSFCAP00000004196
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSFCAP00000012508
ENSG00000123384	ENST00000243077	ENSFCAP00000000172
ENSG00000123612	ENST00000243349	ENSFCAP00000010468
ENSG00000123901	ENST00000243673	ENSFCAP00000010135
ENSG00000124089	ENST00000243911	ENSFCAP00000006543
ENSG00000124334	ENST00000244174	ENSFCAP00000002837
ENSG00000124557	ENST00000244513	ENSFCAP00000014251
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSFCAP00000002551
ENSG00000125384	ENST00000245457	
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	
ENSG00000125910	ENST00000246115	ENSFCAP00000006609
ENSG00000126246	ENST00000246532	ENSFCAP00000005934
ENSG00000126262	ENST00000246549	ENSFCAP00000008250
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	ENSFCAP00000008947
ENSG00000127364	ENST00000247881	ENSFCAP00000006104
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	ENSFCAP00000008407
ENSG00000127533	ENST00000248076	ENSFCAP00000001464
ENSG00000128285	ENST00000249016	ENSFCAP00000014317
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSFCAP00000013496
ENSG00000128617	ENST00000249389	ENSFCAP00000000886
ENSG00000129048	ENST00000249887	ENSFCAP00000003575
ENSG00000129749	ENST00000250699	
ENSG00000130164	ENST00000252444	ENSFCAP00000004525
ENSG00000130202	ENST00000252483	ENSFCAP00000004424
ENSG00000130234	ENST00000252519	ENSFCAP00000008647
ENSG00000130368	ENST00000252660	ENSFCAP00000002622
ENSG00000130529	ENST00000252826	ENSFCAP00000000236
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	ENSFCAP00000014493
ENSG00000131477	ENST00000253796	ENSFCAP00000008529
ENSG00000132329	ENST00000254661	ENSFCAP00000001701
ENSG00000132334	ENST00000254667	ENSFCAP00000008976
ENSG00000132517	ENST00000254853	ENSFCAP00000007155
ENSG00000132518	ENST00000254854	ENSFCAP00000016017
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSFCAP00000011322
ENSG00000133019	ENST00000255380	
ENSG00000133800	ENST00000256178	ENSFCAP00000000373
ENSG00000134061	ENST00000256447	ENSFCAP00000004393
ENSG00000134243	ENST00000256637	ENSFCAP00000014154
ENSG00000134250	ENST00000256646	ENSFCAP00000008951
ENSG00000134489	ENST00000256906	ENSFCAP00000010147
ENSG00000134640	ENST00000257068	ENSFCAP00000002941
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	ENSFCAP00000004471
ENSG00000134853	ENST00000257290	ENSFCAP00000008478
ENSG00000135409	ENST00000257863	ENSFCAP00000005475
ENSG00000135424	ENST00000257879	ENSFCAP00000012943
