Ensembl Gene ID	Ensembl Transcript ID	Marmoset Ensembl Protein ID	
ENSG00000003056	ENST00000000412	ENSCJAP00000034758	
ENSG00000004399	ENST00000324093	ENSCJAP00000009912	
ENSG00000004468	ENST00000226279	ENSCJAP00000022905	
ENSG00000004948	ENST00000359558	ENSCJAP00000048945	
ENSG00000005884	ENST00000007722	ENSCJAP00000012925	
ENSG00000005961	ENST00000262407	ENSCJAP00000018083	
ENSG00000006071	ENST00000389817	ENSCJAP00000017223	
ENSG00000006327	ENST00000326577	ENSCJAP00000028438	
ENSG00000006638	ENST00000411851	ENSCJAP00000027485	
ENSG00000007312	ENST00000392795	ENSCJAP00000036165	
ENSG00000007908	ENST00000333360	ENSCJAP00000018718	
ENSG00000008300	ENST00000164024	ENSCJAP00000005829	
ENSG00000010310	ENST00000263281	ENSCJAP00000016235	
ENSG00000010610	ENST00000011653	ENSCJAP00000043597	
ENSG00000011677	ENST00000370314	ENSCJAP00000006965	
ENSG00000013588	ENST00000014914	ENSCJAP00000040267	
ENSG00000013725	ENST00000313421	ENSCJAP00000030537	
ENSG00000015520	ENST00000289547	ENSCJAP00000022607	
ENSG00000019169	ENST00000327097	ENSCJAP00000039873	
ENSG00000019582	ENST00000009530	ENSCJAP00000042557	
ENSG00000020181	ENST00000412232	ENSCJAP00000004990	
ENSG00000021645	ENST00000554719	
ENSG00000022355	ENST00000023897	ENSCJAP00000028125	
ENSG00000026508	ENST00000428726	ENSCJAP00000043230	
ENSG00000026751	ENST00000368043	ENSCJAP00000010409	
ENSG00000027644	ENST00000368195	ENSCJAP00000011677	
ENSG00000027697	ENST00000367739	ENSCJAP00000035318	
ENSG00000028137	ENST00000376259	ENSCJAP00000024957	
ENSG00000030304	ENST00000374448	ENSCJAP00000032181	
ENSG00000036828	ENST00000498619	ENSCJAP00000015065	
ENSG00000037280	ENST00000261937	ENSCJAP00000017939	
ENSG00000038945	ENST00000262101	ENSCJAP00000049932	
ENSG00000043591	ENST00000369295	ENSCJAP00000035707	
ENSG00000044524	ENST00000336596	ENSCJAP00000016104	
ENSG00000047936	ENST00000368508	ENSCJAP00000007852	
ENSG00000048462	ENST00000053243	ENSCJAP00000029511	
ENSG00000049249	ENST00000377507	ENSCJAP00000000527	
ENSG00000050628	ENST00000356595	ENSCJAP00000043337	
ENSG00000054219	ENST00000263636	ENSCJAP00000027671	
ENSG00000054277	ENST00000366554	ENSCJAP00000031829	
ENSG00000054356	ENST00000295718	ENSCJAP00000048250	
ENSG00000054967	ENST00000064780	ENSCJAP00000051798	
ENSG00000056291	ENST00000308744	ENSCJAP00000026304	
ENSG00000056736	ENST00000288167	ENSCJAP00000047551	
ENSG00000060656	ENST00000345512	ENSCJAP00000018715	
ENSG00000062524	ENST00000263800	ENSCJAP00000038569	
ENSG00000064300	ENST00000172229	ENSCJAP00000013325	
ENSG00000064547	ENST00000407877	ENSCJAP00000010317	
ENSG00000064989	ENST00000392370	ENSCJAP00000046313	
ENSG00000065325	ENST00000262441	ENSCJAP00000023360	
ENSG00000065361	ENST00000267101	ENSCJAP00000022152	
ENSG00000066056	ENST00000372476	ENSCJAP00000006146	
ENSG00000066294	ENST00000311224	ENSCJAP00000010537	
ENSG00000066468	ENST00000457416	ENSCJAP00000002608	
ENSG00000067141	ENST00000261908	ENSCJAP00000033569	
ENSG00000067182	ENST00000162749	ENSCJAP00000001167	
ENSG00000068078	ENST00000340107	ENSCJAP00000003287	
ENSG00000069018	ENST00000513104	ENSCJAP00000011143	
ENSG00000069122	ENST00000452370	ENSCJAP00000006989	
ENSG00000069431	ENST00000261200	
ENSG00000069493	ENST00000261340	
ENSG00000069696	ENST00000176183	ENSCJAP00000022145	
ENSG00000069702	ENST00000212355	ENSCJAP00000003213	
ENSG00000070018	ENST00000261349	ENSCJAP00000040292	
ENSG00000070886	ENST00000166244	ENSCJAP00000010755	
ENSG00000070985	ENST00000155858	ENSCJAP00000027164	
ENSG00000072071	ENST00000340736	ENSCJAP00000008936	
ENSG00000072274	ENST00000360110	ENSCJAP00000045446	
ENSG00000072694	ENST00000358671	
ENSG00000073008	ENST00000425690	ENSCJAP00000024274	
ENSG00000073060	ENST00000261693	ENSCJAP00000021415	
ENSG00000075073	ENST00000373306	ENSCJAP00000030352	
ENSG00000075275	ENST00000262738	
ENSG00000076356	ENST00000367033	ENSCJAP00000000467	
ENSG00000077238	ENST00000395762	ENSCJAP00000010926	
ENSG00000077585	ENST00000366592	
ENSG00000077782	ENST00000425967	ENSCJAP00000048076	
ENSG00000077943	ENST00000378076	ENSCJAP00000016751	
ENSG00000078549	ENST00000304166	ENSCJAP00000016453	
ENSG00000078589	ENST00000544091	ENSCJAP00000017540	
