Ensembl Gene ID	Ensembl Transcript ID	Chimp Ensembl Protein ID	
ENSG00000003056	ENST00000000412	ENSPTRP00000007940	
ENSG00000004399	ENST00000324093	ENSPTRP00000026498	
ENSG00000004468	ENST00000226279	ENSPTRP00000027436	
ENSG00000004948	ENST00000359558	ENSPTRP00000043243	
ENSG00000005884	ENST00000007722	ENSPTRP00000015942	
ENSG00000005961	ENST00000262407	ENSPTRP00000015779	
ENSG00000006071	ENST00000389817	ENSPTRP00000048225	
ENSG00000006327	ENST00000326577	ENSPTRP00000013114	
ENSG00000006638	ENST00000411851	ENSPTRP00000017454	
ENSG00000007312	ENST00000392795	ENSPTRP00000016191	
ENSG00000007908	ENST00000333360	ENSPTRP00000002766	
ENSG00000008300	ENST00000164024	ENSPTRP00000025714	
ENSG00000010310	ENST00000263281	ENSPTRP00000019160	
ENSG00000010610	ENST00000011653	ENSPTRP00000054833	
ENSG00000011677	ENST00000370314	ENSPTRP00000038563	
ENSG00000013588	ENST00000014914	ENSPTRP00000008048	
ENSG00000013725	ENST00000313421	ENSPTRP00000006415	
ENSG00000015520	ENST00000289547	ENSPTRP00000048020	
ENSG00000019169	ENST00000327097	ENSPTRP00000021227	
ENSG00000019582	ENST00000009530	ENSPTRP00000029763	
ENSG00000020181	ENST00000412232	ENSPTRP00000034515	
ENSG00000021645	ENST00000554719	ENSPTRP00000045254	
ENSG00000022355	ENST00000023897	ENSPTRP00000029894	
ENSG00000026508	ENST00000428726	ENSPTRP00000006080	
ENSG00000026751	ENST00000368043	ENSPTRP00000002615	
ENSG00000027644	ENST00000368195	ENSPTRP00000002493	
ENSG00000027697	ENST00000367739	ENSPTRP00000049575	
ENSG00000028137	ENST00000376259	ENSPTRP00000000311	
ENSG00000030304	ENST00000374448	ENSPTRP00000049076	
ENSG00000036828	ENST00000498619	ENSPTRP00000043342	
ENSG00000037280	ENST00000261937	ENSPTRP00000045284	
ENSG00000038945	ENST00000262101	ENSPTRP00000034258	
ENSG00000043591	ENST00000369295	ENSPTRP00000005222	
ENSG00000044524	ENST00000336596	ENSPTRP00000026114	
ENSG00000047936	ENST00000368508	ENSPTRP00000031658	
ENSG00000048462	ENST00000053243	ENSPTRP00000013275	
ENSG00000049249	ENST00000377507	ENSPTRP00000000195	
ENSG00000050628	ENST00000356595	ENSPTRP00000001483	
ENSG00000054219	ENST00000263636	ENSPTRP00000021480	
ENSG00000054277	ENST00000366554	ENSPTRP00000003658	
ENSG00000054356	ENST00000295718	ENSPTRP00000048736	
ENSG00000054967	ENST00000064780	ENSPTRP00000006959	
