Ensembl Gene ID	Ensembl Transcript ID	Orangutan Ensembl Protein ID	
ENSG00000003056	ENST00000000412	ENSPPYP00000004845	
ENSG00000004399	ENST00000324093	ENSPPYP00000015001	
ENSG00000004468	ENST00000226279	ENSPPYP00000016333	
ENSG00000004948	ENST00000359558	ENSPPYP00000019965	
ENSG00000005884	ENST00000007722	ENSPPYP00000010024	
ENSG00000005961	ENST00000262407	ENSPPYP00000009365	
ENSG00000006071	ENST00000389817	ENSPPYP00000004699	
ENSG00000006327	ENST00000326577	ENSPPYP00000007947	
ENSG00000006638	ENST00000411851	ENSPPYP00000010522	
ENSG00000007312	ENST00000392795	ENSPPYP00000009591	
ENSG00000007908	ENST00000333360	ENSPPYP00000000612	
ENSG00000008300	ENST00000164024	
ENSG00000010310	ENST00000263281	ENSPPYP00000011327	
ENSG00000010610	ENST00000011653	ENSPPYP00000004788	
ENSG00000011677	ENST00000370314	ENSPPYP00000023312	
ENSG00000013588	ENST00000014914	
ENSG00000013725	ENST00000313421	ENSPPYP00000003688	
ENSG00000015520	ENST00000289547	ENSPPYP00000019716	
ENSG00000019169	ENST00000327097	ENSPPYP00000014274	
ENSG00000019582	ENST00000009530	ENSPPYP00000017848	
ENSG00000020181	ENST00000412232	ENSPPYP00000020751	
ENSG00000021645	ENST00000554719	ENSPPYP00000006864	
ENSG00000022355	ENST00000023897	ENSPPYP00000017921	
ENSG00000026508	ENST00000428726	ENSPPYP00000003855	
ENSG00000026751	ENST00000368043	ENSPPYP00000000728	
ENSG00000027644	ENST00000368195	ENSPPYP00000000809	
ENSG00000027697	ENST00000367739	ENSPPYP00000019082	
ENSG00000028137	ENST00000376259	ENSPPYP00000002165	
ENSG00000030304	ENST00000374448	ENSPPYP00000021837	
ENSG00000036828	ENST00000498619	ENSPPYP00000015087	
ENSG00000037280	ENST00000261937	ENSPPYP00000018054	
ENSG00000038945	ENST00000262101	ENSPPYP00000020592	
ENSG00000043591	ENST00000369295	ENSPPYP00000003115	
ENSG00000044524	ENST00000336596	ENSPPYP00000015255	
ENSG00000047936	ENST00000368508	ENSPPYP00000018987	
ENSG00000048462	ENST00000053243	ENSPPYP00000008044	
ENSG00000049249	ENST00000377507	ENSPPYP00000002234	
ENSG00000050628	ENST00000356595	ENSPPYP00000001447	
ENSG00000054219	ENST00000263636	ENSPPYP00000014367	
ENSG00000054277	ENST00000366554	ENSPPYP00000000066	
ENSG00000054356	ENST00000295718	ENSPPYP00000014754	
ENSG00000054967	ENST00000064780	ENSPPYP00000004183	
ENSG00000056291	ENST00000308744	ENSPPYP00000016546	
ENSG00000056736	ENST00000288167	ENSPPYP00000015425	
ENSG00000060656	ENST00000345512	ENSPPYP00000001877	
ENSG00000062524	ENST00000263800	ENSPPYP00000007222	
ENSG00000064300	ENST00000172229	ENSPPYP00000010010	
ENSG00000064547	ENST00000407877	ENSPPYP00000010949	
ENSG00000064989	ENST00000392370	ENSPPYP00000014533	
ENSG00000065325	ENST00000262441	ENSPPYP00000008968	
ENSG00000065361	ENST00000267101	ENSPPYP00000005288	
ENSG00000066056	ENST00000372476	ENSPPYP00000001680	
ENSG00000066294	ENST00000311224	ENSPPYP00000000731	
ENSG00000066468	ENST00000457416	ENSPPYP00000003164	
ENSG00000067141	ENST00000261908	ENSPPYP00000007510	
ENSG00000067182	ENST00000162749	ENSPPYP00000004766	
ENSG00000068078	ENST00000340107	ENSPPYP00000016239	
ENSG00000069018	ENST00000513104	ENSPPYP00000017677	
ENSG00000069122	ENST00000452370	ENSPPYP00000018656	
ENSG00000069431	ENST00000261200	ENSPPYP00000004978	
ENSG00000069493	ENST00000261340	ENSPPYP00000004851	
ENSG00000069696	ENST00000176183	ENSPPYP00000003343	
ENSG00000069702	ENST00000212355	ENSPPYP00000001344	
ENSG00000070018	ENST00000261349	
ENSG00000070886	ENST00000166244	ENSPPYP00000002027	
ENSG00000070985	ENST00000155858	ENSPPYP00000003404	
ENSG00000072071	ENST00000340736	ENSPPYP00000010804	
ENSG00000072274	ENST00000360110	ENSPPYP00000016144	
ENSG00000072694	ENST00000358671	ENSPPYP00000000693	
ENSG00000073008	ENST00000425690	ENSPPYP00000011291	
ENSG00000073060	ENST00000261693	ENSPPYP00000005810	
ENSG00000075073	ENST00000373306	ENSPPYP00000002764	
ENSG00000075275	ENST00000262738	ENSPPYP00000013335	
ENSG00000076356	ENST00000367033	ENSPPYP00000000270	
ENSG00000077238	ENST00000395762	ENSPPYP00000008154	
ENSG00000077585	ENST00000366592	ENSPPYP00000000090	
ENSG00000077782	ENST00000425967	ENSPPYP00000020767	
ENSG00000077943	ENST00000378076	ENSPPYP00000002453	
ENSG00000078549	ENST00000304166	ENSPPYP00000019802	
ENSG00000078589	ENST00000544091	ENSPPYP00000022948	
ENSG00000080031	ENST00000376350	ENSPPYP00000011664	
ENSG00000080224	ENST00000389672	ENSPPYP00000015233	
ENSG00000080293	ENST00000019103	ENSPPYP00000014267	
ENSG00000080644	ENST00000326828	ENSPPYP00000007605	
ENSG00000081237	ENST00000442510	ENSPPYP00000000426	
ENSG00000081479	ENST00000263816	ENSPPYP00000014409	
ENSG00000081985	ENST00000262345	ENSPPYP00000001463	
ENSG00000082556	ENST00000265572	ENSPPYP00000020843	
ENSG00000082781	ENST00000296181	ENSPPYP00000015061	
ENSG00000083454	ENST00000225328	ENSPPYP00000008806	
ENSG00000083457	ENST00000263087	ENSPPYP00000008807	
ENSG00000085514	ENST00000198536	ENSPPYP00000019512	
ENSG00000088053	ENST00000310373	ENSPPYP00000011656	
ENSG00000088812	ENST00000262919	ENSPPYP00000012083	
ENSG00000089041	ENST00000546057	ENSPPYP00000005748	
ENSG00000089692	ENST00000203629	ENSPPYP00000004787	
ENSG00000090339	ENST00000264832	ENSPPYP00000010709	
ENSG00000091181	ENST00000446632	ENSPPYP00000015325	
ENSG00000091409	ENST00000409080	ENSPPYP00000014440	
ENSG00000092096	ENST00000206544	ENSPPYP00000006442	
ENSG00000092421	ENST00000343348	ENSPPYP00000017565	
ENSG00000092445	ENST00000263798	ENSPPYP00000007225	
ENSG00000094661	ENST00000209540	ENSPPYP00000010832	
ENSG00000094755	ENST00000518525	ENSPPYP00000018062	
ENSG00000095970	ENST00000373113	ENSPPYP00000018555	
ENSG00000096264	ENST00000373089	ENSPPYP00000018560	
ENSG00000096433	ENST00000374316	ENSPPYP00000018459	
ENSG00000096996	ENST00000430026	ENSPPYP00000010901	
ENSG00000099250	ENST00000265371	ENSPPYP00000002562	
ENSG00000099957	ENST00000413302	ENSPPYP00000013421	
ENSG00000100368	ENST00000403662	ENSPPYP00000013143	
ENSG00000100385	ENST00000216223	ENSPPYP00000013151	
ENSG00000100739	ENST00000216629	ENSPPYP00000006960	
ENSG00000101000	ENST00000374477	
ENSG00000101017	ENST00000372285	ENSPPYP00000012391	
ENSG00000101180	ENST00000340177	ENSPPYP00000012514	
ENSG00000101188	ENST00000370501	ENSPPYP00000012530	
ENSG00000101204	ENST00000370263	ENSPPYP00000012549	
ENSG00000101292	ENST00000546004	ENSPPYP00000012056	
ENSG00000101850	ENST00000467482	
ENSG00000101890	ENST00000218006	ENSPPYP00000023088	
ENSG00000101958	ENST00000218075	ENSPPYP00000022527	
ENSG00000102076	ENST00000369951	ENSPPYP00000023357	
ENSG00000102195	ENST00000218316	ENSPPYP00000023304	
