Ensembl Gene ID	Ensembl Transcript ID	GO Term Evidence Code	GO Term Accession	Canonical transcript stable ID(s)	Description	Associated Gene Name
ENSG00000153253	ENST00000283254	IEA	GO:0001518	ENST00000283254	sodium channel, voltage-gated, type III, alpha subunit [Source:HGNC Symbol;Acc:10590]	SCN3A
ENSG00000153253	ENST00000409101	IEA	GO:0001518	ENST00000283254	sodium channel, voltage-gated, type III, alpha subunit [Source:HGNC Symbol;Acc:10590]	SCN3A
ENSG00000153253	ENST00000440431	IEA	GO:0001518	ENST00000283254	sodium channel, voltage-gated, type III, alpha subunit [Source:HGNC Symbol;Acc:10590]	SCN3A
ENSG00000153253	ENST00000360093	NAS	GO:0001518	ENST00000283254	sodium channel, voltage-gated, type III, alpha subunit [Source:HGNC Symbol;Acc:10590]	SCN3A
ENSG00000153253	ENST00000540861	IEA	GO:0001518	ENST00000283254	sodium channel, voltage-gated, type III, alpha subunit [Source:HGNC Symbol;Acc:10590]	SCN3A
ENSG00000136531	ENST00000283256	IEA	GO:0001518	ENST00000375437	sodium channel, voltage-gated, type II, alpha subunit [Source:HGNC Symbol;Acc:10588]	SCN2A
ENSG00000136531	ENST00000375437	IEA	GO:0001518	ENST00000375437	sodium channel, voltage-gated, type II, alpha subunit [Source:HGNC Symbol;Acc:10588]	SCN2A
ENSG00000144285	ENST00000303395	IEA	GO:0001518	ENST00000303395	sodium channel, voltage-gated, type I, alpha subunit [Source:HGNC Symbol;Acc:10585]	SCN1A
ENSG00000144285	ENST00000409050	IEA	GO:0001518	ENST00000303395	sodium channel, voltage-gated, type I, alpha subunit [Source:HGNC Symbol;Acc:10585]	SCN1A
ENSG00000144285	ENST00000423058	IEA	GO:0001518	ENST00000303395	sodium channel, voltage-gated, type I, alpha subunit [Source:HGNC Symbol;Acc:10585]	SCN1A
ENSG00000169432	ENST00000409672	IEA	GO:0001518	ENST00000409672	sodium channel, voltage-gated, type IX, alpha subunit [Source:HGNC Symbol;Acc:10597]	SCN9A
ENSG00000169432	ENST00000409435	IEA	GO:0001518	ENST00000409672	sodium channel, voltage-gated, type IX, alpha subunit [Source:HGNC Symbol;Acc:10597]	SCN9A
ENSG00000169432	ENST00000375387	IEA	GO:0001518	ENST00000409672	sodium channel, voltage-gated, type IX, alpha subunit [Source:HGNC Symbol;Acc:10597]	SCN9A
ENSG00000169432	ENST00000303354	IEA	GO:0001518	ENST00000409672	sodium channel, voltage-gated, type IX, alpha subunit [Source:HGNC Symbol;Acc:10597]	SCN9A
ENSG00000136546	ENST00000409855	IEA	GO:0001518	ENST00000409855	sodium channel, voltage-gated, type VII, alpha [Source:HGNC Symbol;Acc:10594]	SCN7A
ENSG00000136546	ENST00000419992	IEA	GO:0001518	ENST00000409855	sodium channel, voltage-gated, type VII, alpha [Source:HGNC Symbol;Acc:10594]	SCN7A
ENSG00000136546	ENST00000259060	IEA	GO:0001518	ENST00000409855	sodium channel, voltage-gated, type VII, alpha [Source:HGNC Symbol;Acc:10594]	SCN7A
ENSG00000183873	ENST00000414099	IEA	GO:0001518	ENST00000413689	sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]	SCN5A
ENSG00000183873	ENST00000413689	IEA	GO:0001518	ENST00000413689	sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]	SCN5A
ENSG00000183873	ENST00000333535	IEA	GO:0001518	ENST00000413689	sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]	SCN5A
