ENSG00000162727	ENST00000366476
ENSG00000221933	ENST00000408898
ENSG00000197706	ENST00000343870
ENSG00000189181	ENST00000342623
ENSG00000233412	ENST00000356526
ENSG00000205327	ENST00000379662
ENSG00000206536	ENST00000383695
ENSG00000188324	ENST00000358433
ENSG00000188069	ENST00000380383
ENSG00000177462	ENST00000319968
ENSG00000185926	ENST00000328188
ENSG00000236032	ENST00000437310
ENSG00000184954	ENST00000327335
ENSG00000205328	ENST00000379665
ENSG00000231192	ENST00000354565
ENSG00000187857	ENST00000343399
ENSG00000198283	ENST00000360374
ENSG00000188124	ENST00000338569
ENSG00000185821	ENST00000328314
ENSG00000196098	ENST00000354924
ENSG00000171561	ENST00000305159
ENSG00000257115	ENST00000550708
ENSG00000188763	ENST00000344575
ENSG00000170128	ENST00000304244
ENSG00000179603	ENST00000339582
ENSG00000179603	ENST00000444921
ENSG00000164220	ENST00000296641
ENSG00000120436	ENST00000366834
ENSG00000112041	ENST00000229771
ENSG00000078589	ENST00000171757
ENSG00000121797	ENST00000399036
ENSG00000121797	ENST00000357392
ENSG00000121797	ENST00000400880
ENSG00000121797	ENST00000400882
ENSG00000172215	ENST00000438735
ENSG00000172215	ENST00000304552
ENSG00000172215	ENST00000458629
ENSG00000172215	ENST00000457814
ENSG00000144648	ENST00000442925
ENSG00000144648	ENST00000422265
ENSG00000144648	ENST00000273145
ENSG00000181790	ENST00000323289
ENSG00000185385	ENST00000327462
ENSG00000174946	ENST00000309180
ENSG00000180245	ENST00000317735
ENSG00000135569	ENST00000258034
ENSG00000126266	ENST00000246553
ENSG00000185897	ENST00000327809
ENSG00000166856	ENST00000300098
ENSG00000113262	ENST00000231188
ENSG00000170775	ENST00000303921
ENSG00000126251	ENST00000454971
ENSG00000126262	ENST00000246549
ENSG00000102539	ENST00000218721
ENSG00000183840	ENST00000329321
ENSG00000182687	ENST00000329003
ENSG00000121764	ENST00000373706
ENSG00000121764	ENST00000403528
ENSG00000137252	ENST00000370862
ENSG00000168124	ENST00000304646
ENSG00000115365	ENST00000443314
ENSG00000115365	ENST00000450366
ENSG00000115365	ENST00000233714
ENSG00000115365	ENST00000431941
ENSG00000175143	ENST00000366474
ENSG00000121753	ENST00000373658
ENSG00000135298	ENST00000370598
ENSG00000135298	ENST00000238918
ENSG00000164930	ENST00000358755
ENSG00000171942	ENST00000305899
ENSG00000171936	ENST00000305892
ENSG00000127529	ENST00000248072
ENSG00000094661	ENST00000209540
ENSG00000128310	ENST00000249041
ENSG00000170075	ENST00000367282
ENSG00000132329	ENST00000254661
ENSG00000155760	ENST00000286201
ENSG00000142511	ENST00000270590
ENSG00000139292	ENST00000266674
ENSG00000241258	ENST00000395326
ENSG00000136928	ENST00000259455
ENSG00000231319	ENST00000419873
ENSG00000204703	ENST00000377173
ENSG00000233054	ENST00000420178
ENSG00000226832	ENST00000415976
ENSG00000206524	ENST00000383653
ENSG00000233180	ENST00000444830
ENSG00000233687	ENST00000450817
ENSG00000225736	ENST00000456140
ENSG00000233636	ENST00000430478
ENSG00000204701	ENST00000377169
ENSG00000226271	ENST00000428081
ENSG00000233618	ENST00000418630
ENSG00000206522	ENST00000383651
ENSG00000232178	ENST00000414140
ENSG00000229866	ENST00000419260
ENSG00000226347	ENST00000457762
ENSG00000225550	ENST00000440124
ENSG00000226000	ENST00000415857
ENSG00000234746	ENST00000427744
ENSG00000232945	ENST00000419605
ENSG00000127530	ENST00000248073
ENSG00000127515	ENST00000248058
ENSG00000072071	ENST00000340736
ENSG00000221910	ENST00000408955
ENSG00000221813	ENST00000408922
ENSG00000176269	ENST00000320901
ENSG00000180658	ENST00000315453
ENSG00000175898	ENST00000317726
ENSG00000149133	ENST00000278409
ENSG00000184933	ENST00000332601
ENSG00000149305	ENST00000260191
ENSG00000168158	ENST00000304936
ENSG00000117114	ENST00000370728
ENSG00000117114	ENST00000370730
ENSG00000117114	ENST00000370725
ENSG00000117114	ENST00000370723
ENSG00000117114	ENST00000370717
ENSG00000117114	ENST00000394879
ENSG00000117114	ENST00000335786
ENSG00000169006	ENST00000306928
ENSG00000119737	ENST00000394705
ENSG00000065325	ENST00000262441
ENSG00000229185	ENST00000439874
ENSG00000125910	ENST00000246115
ENSG00000122585	ENST00000242152
ENSG00000122585	ENST00000407573
ENSG00000122585	ENST00000405982
ENSG00000128617	ENST00000249389
ENSG00000102076	ENST00000369951
ENSG00000147380	ENST00000369935
ENSG00000166160	ENST00000369929
ENSG00000130368	ENST00000252660
ENSG00000185245	ENST00000438881
ENSG00000169252	ENST00000305988
ENSG00000163914	ENST00000296271
ENSG00000181072	ENST00000445907
ENSG00000181072	ENST00000453373
ENSG00000181072	ENST00000320658
ENSG00000181072	ENST00000401861
ENSG00000181072	ENST00000397608
ENSG00000181072	ENST00000402486
ENSG00000180720	ENST00000433765
ENSG00000043591	ENST00000369295
ENSG00000178394	ENST00000323865
ENSG00000184984	ENST00000383263
ENSG00000150594	ENST00000280155
ENSG00000113721	ENST00000261799
ENSG00000172199	ENST00000302270
ENSG00000172199	ENST00000302270
ENSG00000174914	ENST00000312153
ENSG00000187701	ENST00000344889
ENSG00000168539	ENST00000306960
ENSG00000188778	ENST00000345060
ENSG00000149295	ENST00000362072
ENSG00000164120	ENST00000296522
ENSG00000169418	ENST00000368680
ENSG00000165409	ENST00000342443
ENSG00000165409	ENST00000298171
ENSG00000113389	ENST00000265074
ENSG00000222040	ENST00000409345
ENSG00000184160	ENST00000330055
ENSG00000134183	ENST00000351050
ENSG00000133019	ENST00000255380
ENSG00000075073	ENST00000373306
ENSG00000170989	ENST00000305352
ENSG00000171051	ENST00000304748
ENSG00000118432	ENST00000369501
ENSG00000118432	ENST00000369499
ENSG00000118432	ENST00000428600
ENSG00000184845	ENST00000329144
ENSG00000184845	ENST00000393752
ENSG00000197405	ENST00000355085
ENSG00000006638	ENST00000375190
ENSG00000069696	ENST00000176183
ENSG00000169676	ENST00000304374
ENSG00000138039	ENST00000294954
ENSG00000170820	ENST00000406846
ENSG00000136160	ENST00000377211
ENSG00000136160	ENST00000334286
ENSG00000113749	ENST00000377291
ENSG00000113749	ENST00000231683
ENSG00000163464	ENST00000295683
ENSG00000180871	ENST00000318507
ENSG00000187474	ENST00000339223
ENSG00000171049	ENST00000340023
ENSG00000171873	ENST00000379453
ENSG00000151617	ENST00000324300
ENSG00000115353	ENST00000305249
ENSG00000169403	ENST00000373857
ENSG00000169403	ENST00000305392
ENSG00000144476	ENST00000272928
ENSG00000181104	ENST00000319211
ENSG00000164128	ENST00000296533
ENSG00000179546	ENST00000374619
ENSG00000179546	ENST00000314113
ENSG00000135312	ENST00000369947
ENSG00000102468	ENST00000378688
ENSG00000147246	ENST00000371951
ENSG00000147246	ENST00000276198
ENSG00000135577	ENST00000258042
ENSG00000168830	ENST00000369584
ENSG00000168830	ENST00000305344
ENSG00000128271	ENST00000337539
ENSG00000170425	ENST00000304222
ENSG00000169836	ENST00000304883
ENSG00000168398	ENST00000306005
ENSG00000126895	ENST00000358927
ENSG00000126895	ENST00000337474
ENSG00000163485	ENST00000309502
ENSG00000163485	ENST00000367236
ENSG00000163485	ENST00000337894
ENSG00000126010	ENST00000380289
ENSG00000144891	ENST00000497524
ENSG00000144891	ENST00000349243
ENSG00000144891	ENST00000404754
ENSG00000144891	ENST00000475347
ENSG00000144891	ENST00000474935
ENSG00000144891	ENST00000461609
ENSG00000144891	ENST00000402260
ENSG00000180914	ENST00000316793
ENSG00000139874	ENST00000267377
ENSG00000180616	ENST00000357585
ENSG00000179097	ENST00000319595
ENSG00000180016	ENST00000322608
ENSG00000196184	ENST00000423932
ENSG00000109163	ENST00000226413
ENSG00000004948	ENST00000421592
ENSG00000004948	ENST00000360249
ENSG00000101188	ENST00000370501
ENSG00000132671	ENST00000255008
ENSG00000163394	ENST00000295589
ENSG00000110148	ENST00000334619
ENSG00000114812	ENST00000325123
ENSG00000166603	ENST00000299766
ENSG00000163823	ENST00000296140
ENSG00000102239	ENST00000370648
ENSG00000126353	ENST00000246657
ENSG00000169508	ENST00000376414
ENSG00000160683	ENST00000292174
ENSG00000183473	ENST00000328544
ENSG00000183473	ENST00000402501
ENSG00000176136	ENST00000324750
ENSG00000121933	ENST00000241356
ENSG00000148680	ENST00000336152
ENSG00000188822	ENST00000374472
ENSG00000174417	ENST00000311762
ENSG00000184166	ENST00000331459
ENSG00000160951	ENST00000292513
ENSG00000120088	ENST00000398285
ENSG00000162009	ENST00000397547
ENSG00000162009	ENST00000293897
ENSG00000120907	ENST00000276393
ENSG00000196639	ENST00000438284
ENSG00000196639	ENST00000431010
ENSG00000196639	ENST00000397056
ENSG00000170214	ENST00000306675
ENSG00000112038	ENST00000434900
ENSG00000112038	ENST00000330432
ENSG00000171522	ENST00000302472
ENSG00000228377	ENST00000420035
ENSG00000204687	ENST00000377127
ENSG00000234954	ENST00000418003
ENSG00000237284	ENST00000451019
ENSG00000206515	ENST00000383643
ENSG00000233141	ENST00000415802
ENSG00000206470	ENST00000383549
ENSG00000228515	ENST00000449044
ENSG00000134817	ENST00000257254
ENSG00000151577	ENST00000460779
ENSG00000151577	ENST00000467632
ENSG00000151577	ENST00000383673
ENSG00000132170	ENST00000287820
ENSG00000166148	ENST00000299178
ENSG00000116329	ENST00000234961
ENSG00000082556	ENST00000265572
ENSG00000125510	ENST00000336866
ENSG00000125510	ENST00000355631
ENSG00000125510	ENST00000349451
ENSG00000036828	ENST00000490131
ENSG00000036828	ENST00000296154
ENSG00000175591	ENST00000393597
ENSG00000175591	ENST00000311131
ENSG00000175591	ENST00000393596
ENSG00000078549	ENST00000304166
ENSG00000106018	ENST00000262178
ENSG00000168959	ENST00000305447
ENSG00000168959	ENST00000418177
ENSG00000135914	ENST00000258400
ENSG00000121807	ENST00000400888
ENSG00000121807	ENST00000292301
ENSG00000124089	ENST00000243911
ENSG00000196139	ENST00000380554
ENSG00000122420	ENST00000370758
ENSG00000122420	ENST00000370757
ENSG00000050628	ENST00000370931
ENSG00000050628	ENST00000306666
ENSG00000050628	ENST00000414819
ENSG00000125384	ENST00000245457
ENSG00000160013	ENST00000291294
ENSG00000112164	ENST00000373256
ENSG00000139679	ENST00000378434
ENSG00000139679	ENST00000345941
ENSG00000181773	ENST00000374024
ENSG00000183671	ENST00000407325
ENSG00000183671	ENST00000437420
ENSG00000184451	ENST00000332438
ENSG00000177464	ENST00000323040
ENSG00000173578	ENST00000309285
ENSG00000146360	ENST00000414000
ENSG00000146360	ENST00000275169
ENSG00000166736	ENST00000299961
ENSG00000166736	ENST00000375498
ENSG00000100739	ENST00000216629
ENSG00000166573	ENST00000299727
ENSG00000132975	ENST00000381436
ENSG00000132975	ENST00000405846
ENSG00000148604	ENST00000359452
ENSG00000215644	ENST00000400723
ENSG00000080293	ENST00000019103
ENSG00000180090	ENST00000323404
ENSG00000127780	ENST00000248384
ENSG00000159961	ENST00000291231
ENSG00000183024	ENST00000328890
ENSG00000221882	ENST00000408891
ENSG00000157219	ENST00000287907
ENSG00000169860	ENST00000305097
ENSG00000198049	ENST00000367126
ENSG00000168412	ENST00000307161
ENSG00000183729	ENST00000331251
ENSG00000125522	ENST00000369768
ENSG00000010310	ENST00000263281
ENSG00000123146	ENST00000242786
ENSG00000182782	ENST00000328880
ENSG00000185149	ENST00000329476
ENSG00000144407	ENST00000272847
ENSG00000168329	ENST00000399220
ENSG00000168329	ENST00000358309
ENSG00000134640	ENST00000257068
ENSG00000186810	ENST00000373693
ENSG00000119973	ENST00000369169
ENSG00000119973	ENST00000239032
ENSG00000154165	ENST00000284311
ENSG00000180772	ENST00000371906
ENSG00000204174	ENST00000395716
ENSG00000204174	ENST00000374312
