Ensembl Gene ID	Ensembl Transcript ID	Canonical transcript stable ID(s)	GO Term Evidence Code	GO Term Accession	Description	Associated Gene Name
ENSG00000003056	ENST00000000412	ENST00000000412	TAS	GO:0004888	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]	M6PR
ENSG00000004399	ENST00000324093	ENST00000324093	IEA	GO:0004872	plexin D1 [Source:HGNC Symbol;Acc:9107]	PLXND1
ENSG00000004399	ENST00000324093	ENST00000324093	IEA	GO:0017154	plexin D1 [Source:HGNC Symbol;Acc:9107]	PLXND1
ENSG00000004468	ENST00000226279	ENST00000226279	IEA	GO:0004872	CD38 molecule [Source:HGNC Symbol;Acc:1667]	CD38
ENSG00000004948	ENST00000359558	ENST00000359558	IEA	GO:0004888	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000359558	ENST00000359558	IEA	GO:0004930	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000359558	ENST00000359558	IEA	GO:0004948	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000360249	ENST00000359558	IEA	GO:0004888	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000360249	ENST00000359558	IEA	GO:0004930	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000360249	ENST00000359558	IEA	GO:0004948	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000394441	ENST00000359558	IEA	GO:0004888	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000394441	ENST00000359558	IEA	GO:0004930	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000394441	ENST00000359558	IEA	GO:0004948	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000415529	ENST00000359558	IEA	GO:0004888	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000415529	ENST00000359558	IEA	GO:0004930	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
