ENSPTRG00000000009|ENSPTRT00000000016|ENSPTRP00000000012
ENSPTRG00000000010|ENSPTRT00000000020|ENSPTRP00000000016
ENSPTRG00000000053|ENSPTRT00000000116|ENSPTRP00000000096
ENSPTRG00000000082|ENSPTRT00000000180|ENSPTRP00000000152
ENSPTRG00000000090|ENSPTRT00000000208|ENSPTRP00000000174
ENSPTRG00000000101|ENSPTRT00000000233|ENSPTRP00000000195
ENSPTRG00000000161|ENSPTRT00000000357|ENSPTRP00000000308
ENSPTRG00000000164|ENSPTRT00000000361|ENSPTRP00000000311
ENSPTRG00000000221|ENSPTRT00000000459|ENSPTRP00000000400
ENSPTRG00000000254|ENSPTRT00000000522|ENSPTRP00000000453
ENSPTRG00000000271|ENSPTRT00000000546|ENSPTRP00000000474
ENSPTRG00000000316|ENSPTRT00000000626|ENSPTRP00000000553
ENSPTRG00000000323|ENSPTRT00000000643|ENSPTRP00000000568
ENSPTRG00000000367|ENSPTRT00000000736|ENSPTRP00000000651
ENSPTRG00000000407|ENSPTRT00000000800|ENSPTRP00000000712
ENSPTRG00000000440|ENSPTRT00000000852|ENSPTRP00000000764
ENSPTRG00000000462|ENSPTRT00000000898|ENSPTRP00000000804
ENSPTRG00000000465|ENSPTRT00000000907|ENSPTRP00000000811
ENSPTRG00000000542|ENSPTRT00000001066|ENSPTRP00000000960
ENSPTRG00000000543|ENSPTRT00000001067|ENSPTRP00000000961
ENSPTRG00000000553|ENSPTRT00000001083|ENSPTRP00000000976
ENSPTRG00000000631|ENSPTRT00000001197|ENSPTRP00000001085
ENSPTRG00000000633|ENSPTRT00000001199|ENSPTRP00000001087
ENSPTRG00000000664|ENSPTRT00000001265|ENSPTRP00000001152
ENSPTRG00000000754|ENSPTRT00000001424|ENSPTRP00000001294
ENSPTRG00000000795|ENSPTRT00000001504|ENSPTRP00000001367
ENSPTRG00000000839|ENSPTRT00000001591|ENSPTRP00000001450
ENSPTRG00000000840|ENSPTRT00000001592|ENSPTRP00000001451
ENSPTRG00000000855|ENSPTRT00000001625|ENSPTRP00000001483
ENSPTRG00000000907|ENSPTRT00000001715|ENSPTRP00000001564
ENSPTRG00000000952|ENSPTRT00000001796|ENSPTRP00000001640
ENSPTRG00000001008|ENSPTRT00000001889|ENSPTRP00000001732
ENSPTRG00000001014|ENSPTRT00000001901|ENSPTRP00000001744
ENSPTRG00000001044|ENSPTRT00000001963|ENSPTRP00000001803
ENSPTRG00000001046|ENSPTRT00000001967|ENSPTRP00000001807
ENSPTRG00000001054|ENSPTRT00000001980|ENSPTRP00000001820
ENSPTRG00000001101|ENSPTRT00000002069|ENSPTRP00000001902
ENSG00000003056|ENST00000000412|ENSP00000000412
ENSG00000005884|ENST00000007722|ENSP00000007722
ENSG00000019582|ENST00000009530|ENSP00000009530
ENSG00000010610|ENST00000011653|ENSP00000011653
ENSG00000013588|ENST00000014914|ENSP00000014914
ENSG00000080293|ENST00000019103|ENSP00000019103
ENSG00000022355|ENST00000023897|ENSP00000023897
ENSG00000048462|ENST00000053243|ENSP00000053243
ENSG00000054967|ENST00000064780|ENSP00000064780
ENSG00000070985|ENST00000155858|ENSP00000155858
ENSG00000067182|ENST00000162749|ENSP00000162749
ENSG00000008300|ENST00000164024|ENSP00000164024
ENSG00000070886|ENST00000166244|ENSP00000166244
ENSG00000064300|ENST00000172229|ENSP00000172229
ENSG00000069696|ENST00000176183|ENSP00000176183
ENSG00000085514|ENST00000198536|ENSP00000198536
ENSG00000089692|ENST00000203629|ENSP00000203629
ENSG00000092096|ENST00000206544|ENSP00000206544
ENSG00000094661|ENST00000209540|ENSP00000209540
ENSG00000069702|ENST00000212355|ENSP00000212355
ENSG00000100385|ENST00000216223|ENSP00000216223
ENSG00000100739|ENST00000216629|ENSP00000216629
ENSG00000101890|ENST00000218006|ENSP00000218006
ENSG00000101958|ENST00000218075|ENSP00000218075
ENSG00000102195|ENST00000218316|ENSP00000218316
ENSG00000102539|ENST00000218721|ENSP00000218721
ENSG00000103310|ENST00000219593|ENSP00000219593
ENSG00000104332|ENST00000220772|ENSP00000220772
ENSG00000104870|ENST00000221466|ENSP00000221466
ENSG00000105369|ENST00000221972|ENSP00000221972
ENSG00000187266|ENST00000222139|ENSP00000222139
ENSG00000105855|ENST00000222573|ENSP00000222573
ENSG00000106327|ENST00000223051|ENSP00000223051
ENSG00000107779|ENST00000224764|ENSP00000224764
ENSG00000083454|ENST00000225328|ENSP00000225328
ENSG00000108405|ENST00000225538|ENSP00000225538
ENSG00000108947|ENST00000226091|ENSP00000226091
ENSG00000004468|ENST00000226279|ENSP00000226279
ENSG00000109163|ENST00000226413|ENSP00000226413
ENSG00000110324|ENST00000227752|ENSP00000227752
ENSG00000110848|ENST00000228434|ENSP00000228434
ENSG00000111291|ENST00000228887|ENSP00000228887
ENSG00000111432|ENST00000229030|ENSP00000229030
ENSG00000111729|ENST00000229332|ENSP00000229332
ENSG00000111796|ENST00000229402|ENSP00000229402
ENSG00000204252|ENST00000229829|ENSP00000229829
ENSG00000112459|ENST00000230221|ENSP00000230221
ENSG00000112964|ENST00000230882|ENSP00000230882
ENSG00000113070|ENST00000230990|ENSP00000230990
ENSG00000113262|ENST00000231188|ENSP00000231188
ENSG00000115602|ENST00000233954|ENSP00000233954
ENSG00000116014|ENST00000234371|ENSP00000234371
ENSG00000116032|ENST00000234389|ENSP00000234389
ENSG00000116329|ENST00000234961|ENSP00000234961
ENSG00000119686|ENST00000238667|ENSP00000238667
ENSG00000119973|ENST00000239032|ENSP00000239032
ENSG00000120586|ENST00000239761|ENSP00000239761
ENSG00000120659|ENST00000239849|ENSP00000239849
ENSG00000213809|ENST00000240618|ENSP00000240618
ENSG00000121853|ENST00000241256|ENSP00000241256
ENSG00000121989|ENST00000241416|ENSP00000241416
ENSG00000122025|ENST00000241453|ENSP00000241453
ENSG00000122679|ENST00000242249|ENSP00000242249
ENSG00000123146|ENST00000242786|ENSP00000242786
ENSG00000123384|ENST00000243077|ENSP00000243077
ENSG00000123612|ENST00000243349|ENSP00000243349
ENSG00000123901|ENST00000243673|ENSP00000243673
ENSG00000124089|ENST00000243911|ENSP00000243911
ENSG00000124334|ENST00000244174|ENSP00000244174
ENSG00000124557|ENST00000244513|ENSP00000244513
ENSG00000124657|ENST00000244623|ENSP00000244623
ENSG00000124731|ENST00000244709|ENSP00000244709
ENSG00000125384|ENST00000245457|ENSP00000245457
ENSG00000204577|ENST00000245620|ENSP00000245620
ENSG00000125810|ENST00000246006|ENSP00000246006
ENSG00000125910|ENST00000246115|ENSP00000246115
ENSG00000126246|ENST00000246532|ENSP00000246532
ENSG00000126262|ENST00000246549|ENSP00000246549
ENSG00000126266|ENST00000246553|ENSP00000246553
ENSG00000126353|ENST00000246657|ENSP00000246657
ENSG00000127364|ENST00000247881|ENSP00000247881
ENSG00000127515|ENST00000248058|ENSP00000248058
ENSG00000127529|ENST00000248072|ENSP00000248072
ENSG00000127530|ENST00000248073|ENSP00000248073
ENSG00000127533|ENST00000248076|ENSP00000248076
ENSG00000127780|ENST00000248384|ENSP00000248384
ENSG00000128285|ENST00000249016|ENSP00000249016
ENSG00000128310|ENST00000249041|ENSP00000249041
ENSG00000128519|ENST00000249284|ENSP00000249284
ENSG00000128602|ENST00000249373|ENSP00000249373
ENSG00000128617|ENST00000249389|ENSP00000249389
ENSG00000129048|ENST00000249887|ENSP00000249887
ENSG00000129749|ENST00000250699|ENSP00000250699
ENSG00000130164|ENST00000252444|ENSP00000252444
ENSG00000130202|ENST00000252483|ENSP00000252483
ENSG00000130234|ENST00000252519|ENSP00000252519
ENSG00000130368|ENST00000252660|ENSP00000252660
ENSG00000130529|ENST00000252826|ENSP00000252826
ENSG00000130538|ENST00000252835|ENSP00000252835
ENSG00000131355|ENST00000253673|ENSP00000253673
ENSG00000131477|ENST00000253796|ENSP00000253796
