ENSG00000003056	ENST00000000412	ENSMUSP00000007602
ENSG00000005884	ENST00000007722	ENSMUSP00000001548
ENSG00000019582	ENST00000009530	ENSMUSP00000095171
ENSG00000010610	ENST00000011653	ENSMUSP00000024044
ENSG00000013588	ENST00000014914	ENSMUSP00000061062
ENSG00000080293	ENST00000019103	ENSMUSP00000072660
ENSG00000022355	ENST00000023897	ENSMUSP00000020707
ENSG00000048462	ENST00000053243	ENSMUSP00000023140
ENSG00000054967	ENST00000064780	ENSMUSP00000008462
ENSG00000070985	ENST00000155858	ENSMUSP00000009390
ENSG00000067182	ENST00000162749	ENSMUSP00000032491
ENSG00000008300	ENST00000164024	ENSMUSP00000024238
ENSG00000070886	ENST00000166244	ENSMUSP00000030420
ENSG00000064300	ENST00000172229	ENSMUSP00000000122
ENSG00000069696	ENST00000176183	ENSMUSP00000026569
ENSG00000089692	ENST00000203629	ENSMUSP00000032217
ENSG00000092096	ENST00000206544	ENSMUSP00000049676
ENSG00000094661	ENST00000209540	ENSMUSP00000093127
ENSG00000069702	ENST00000212355	ENSMUSP00000031224
ENSG00000100385	ENST00000216223	ENSMUSP00000086820
ENSG00000100739	ENST00000216629	ENSMUSP00000045335
ENSG00000101890	ENST00000218006	ENSMUSP00000044521
ENSG00000101958	ENST00000218075	ENSMUSP00000060827
ENSG00000102195	ENST00000218316	ENSMUSP00000064608
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSMUSP00000033207
ENSG00000104332	ENST00000220772	ENSMUSP00000033952
ENSG00000104870	ENST00000221466	ENSMUSP00000003512
ENSG00000105369	ENST00000221972	ENSMUSP00000003469
ENSG00000187266	ENST00000222139	ENSMUSP00000006397
ENSG00000105855	ENST00000222573	ENSMUSP00000026360
ENSG00000106327	ENST00000223051	ENSMUSP00000031729
ENSG00000107779	ENST00000224764	ENSMUSP00000035900
ENSG00000083454	ENST00000225328	ENSMUSP00000006104
ENSG00000108405	ENST00000225538	ENSMUSP00000021141
ENSG00000108947	ENST00000226091	ENSMUSP00000004036
ENSG00000004468	ENST00000226279	ENSMUSP00000030964
ENSG00000109163	ENST00000226413	ENSMUSP00000031172
ENSG00000110324	ENST00000227752	ENSMUSP00000034594
ENSG00000110848	ENST00000228434	ENSMUSP00000032259
ENSG00000111291	ENST00000228887	ENSMUSP00000032327
ENSG00000111432	ENST00000229030	ENSMUSP00000114114
ENSG00000204252	ENST00000229829	ENSMUSP00000025192
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSMUSP00000069457
ENSG00000113070	ENST00000230990	ENSMUSP00000025363
ENSG00000113262	ENST00000231188	ENSMUSP00000130728
ENSG00000115602	ENST00000233954	ENSMUSP00000095379
ENSG00000116014	ENST00000234371	ENSMUSP00000040516
ENSG00000116032	ENST00000234389	ENSMUSP00000048576
ENSG00000116329	ENST00000234961	ENSMUSP00000050077
ENSG00000119686	ENST00000238667	ENSMUSP00000035569
ENSG00000119973	ENST00000239032	ENSMUSP00000063114
ENSG00000120586	ENST00000239761	ENSMUSP00000028045
ENSG00000120659	ENST00000239849	ENSMUSP00000022592
ENSG00000213809	ENST00000240618	ENSMUSP00000032252
ENSG00000121853	ENST00000241256	ENSMUSP00000061153
ENSG00000121989	ENST00000241416	ENSMUSP00000067305
ENSG00000122025	ENST00000241453	ENSMUSP00000039041
ENSG00000122679	ENST00000242249	ENSMUSP00000047518
ENSG00000123146	ENST00000242786	ENSMUSP00000075240
ENSG00000123384	ENST00000243077	ENSMUSP00000044004
ENSG00000123612	ENST00000243349	ENSMUSP00000028178
ENSG00000123901	ENST00000243673	ENSMUSP00000034408
ENSG00000124089	ENST00000243911	ENSMUSP00000047358
ENSG00000124334	ENST00000244174	ENSMUSP00000119557
ENSG00000124557	ENST00000244513	ENSMUSP00000041013
ENSG00000124657	ENST00000244623	ENSMUSP00000043099
ENSG00000124731	ENST00000244709	ENSMUSP00000038636
ENSG00000125384	ENST00000245457	ENSMUSP00000038483
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSMUSP00000096876
ENSG00000125910	ENST00000246115	ENSMUSP00000050412
ENSG00000126246	ENST00000246532	ENSMUSP00000042312
ENSG00000126262	ENST00000246549	ENSMUSP00000052600
ENSG00000126266	ENST00000246553	ENSMUSP00000055564
ENSG00000126353	ENST00000246657	ENSMUSP00000099423
ENSG00000127364	ENST00000247881	ENSMUSP00000044089
