ENSG00000003056	ENST00000000412	ENSVPAP00000003675
ENSG00000005884	ENST00000007722	
ENSG00000019582	ENST00000009530	
ENSG00000010610	ENST00000011653	ENSVPAP00000007850
ENSG00000013588	ENST00000014914	
ENSG00000080293	ENST00000019103	ENSVPAP00000010885
ENSG00000022355	ENST00000023897	ENSVPAP00000007754
ENSG00000048462	ENST00000053243	ENSVPAP00000011091
ENSG00000054967	ENST00000064780	
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	
ENSG00000008300	ENST00000164024	
ENSG00000070886	ENST00000166244	
ENSG00000064300	ENST00000172229	
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	
ENSG00000089692	ENST00000203629	ENSVPAP00000009881
ENSG00000092096	ENST00000206544	
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSVPAP00000005927
ENSG00000100385	ENST00000216223	
ENSG00000100739	ENST00000216629	ENSVPAP00000005737
ENSG00000101890	ENST00000218006	ENSVPAP00000006800
ENSG00000101958	ENST00000218075	ENSVPAP00000005576
ENSG00000102195	ENST00000218316	
ENSG00000102539	ENST00000218721	ENSVPAP00000011177
ENSG00000103310	ENST00000219593	ENSVPAP00000003216
ENSG00000104332	ENST00000220772	
ENSG00000104870	ENST00000221466	
ENSG00000105369	ENST00000221972	
ENSG00000187266	ENST00000222139	
ENSG00000105855	ENST00000222573	ENSVPAP00000001926
ENSG00000106327	ENST00000223051	ENSVPAP00000001143
ENSG00000107779	ENST00000224764	ENSVPAP00000000448
ENSG00000083454	ENST00000225328	
ENSG00000108405	ENST00000225538	
ENSG00000108947	ENST00000226091	
ENSG00000004468	ENST00000226279	ENSVPAP00000001964
ENSG00000109163	ENST00000226413	ENSVPAP00000008202
ENSG00000110324	ENST00000227752	ENSVPAP00000007015
ENSG00000110848	ENST00000228434	ENSVPAP00000003465
ENSG00000111291	ENST00000228887	ENSVPAP00000004314
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	
ENSG00000111796	ENST00000229402	ENSVPAP00000008606
ENSG00000204252	ENST00000229829	ENSVPAP00000007490
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSVPAP00000002358
ENSG00000113070	ENST00000230990	ENSVPAP00000002259
ENSG00000113262	ENST00000231188	ENSVPAP00000010426
ENSG00000115602	ENST00000233954	ENSVPAP00000008236
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	ENSVPAP00000001842
ENSG00000119686	ENST00000238667	ENSVPAP00000002860
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSVPAP00000009494
ENSG00000120659	ENST00000239849	ENSVPAP00000009594
ENSG00000213809	ENST00000240618	ENSVPAP00000001933
ENSG00000121853	ENST00000241256	ENSVPAP00000005475
ENSG00000121989	ENST00000241416	ENSVPAP00000005135
ENSG00000122025	ENST00000241453	ENSVPAP00000005897
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	
ENSG00000123384	ENST00000243077	
ENSG00000123612	ENST00000243349	ENSVPAP00000009909
ENSG00000123901	ENST00000243673	
ENSG00000124089	ENST00000243911	ENSVPAP00000011280
ENSG00000124334	ENST00000244174		
ENSG00000124731	ENST00000244709	ENSVPAP00000004625
ENSG00000125384	ENST00000245457	
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	
ENSG00000127364	ENST00000247881	ENSVPAP00000003417
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	
ENSG00000128285	ENST00000249016	ENSVPAP00000008581
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	ENSVPAP00000004243
ENSG00000128602	ENST00000249373	ENSVPAP00000004392
ENSG00000128617	ENST00000249389	ENSVPAP00000004709
ENSG00000129048	ENST00000249887	ENSVPAP00000003393
ENSG00000129749	ENST00000250699	
ENSG00000130164	ENST00000252444	ENSVPAP00000002542
ENSG00000130202	ENST00000252483	
ENSG00000130234	ENST00000252519	ENSVPAP00000009479
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSVPAP00000005215
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	ENSVPAP00000011362
ENSG00000131477	ENST00000253796	ENSVPAP00000003524
ENSG00000132329	ENST00000254661	
ENSG00000132334	ENST00000254667	
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	
ENSG00000133019	ENST00000255380	
ENSG00000133800	ENST00000256178	ENSVPAP00000004209
ENSG00000134061	ENST00000256447	ENSVPAP00000004702
ENSG00000134243	ENST00000256637	ENSVPAP00000005192
ENSG00000134250	ENST00000256646	
ENSG00000134489	ENST00000256906	ENSVPAP00000000282
ENSG00000134640	ENST00000257068	ENSVPAP00000001757
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSVPAP00000001971
ENSG00000135409	ENST00000257863	
ENSG00000135424	ENST00000257879	
ENSG00000135577	ENST00000258042	ENSVPAP00000003530
ENSG00000135902	ENST00000258385	
ENSG00000135914	ENST00000258400	ENSVPAP00000001723
ENSG00000135960	ENST00000258443	
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSVPAP00000003761
ENSG00000136834	ENST00000259357	ENSVPAP00000008529
ENSG00000136839	ENST00000259362	
ENSG00000136928	ENST00000259455	ENSVPAP00000009677
ENSG00000136939	ENST00000259466	ENSVPAP00000006071
ENSG00000136960	ENST00000259486	ENSVPAP00000000705
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSVPAP00000005931
ENSG00000149305	ENST00000260191	ENSVPAP00000003233
ENSG00000137642	ENST00000260197	ENSVPAP00000005661
ENSG00000138271	ENST00000260843	ENSVPAP00000005679
ENSG00000138435	ENST00000261007	ENSVPAP00000002472
ENSG00000138448	ENST00000261023	ENSVPAP00000005211
ENSG00000069431	ENST00000261200	ENSVPAP00000007025
ENSG00000069493	ENST00000261340	ENSVPAP00000000147
ENSG00000070018	ENST00000261349	ENSVPAP00000005466
ENSG00000240505	ENST00000261652	
ENSG00000111452	ENST00000261654	
ENSG00000073060	ENST00000261693	ENSVPAP00000010273
ENSG00000117971	ENST00000261751	ENSVPAP00000007687
ENSG00000113721	ENST00000261799	
ENSG00000067141	ENST00000261908	ENSVPAP00000009742
ENSG00000037280	ENST00000261937	
ENSG00000038945	ENST00000262101	ENSVPAP00000011097
ENSG00000106018	ENST00000262178	
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSVPAP00000000851
ENSG00000005961	ENST00000262407	ENSVPAP00000006449
ENSG00000065325	ENST00000262441	ENSVPAP00000004981
ENSG00000105707	ENST00000262626	
ENSG00000075275	ENST00000262738	
ENSG00000105737	ENST00000262895	
ENSG00000088812	ENST00000262919	ENSVPAP00000001932
ENSG00000083457	ENST00000263087	ENSVPAP00000003816
ENSG00000105464	ENST00000263269	ENSVPAP00000008179
ENSG00000010310	ENST00000263281	
ENSG00000109991	ENST00000263314	ENSVPAP00000002691
ENSG00000104998	ENST00000263379	ENSVPAP00000003313
ENSG00000113594	ENST00000263409	ENSVPAP00000004078
ENSG00000054219	ENST00000263636	ENSVPAP00000002510
ENSG00000115170	ENST00000263640	ENSVPAP00000000593
ENSG00000092445	ENST00000263798	
ENSG00000062524	ENST00000263800	
ENSG00000081479	ENST00000263816	ENSVPAP00000006666
ENSG00000128052	ENST00000263923	ENSVPAP00000005970
ENSG00000120949	ENST00000263932	ENSVPAP00000005252
ENSG00000110400	ENST00000264025	ENSVPAP00000006854
ENSG00000121594	ENST00000264246	ENSVPAP00000003494
ENSG00000115598	ENST00000264257	ENSVPAP00000008234
ENSG00000109158	ENST00000264318	ENSVPAP00000010690
ENSG00000125675	ENST00000264357	ENSVPAP00000005790
ENSG00000109738	ENST00000264428	ENSVPAP00000010528
ENSG00000108797	ENST00000264638	
ENSG00000144668	ENST00000264741	ENSVPAP00000002145
ENSG00000090339	ENST00000264832	
ENSG00000138760	ENST00000264896	ENSVPAP00000011459
ENSG00000099250	ENST00000265371	ENSVPAP00000010443
ENSG00000082556	ENST00000265572	ENSVPAP00000008503
ENSG00000139193	ENST00000266557	
ENSG00000139292	ENST00000266674	ENSVPAP00000010152
ENSG00000139572	ENST00000267015	
ENSG00000065361	ENST00000267101	ENSVPAP00000008857
ENSG00000139636	ENST00000267102	ENSVPAP00000004079
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSVPAP00000005945
ENSG00000140678	ENST00000268296	ENSVPAP00000005381
ENSG00000140749	ENST00000268389	ENSVPAP00000010322
ENSG00000141194	ENST00000268912	
ENSG00000141458	ENST00000269228	
ENSG00000141505	ENST00000269299	ENSVPAP00000003325
ENSG00000141655	ENST00000269485	
ENSG00000141736	ENST00000269571	ENSVPAP00000001575
ENSG00000142166	ENST00000270139	ENSVPAP00000008510
ENSG00000187244	ENST00000270233	
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	
ENSG00000143226	ENST00000271450	
ENSG00000163518	ENST00000271532	ENSVPAP00000007786
ENSG00000144136	ENST00000272542	ENSVPAP00000010350
ENSG00000144407	ENST00000272847	ENSVPAP00000009034
ENSG00000144476	ENST00000272928	
ENSG00000144820	ENST00000273352	ENSVPAP00000011361
ENSG00000145103	ENST00000273691	
ENSG00000145242	ENST00000273854	ENSVPAP00000010246
ENSG00000145244	ENST00000273857	ENSVPAP00000008032
ENSG00000145451	ENST00000274093	ENSVPAP00000008950
ENSG00000145623	ENST00000274276	ENSVPAP00000004080
ENSG00000145863	ENST00000274545	ENSVPAP00000007753
ENSG00000146360	ENST00000275169	ENSVPAP00000004037
ENSG00000146399	ENST00000275216	ENSVPAP00000004741
ENSG00000146648	ENST00000275493	ENSVPAP00000010337
ENSG00000146904	ENST00000275815	
ENSG00000147138	ENST00000276077	
ENSG00000147246	ENST00000276198	ENSVPAP00000011418
ENSG00000147262	ENST00000276218	
ENSG00000147434	ENST00000276410	
ENSG00000120889	ENST00000276431	ENSVPAP00000005659
ENSG00000147650	ENST00000276654	ENSVPAP00000011500
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	
ENSG00000149133	ENST00000278409	ENSVPAP00000000830
ENSG00000149534	ENST00000278888	ENSVPAP00000001551
ENSG00000150045	ENST00000279544	ENSVPAP00000003463
ENSG00000150086	ENST00000279593	
ENSG00000150261	ENST00000279783	ENSVPAP00000001165
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSVPAP00000006391
ENSG00000150938	ENST00000280527	ENSVPAP00000003050
ENSG00000151490	ENST00000281171	ENSVPAP00000002265
ENSG00000116106	ENST00000281821	ENSVPAP00000007783
ENSG00000152207	ENST00000282018	ENSVPAP00000008888
ENSG00000152208	ENST00000282020	ENSVPAP00000007264
ENSG00000152578	ENST00000282499	ENSVPAP00000007097
ENSG00000213949	ENST00000282588	ENSVPAP00000001026
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSVPAP00000006387
ENSG00000153246	ENST00000283243	ENSVPAP00000002511
ENSG00000115221	ENST00000283249	ENSVPAP00000002512
ENSG00000153563	ENST00000283635	
ENSG00000196119	ENST00000284287	
ENSG00000154165	ENST00000284311	
ENSG00000154309	ENST00000284476	ENSVPAP00000001396
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	ENSVPAP00000009265
ENSG00000155249	ENST00000285600	ENSVPAP00000004004
ENSG00000155511	ENST00000285900	ENSVPAP00000008328
ENSG00000155760	ENST00000286201	ENSVPAP00000006228
ENSG00000182578	ENST00000286301	
ENSG00000157219	ENST00000287907	
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSVPAP00000005969
ENSG00000056736	ENST00000288167	ENSVPAP00000011666
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	
ENSG00000158748	ENST00000289753	
ENSG00000158869	ENST00000289902	
ENSG00000147432	ENST00000289957	
ENSG00000243646	ENST00000290200	ENSVPAP00000008508
ENSG00000159128	ENST00000290219	ENSVPAP00000008511
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	
ENSG00000160013	ENST00000291294	
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	ENSVPAP00000000482
ENSG00000160951	ENST00000292513	
ENSG00000161509	ENST00000293190	
ENSG00000161638	ENST00000293379	ENSVPAP00000010687
ENSG00000161807	ENST00000293614	ENSVPAP00000003414
ENSG00000161921	ENST00000293778	
ENSG00000108556	ENST00000293780	
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSVPAP00000010779
ENSG00000153208	ENST00000295408	ENSVPAP00000011278
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSVPAP00000002340
ENSG00000163288	ENST00000295454	ENSVPAP00000008014
ENSG00000163394	ENST00000295589	ENSVPAP00000003357
ENSG00000163464	ENST00000295683	
ENSG00000054356	ENST00000295718	ENSVPAP00000005656
ENSG00000163702	ENST00000295981	
ENSG00000163785	ENST00000296084	ENSVPAP00000006225
ENSG00000163823	ENST00000296140	ENSVPAP00000006086
ENSG00000082781	ENST00000296181	
ENSG00000163914	ENST00000296271	ENSVPAP00000003084
ENSG00000164078	ENST00000296474	
ENSG00000120251	ENST00000296526	ENSVPAP00000010529
ENSG00000164128	ENST00000296533	ENSVPAP00000005418
ENSG00000164171	ENST00000296585	ENSVPAP00000001035
ENSG00000164220	ENST00000296641	ENSVPAP00000004895
ENSG00000164251	ENST00000296677	ENSVPAP00000000983
ENSG00000164342	ENST00000296795	ENSVPAP00000011465
ENSG00000146072	ENST00000296861	ENSVPAP00000003368
ENSG00000164393	ENST00000296862	ENSVPAP00000003370
ENSG00000165202	ENST00000297913	ENSVPAP00000005496
ENSG00000165370	ENST00000298110	
ENSG00000133105	ENST00000298386	ENSVPAP00000010132
ENSG00000165621	ENST00000298440	ENSVPAP00000007081
ENSG00000165682	ENST00000298527	
ENSG00000165762	ENST00000298642	ENSVPAP00000001943
ENSG00000166073	ENST00000299092	ENSVPAP00000004060
ENSG00000166148	ENST00000299178	ENSVPAP00000006453
ENSG00000166363	ENST00000299454	ENSVPAP00000003462
ENSG00000166368	ENST00000299459	
ENSG00000169684	ENST00000299565	
ENSG00000166573	ENST00000299727	
ENSG00000166603	ENST00000299766	ENSVPAP00000009235
ENSG00000166682	ENST00000299882	
ENSG00000166825	ENST00000300060	
ENSG00000166856	ENST00000300098	ENSVPAP00000009795
ENSG00000166884	ENST00000300127	
ENSG00000167286	ENST00000300692	ENSVPAP00000005182
ENSG00000242180	ENST00000300773	ENSVPAP00000000536
ENSG00000167601	ENST00000301178	
ENSG00000167822	ENST00000301529	
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	
ENSG00000117090	ENST00000302035	ENSVPAP00000006008
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	
ENSG00000172188	ENST00000302231	ENSVPAP00000001888
ENSG00000172208	ENST00000302329	ENSVPAP00000000120
ENSG00000171522	ENST00000302472	ENSVPAP00000002343
ENSG00000171657	ENST00000302548	
ENSG00000172362	ENST00000302572	ENSVPAP00000006315
ENSG00000172365	ENST00000302581	ENSVPAP00000000054
ENSG00000172377	ENST00000302610	ENSVPAP00000002187
ENSG00000172381	ENST00000302622	
ENSG00000169313	ENST00000302632	ENSVPAP00000005682
ENSG00000150995	ENST00000302640	ENSVPAP00000006928
ENSG00000171133	ENST00000302681	ENSVPAP00000006563
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	
ENSG00000169992	ENST00000302926	ENSVPAP00000003832
ENSG00000172457	ENST00000302957	ENSVPAP00000008116
ENSG00000172464	ENST00000302981	ENSVPAP00000011678
ENSG00000172487	ENST00000303039	
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSVPAP00000007041
