Ensembl Gene ID	Ensembl Transcript ID	Gibbon Ensembl Protein ID	
ENSG00000003056	ENST00000000412	ENSNLEP00000003521	
ENSG00000004399	ENST00000324093	ENSNLEP00000006382	
ENSG00000004468	ENST00000226279	ENSNLEP00000019914	
ENSG00000004948	ENST00000359558	ENSNLEP00000018686	
ENSG00000005884	ENST00000007722	ENSNLEP00000010846	
ENSG00000005961	ENST00000262407	ENSNLEP00000000204	
ENSG00000006071	ENST00000389817	ENSNLEP00000021524	
ENSG00000006327	ENST00000326577	ENSNLEP00000011605	
ENSG00000006638	ENST00000411851	ENSNLEP00000003276	
ENSG00000007312	ENST00000392795	ENSNLEP00000018381	
ENSG00000007908	ENST00000333360	ENSNLEP00000018287	
ENSG00000008300	ENST00000164024	ENSNLEP00000008112	
ENSG00000010310	ENST00000263281	ENSNLEP00000002717	
ENSG00000010610	ENST00000011653	ENSNLEP00000005682	
ENSG00000011677	ENST00000370314	ENSNLEP00000016763	
ENSG00000013588	ENST00000014914	ENSNLEP00000004456	
ENSG00000013725	ENST00000313421	ENSNLEP00000016701	
ENSG00000015520	ENST00000289547	ENSNLEP00000004589	
ENSG00000019169	ENST00000327097	ENSNLEP00000014422	
ENSG00000019582	ENST00000009530	ENSNLEP00000012618	
ENSG00000020181	ENST00000412232	ENSNLEP00000014788	
ENSG00000021645	ENST00000554719	ENSNLEP00000020401	
ENSG00000022355	ENST00000023897	ENSNLEP00000005565	
ENSG00000026508	ENST00000428726	ENSNLEP00000021785	
ENSG00000026751	ENST00000368043	ENSNLEP00000016637	
ENSG00000027644	ENST00000368195	ENSNLEP00000015550	
ENSG00000027697	ENST00000367739	ENSNLEP00000018132	
ENSG00000028137	ENST00000376259	ENSNLEP00000011945	
ENSG00000030304	ENST00000374448	ENSNLEP00000021212	
ENSG00000036828	ENST00000498619	ENSNLEP00000000336	
ENSG00000037280	ENST00000261937	ENSNLEP00000003032	
ENSG00000038945	ENST00000262101	ENSNLEP00000002839	
ENSG00000043591	ENST00000369295	ENSNLEP00000022964	
ENSG00000044524	ENST00000336596	ENSNLEP00000014272	
ENSG00000047936	ENST00000368508	ENSNLEP00000016224	
ENSG00000048462	ENST00000053243	ENSNLEP00000012439	
ENSG00000049249	ENST00000377507	ENSNLEP00000010712	
ENSG00000050628	ENST00000356595	ENSNLEP00000011486	
ENSG00000054219	ENST00000263636	ENSNLEP00000001555	
ENSG00000054277	ENST00000366554	ENSNLEP00000004533	
ENSG00000054356	ENST00000295718	ENSNLEP00000011399	
ENSG00000054967	ENST00000064780	ENSNLEP00000020788	
ENSG00000056291	ENST00000308744	ENSNLEP00000009414	
ENSG00000056736	ENST00000288167	ENSNLEP00000008820	
ENSG00000060656	ENST00000345512	
ENSG00000062524	ENST00000263800	ENSNLEP00000004485	
ENSG00000064300	ENST00000172229	ENSNLEP00000003725	
ENSG00000064547	ENST00000407877	
ENSG00000064989	ENST00000392370	ENSNLEP00000007914	
ENSG00000065325	ENST00000262441	ENSNLEP00000012320	
ENSG00000065361	ENST00000267101	ENSNLEP00000021313	
ENSG00000066056	ENST00000372476	ENSNLEP00000016198	
ENSG00000066294	ENST00000311224	ENSNLEP00000016569	
ENSG00000066468	ENST00000457416	ENSNLEP00000020516	
ENSG00000067141	ENST00000261908	ENSNLEP00000017259	
ENSG00000067182	ENST00000162749	ENSNLEP00000004404	
ENSG00000068078	ENST00000340107	ENSNLEP00000000071	
ENSG00000069018	ENST00000513104	ENSNLEP00000010320	
ENSG00000069122	ENST00000452370	ENSNLEP00000005337	
ENSG00000069431	ENST00000261200	ENSNLEP00000005972	
ENSG00000069493	ENST00000261340	ENSNLEP00000003590	
ENSG00000069696	ENST00000176183	ENSNLEP00000010314	
ENSG00000069702	ENST00000212355	ENSNLEP00000012631	
ENSG00000070018	ENST00000261349	ENSNLEP00000004278	
ENSG00000070886	ENST00000166244	ENSNLEP00000010049	
ENSG00000070985	ENST00000155858	ENSNLEP00000003303	
ENSG00000072071	ENST00000340736	ENSNLEP00000016319	
ENSG00000072274	ENST00000360110	
ENSG00000072694	ENST00000358671	ENSNLEP00000017606	
ENSG00000073008	ENST00000425690	ENSNLEP00000001958	
ENSG00000073060	ENST00000261693	ENSNLEP00000003069	
ENSG00000075073	ENST00000373306	ENSNLEP00000013899	
ENSG00000075275	ENST00000262738	ENSNLEP00000019142	
ENSG00000076356	ENST00000367033	ENSNLEP00000001921	
ENSG00000077238	ENST00000395762	ENSNLEP00000014201	
ENSG00000077585	ENST00000366592	ENSNLEP00000003852	
ENSG00000077782	ENST00000425967	ENSNLEP00000014960	
ENSG00000077943	ENST00000378076	ENSNLEP00000015048	
ENSG00000078549	ENST00000304166	ENSNLEP00000018480	
ENSG00000078589	ENST00000544091	ENSNLEP00000002510	
ENSG00000080031	ENST00000376350	ENSNLEP00000013195	
ENSG00000080224	ENST00000389672	ENSNLEP00000002377	
ENSG00000080293	ENST00000019103	ENSNLEP00000012559	
ENSG00000080644	ENST00000326828	ENSNLEP00000010560	
ENSG00000081237	ENST00000442510	ENSNLEP00000021949	
ENSG00000081479	ENST00000263816	ENSNLEP00000005810	
ENSG00000081985	ENST00000262345	ENSNLEP00000011248	
ENSG00000082556	ENST00000265572	ENSNLEP00000001004	
ENSG00000082781	ENST00000296181	ENSNLEP00000000814	
ENSG00000083454	ENST00000225328	ENSNLEP00000020972	
ENSG00000083457	ENST00000263087	ENSNLEP00000020979	
ENSG00000085514	ENST00000198536	ENSNLEP00000014247	
ENSG00000088053	ENST00000310373	ENSNLEP00000012962	
ENSG00000088812	ENST00000262919	ENSNLEP00000009270	
ENSG00000089041	ENST00000546057	ENSNLEP00000019421	
ENSG00000089692	ENST00000203629	ENSNLEP00000005651	
ENSG00000090339	ENST00000264832	ENSNLEP00000014758	
ENSG00000091181	ENST00000446632	ENSNLEP00000003900	
ENSG00000091409	ENST00000409080	ENSNLEP00000006816	
ENSG00000092096	ENST00000206544	ENSNLEP00000018257	
ENSG00000092421	ENST00000343348	ENSNLEP00000014365	
ENSG00000092445	ENST00000263798	ENSNLEP00000004510	
ENSG00000094661	ENST00000209540	ENSNLEP00000006245	
ENSG00000094755	ENST00000518525	ENSNLEP00000000326	
ENSG00000095970	ENST00000373113	ENSNLEP00000006058	
ENSG00000096264	ENST00000373089	ENSNLEP00000006027	
ENSG00000096433	ENST00000374316	ENSNLEP00000010258	
ENSG00000096996	ENST00000430026	ENSNLEP00000007167	
ENSG00000099250	ENST00000265371	ENSNLEP00000022036	
ENSG00000099957	ENST00000413302	ENSNLEP00000009796	
ENSG00000100368	ENST00000403662	ENSNLEP00000017891	
ENSG00000100385	ENST00000216223	ENSNLEP00000017932	
ENSG00000100739	ENST00000216629	ENSNLEP00000022560	
ENSG00000101000	ENST00000374477	ENSNLEP00000012430	
ENSG00000101017	ENST00000372285	ENSNLEP00000008376	
ENSG00000101180	ENST00000340177	
ENSG00000101188	ENST00000370501	ENSNLEP00000012069	
ENSG00000101204	ENST00000370263	
ENSG00000101292	ENST00000546004	ENSNLEP00000009399	
ENSG00000101850	ENST00000467482	ENSNLEP00000010717	
ENSG00000101890	ENST00000218006	ENSNLEP00000017400	
ENSG00000101958	ENST00000218075	ENSNLEP00000011312	
ENSG00000102076	ENST00000369951	
ENSG00000102195	ENST00000218316	ENSNLEP00000016564	
ENSG00000102239	ENST00000370648	ENSNLEP00000003309	
ENSG00000102287	ENST00000370328	ENSNLEP00000016720	
ENSG00000102468	ENST00000378688	ENSNLEP00000003568	
ENSG00000102539	ENST00000218721	ENSNLEP00000004307	
ENSG00000103310	ENST00000219593	ENSNLEP00000012836	
ENSG00000104290	ENST00000537916	ENSNLEP00000020193	
ENSG00000104332	ENST00000220772	ENSNLEP00000015263	
ENSG00000104870	ENST00000221466	
ENSG00000104921	ENST00000346664	ENSNLEP00000001363	
ENSG00000104938	ENST00000327325	ENSNLEP00000001422	
ENSG00000104972	ENST00000324602	ENSNLEP00000007687	
ENSG00000104998	ENST00000263379	ENSNLEP00000016201	
ENSG00000105281	ENST00000542575	ENSNLEP00000003504	
ENSG00000105369	ENST00000221972	ENSNLEP00000016398	
ENSG00000105383	ENST00000262262	ENSNLEP00000007087	
ENSG00000105426	ENST00000357368	ENSNLEP00000016338	
ENSG00000105464	ENST00000263269	
ENSG00000105699	ENST00000361790	ENSNLEP00000013468	
ENSG00000105707	ENST00000262626	ENSNLEP00000013380	
ENSG00000105737	ENST00000262895	
ENSG00000105855	ENST00000222573	ENSNLEP00000020249	
ENSG00000105976	ENST00000318493	ENSNLEP00000014096	
ENSG00000106018	ENST00000262178	ENSNLEP00000002283	
ENSG00000106113	ENST00000471646	ENSNLEP00000018434	
ENSG00000106123	ENST00000392957	ENSNLEP00000003327	
ENSG00000106128	ENST00000326139	ENSNLEP00000018470	
ENSG00000106278	ENST00000393386	ENSNLEP00000014540	
ENSG00000106327	ENST00000223051	ENSNLEP00000014433	
ENSG00000106799	ENST00000374994	ENSNLEP00000020704	
ENSG00000106991	ENST00000373203	ENSNLEP00000021247	
ENSG00000107731	ENST00000335350	ENSNLEP00000019756	
ENSG00000107779	ENST00000224764	ENSNLEP00000003014	
ENSG00000108405	ENST00000225538	ENSNLEP00000021008	
ENSG00000108556	ENST00000293780	ENSNLEP00000021140	
ENSG00000108797	ENST00000264638	ENSNLEP00000014311	
ENSG00000108947	ENST00000226091	ENSNLEP00000011885	
ENSG00000109158	ENST00000264318	ENSNLEP00000021030	
ENSG00000109163	ENST00000226413	ENSNLEP00000011151	
ENSG00000109738	ENST00000264428	ENSNLEP00000007660	
ENSG00000109991	ENST00000263314	ENSNLEP00000015329	
ENSG00000110148	ENST00000334619	ENSNLEP00000021110	
ENSG00000110195	ENST00000312293	ENSNLEP00000020910	
ENSG00000110324	ENST00000227752	ENSNLEP00000008968	
ENSG00000110400	ENST00000264025	ENSNLEP00000009023	
ENSG00000110448	ENST00000347785	ENSNLEP00000002369	
ENSG00000110848	ENST00000228434	ENSNLEP00000003628	
ENSG00000111199	ENST00000418703	ENSNLEP00000002673	
ENSG00000111291	ENST00000228887	ENSNLEP00000004468	
ENSG00000111432	ENST00000229030	ENSNLEP00000022579	
ENSG00000111452	ENST00000261654	ENSNLEP00000010193	
ENSG00000111729	ENST00000229332	ENSNLEP00000002178	
ENSG00000111796	ENST00000229402	ENSNLEP00000003576	
ENSG00000111886	ENST00000402938	ENSNLEP00000015918	
ENSG00000111981	ENST00000367345	ENSNLEP00000018635	
ENSG00000112038	ENST00000434900	ENSNLEP00000018777	
ENSG00000112164	ENST00000373256	ENSNLEP00000013867	
ENSG00000112195	ENST00000483722	ENSNLEP00000006047	
ENSG00000112218	ENST00000417980	ENSNLEP00000016417	
ENSG00000112414	ENST00000367609	ENSNLEP00000018307	
ENSG00000112459	ENST00000230221	
ENSG00000112462	ENST00000377143	
ENSG00000112486	ENST00000400926	ENSNLEP00000014147	
ENSG00000112902	ENST00000382496	ENSNLEP00000014079	
ENSG00000112964	ENST00000230882	ENSNLEP00000020239	
ENSG00000113070	ENST00000230990	ENSNLEP00000011230	
ENSG00000113262	ENST00000231188	ENSNLEP00000001679	
ENSG00000113327	ENST00000414552	ENSNLEP00000005611	
ENSG00000113594	ENST00000263409	
ENSG00000113721	ENST00000261799	ENSNLEP00000012499	
ENSG00000113749	ENST00000377291	ENSNLEP00000000668	
ENSG00000113763	ENST00000329542	ENSNLEP00000015259	
ENSG00000114013	ENST00000330540	ENSNLEP00000000328	
ENSG00000114554	ENST00000393409	ENSNLEP00000001311	
ENSG00000114739	ENST00000352511	ENSNLEP00000006554	
ENSG00000114812	ENST00000325123	ENSNLEP00000007045	
ENSG00000115170	ENST00000263640	ENSNLEP00000001001	
ENSG00000115221	ENST00000283249	ENSNLEP00000001972	
ENSG00000115232	ENST00000397033	ENSNLEP00000007665	
ENSG00000115353	ENST00000305249	ENSNLEP00000001322	
ENSG00000115590	ENST00000332549	ENSNLEP00000017748	
ENSG00000115594	ENST00000410023	ENSNLEP00000017778	
ENSG00000115598	ENST00000264257	ENSNLEP00000017805	
ENSG00000115602	ENST00000233954	ENSNLEP00000017813	
ENSG00000115604	ENST00000410040	ENSNLEP00000017837	
ENSG00000116014	ENST00000234371	ENSNLEP00000001175	
ENSG00000116032	ENST00000234389	ENSNLEP00000001321	
ENSG00000116106	ENST00000281821	ENSNLEP00000011691	
ENSG00000116329	ENST00000234961	ENSNLEP00000012015	
ENSG00000116678	ENST00000349533	ENSNLEP00000018467	
ENSG00000116824	ENST00000369478	ENSNLEP00000006260	
ENSG00000116996	ENST00000366570	
ENSG00000117090	ENST00000302035	ENSNLEP00000016599	
ENSG00000117114	ENST00000359929	ENSNLEP00000012007	
ENSG00000117322	ENST00000367057	ENSNLEP00000001345	
ENSG00000117335	ENST00000322875	ENSNLEP00000001576	
ENSG00000117400	ENST00000372470	ENSNLEP00000016236	
ENSG00000117425	ENST00000372192	ENSNLEP00000017227	
ENSG00000117971	ENST00000261751	ENSNLEP00000010569	
ENSG00000118257	ENST00000360409	ENSNLEP00000008631	
ENSG00000118432	ENST00000369501	
ENSG00000119121	ENST00000360774	ENSNLEP00000002102	
ENSG00000119535	ENST00000373103	ENSNLEP00000014009	
ENSG00000119686	ENST00000238667	ENSNLEP00000020032	
ENSG00000119714	ENST00000531499	ENSNLEP00000023135	
ENSG00000119737	ENST00000394705	
ENSG00000119973	ENST00000239032	
ENSG00000120088	ENST00000398285	ENSNLEP00000005848	
ENSG00000120156	ENST00000380036	ENSNLEP00000019785	
ENSG00000120217	ENST00000381577	ENSNLEP00000010990	
ENSG00000120251	ENST00000296526	ENSNLEP00000007689	
ENSG00000120436	ENST00000366834	
ENSG00000120586	ENST00000239761	ENSNLEP00000001613	
ENSG00000120659	ENST00000239849	ENSNLEP00000002014	
ENSG00000120889	ENST00000276431	ENSNLEP00000019253	
ENSG00000120903	ENST00000407991	ENSNLEP00000019781	
ENSG00000120907	ENST00000380586	ENSNLEP00000019733	
ENSG00000120949	ENST00000263932	ENSNLEP00000011928	
ENSG00000121594	ENST00000264246	ENSNLEP00000006009	
ENSG00000121716	ENST00000310771	
ENSG00000121753	ENST00000373658	ENSNLEP00000002502	
ENSG00000121764	ENST00000403528	ENSNLEP00000002354	
ENSG00000121797	ENST00000357392	ENSNLEP00000009422	
ENSG00000121807	ENST00000292301	ENSNLEP00000016023	
ENSG00000121853	ENST00000241256	ENSNLEP00000006701	
ENSG00000121933	ENST00000369716	ENSNLEP00000004848	
ENSG00000121966	ENST00000409817	ENSNLEP00000010812	
ENSG00000121989	ENST00000241416	ENSNLEP00000011049	
ENSG00000122025	ENST00000241453	ENSNLEP00000000457	
ENSG00000122223	ENST00000368033	ENSNLEP00000016769	
ENSG00000122375	ENST00000372071	ENSNLEP00000002852	
ENSG00000122420	ENST00000370758	ENSNLEP00000011951	
ENSG00000122679	ENST00000242249	ENSNLEP00000005056	
ENSG00000122718	ENST00000341959	
ENSG00000123146	ENST00000242786	ENSNLEP00000016352	
ENSG00000123384	ENST00000243077	
ENSG00000123612	ENST00000243349	ENSNLEP00000000962	
ENSG00000123901	ENST00000243673	ENSNLEP00000008664	
ENSG00000124089	ENST00000243911	ENSNLEP00000023073	
ENSG00000124145	ENST00000372733	ENSNLEP00000008158	
ENSG00000124334	ENST00000244174	ENSNLEP00000017710	
ENSG00000124493	ENST00000374181	ENSNLEP00000010333	
ENSG00000124557	ENST00000244513	ENSNLEP00000004100	
ENSG00000124657	ENST00000244623	ENSNLEP00000023047	
ENSG00000124731	ENST00000244709	ENSNLEP00000006036	
ENSG00000125245	ENST00000397473	ENSNLEP00000009734	
ENSG00000125384	ENST00000245457	ENSNLEP00000015140	
ENSG00000125498	ENST00000336077	
