ENSG00000003056	ENST00000000412	ENSAMEP00000007155
ENSG00000005884	ENST00000007722	ENSAMEP00000012855
ENSG00000019582	ENST00000009530	ENSAMEP00000004921
ENSG00000010610	ENST00000011653	ENSAMEP00000014814
ENSG00000013588	ENST00000014914	ENSAMEP00000011282
ENSG00000080293	ENST00000019103	ENSAMEP00000009025
ENSG00000022355	ENST00000023897	ENSAMEP00000007142
ENSG00000048462	ENST00000053243	ENSAMEP00000010094
ENSG00000054967	ENST00000064780	ENSAMEP00000018271
ENSG00000070985	ENST00000155858	ENSAMEP00000002395
ENSG00000067182	ENST00000162749	ENSAMEP00000015374
ENSG00000008300	ENST00000164024	ENSAMEP00000000677
ENSG00000070886	ENST00000166244	ENSAMEP00000015553
ENSG00000064300	ENST00000172229	ENSAMEP00000013005
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSAMEP00000015876
ENSG00000089692	ENST00000203629	ENSAMEP00000014826
ENSG00000092096	ENST00000206544	ENSAMEP00000017782
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSAMEP00000000552
ENSG00000100385	ENST00000216223	ENSAMEP00000010378
ENSG00000100739	ENST00000216629	ENSAMEP00000020963
ENSG00000101890	ENST00000218006	ENSAMEP00000019009
ENSG00000101958	ENST00000218075	ENSAMEP00000006654
ENSG00000102195	ENST00000218316	ENSAMEP00000017940
ENSG00000102539	ENST00000218721	ENSAMEP00000003714
ENSG00000103310	ENST00000219593	ENSAMEP00000006380
ENSG00000104332	ENST00000220772	ENSAMEP00000002892
ENSG00000104870	ENST00000221466	ENSAMEP00000014770
ENSG00000105369	ENST00000221972	ENSAMEP00000004725
ENSG00000187266	ENST00000222139	ENSAMEP00000011156
ENSG00000105855	ENST00000222573	ENSAMEP00000009049
ENSG00000106327	ENST00000223051	ENSAMEP00000015662
ENSG00000107779	ENST00000224764	ENSAMEP00000010493
ENSG00000083454	ENST00000225328	ENSAMEP00000009767
ENSG00000108405	ENST00000225538	ENSAMEP00000009884
ENSG00000108947	ENST00000226091	ENSAMEP00000017849
ENSG00000004468	ENST00000226279	ENSAMEP00000001662
ENSG00000109163	ENST00000226413	ENSAMEP00000003705
ENSG00000110324	ENST00000227752	ENSAMEP00000003989
ENSG00000110848	ENST00000228434	ENSAMEP00000004177
ENSG00000111291	ENST00000228887	ENSAMEP00000011280
ENSG00000111432	ENST00000229030	ENSAMEP00000006920
ENSG00000111729	ENST00000229332	ENSAMEP00000017938
ENSG00000111796	ENST00000229402	ENSAMEP00000004226
ENSG00000204252	ENST00000229829	ENSAMEP00000002023
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSAMEP00000004058
ENSG00000113070	ENST00000230990	ENSAMEP00000011760
