ENSG00000003056	ENST00000000412	ENSLAFP00000008884
ENSG00000005884	ENST00000007722	ENSLAFP00000002132
ENSG00000019582	ENST00000009530	ENSLAFP00000014843
ENSG00000010610	ENST00000011653	ENSLAFP00000028787
ENSG00000013588	ENST00000014914	ENSLAFP00000008559
ENSG00000080293	ENST00000019103	ENSLAFP00000005280
ENSG00000022355	ENST00000023897	ENSLAFP00000006317
ENSG00000048462	ENST00000053243	ENSLAFP00000000056
ENSG00000054967	ENST00000064780	ENSLAFP00000022961
ENSG00000070985	ENST00000155858	ENSLAFP00000025744
ENSG00000067182	ENST00000162749	ENSLAFP00000014381
ENSG00000008300	ENST00000164024	ENSLAFP00000004035
ENSG00000070886	ENST00000166244	ENSLAFP00000010004
ENSG00000064300	ENST00000172229	ENSLAFP00000002988
ENSG00000069696	ENST00000176183	ENSLAFP00000011945
ENSG00000085514	ENST00000198536	ENSLAFP00000029074
ENSG00000089692	ENST00000203629	ENSLAFP00000020155
ENSG00000092096	ENST00000206544	ENSLAFP00000019518
ENSG00000094661	ENST00000209540	ENSLAFP00000028498
ENSG00000069702	ENST00000212355	ENSLAFP00000008391
ENSG00000100385	ENST00000216223	ENSLAFP00000016876
ENSG00000100739	ENST00000216629	ENSLAFP00000022385
ENSG00000101890	ENST00000218006	ENSLAFP00000005357
ENSG00000101958	ENST00000218075	ENSLAFP00000003254
ENSG00000102195	ENST00000218316	ENSLAFP00000027203
ENSG00000102539	ENST00000218721	ENSLAFP00000003983
ENSG00000103310	ENST00000219593	ENSLAFP00000027531
ENSG00000104332	ENST00000220772	ENSLAFP00000014613
ENSG00000104870	ENST00000221466	ENSLAFP00000017795
ENSG00000105369	ENST00000221972	ENSLAFP00000024878
ENSG00000187266	ENST00000222139	ENSLAFP00000018849
ENSG00000105855	ENST00000222573	ENSLAFP00000001037
ENSG00000106327	ENST00000223051	ENSLAFP00000014250
ENSG00000107779	ENST00000224764	ENSLAFP00000004888
ENSG00000083454	ENST00000225328	ENSLAFP00000011067
ENSG00000108405	ENST00000225538	ENSLAFP00000004510
ENSG00000108947	ENST00000226091	ENSLAFP00000003210
ENSG00000004468	ENST00000226279	ENSLAFP00000024170
ENSG00000109163	ENST00000226413	ENSLAFP00000004739
