ENSG00000003056	ENST00000000412	ENSEEUP00000009953
ENSG00000005884	ENST00000007722	ENSEEUP00000013289
ENSG00000019582	ENST00000009530	ENSEEUP00000007028
ENSG00000010610	ENST00000011653	ENSEEUP00000012460
ENSG00000013588	ENST00000014914	ENSEEUP00000005246
ENSG00000080293	ENST00000019103	ENSEEUP00000000337
ENSG00000022355	ENST00000023897	
ENSG00000048462	ENST00000053243	ENSEEUP00000009929
ENSG00000054967	ENST00000064780	ENSEEUP00000012415
ENSG00000070985	ENST00000155858	ENSEEUP00000005434
ENSG00000067182	ENST00000162749	
ENSG00000008300	ENST00000164024	ENSEEUP00000005583
ENSG00000070886	ENST00000166244	ENSEEUP00000003474
ENSG00000064300	ENST00000172229	ENSEEUP00000004381
ENSG00000069696	ENST00000176183	
ENSG00000085514	ENST00000198536	ENSEEUP00000003569
ENSG00000089692	ENST00000203629	ENSEEUP00000008079
ENSG00000092096	ENST00000206544	ENSEEUP00000011985
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSEEUP00000012682
ENSG00000100385	ENST00000216223	ENSEEUP00000000726
ENSG00000100739	ENST00000216629	
ENSG00000101890	ENST00000218006	ENSEEUP00000010985
ENSG00000101958	ENST00000218075	ENSEEUP00000006840
ENSG00000102195	ENST00000218316	
ENSG00000102539	ENST00000218721	ENSEEUP00000004661
ENSG00000103310	ENST00000219593	ENSEEUP00000005559
ENSG00000104332	ENST00000220772	ENSEEUP00000005239
ENSG00000104870	ENST00000221466	ENSEEUP00000000071
ENSG00000105369	ENST00000221972	
ENSG00000187266	ENST00000222139	ENSEEUP00000004815
ENSG00000105855	ENST00000222573	ENSEEUP00000009742
ENSG00000106327	ENST00000223051	ENSEEUP00000007916
ENSG00000107779	ENST00000224764	ENSEEUP00000011324
ENSG00000083454	ENST00000225328	ENSEEUP00000012736
ENSG00000108405	ENST00000225538	ENSEEUP00000009607
ENSG00000108947	ENST00000226091	ENSEEUP00000013349
ENSG00000004468	ENST00000226279	ENSEEUP00000003960
ENSG00000109163	ENST00000226413	ENSEEUP00000005847
ENSG00000110324	ENST00000227752	ENSEEUP00000009995
ENSG00000110848	ENST00000228434	
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSEEUP00000010413
ENSG00000111796	ENST00000229402	ENSEEUP00000004561
ENSG00000204252	ENST00000229829	
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSEEUP00000010364
ENSG00000113070	ENST00000230990	ENSEEUP00000009010
ENSG00000113262	ENST00000231188	
ENSG00000115602	ENST00000233954	ENSEEUP00000010830
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	
ENSG00000119686	ENST00000238667	ENSEEUP00000013410
