ENSG00000003056	ENST00000000412	ENSMODP00000022437
ENSG00000005884	ENST00000007722	ENSMODP00000015148
ENSG00000019582	ENST00000009530	ENSMODP00000011867
ENSG00000010610	ENST00000011653	
ENSG00000013588	ENST00000014914	ENSMODP00000022718
ENSG00000080293	ENST00000019103	ENSMODP00000000454
ENSG00000022355	ENST00000023897	ENSMODP00000009595
ENSG00000048462	ENST00000053243	ENSMODP00000005835
ENSG00000054967	ENST00000064780	ENSMODP00000009461
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	ENSMODP00000022511
ENSG00000008300	ENST00000164024	ENSMODP00000016844
ENSG00000070886	ENST00000166244	ENSMODP00000020106
ENSG00000064300	ENST00000172229	ENSMODP00000015273
ENSG00000069696	ENST00000176183	ENSMODP00000002206
ENSG00000085514	ENST00000198536	
ENSG00000089692	ENST00000203629	ENSMODP00000022611
ENSG00000092096	ENST00000206544	ENSMODP00000005584
ENSG00000094661	ENST00000209540	ENSMODP00000018116
ENSG00000069702	ENST00000212355	ENSMODP00000015037
ENSG00000100385	ENST00000216223	ENSMODP00000036235
ENSG00000100739	ENST00000216629	ENSMODP00000015951
ENSG00000101890	ENST00000218006	ENSMODP00000006498
ENSG00000101958	ENST00000218075	ENSMODP00000021578
ENSG00000102195	ENST00000218316	ENSMODP00000007121
ENSG00000102539	ENST00000218721	ENSMODP00000013781
ENSG00000103310	ENST00000219593	ENSMODP00000008971
ENSG00000104332	ENST00000220772	ENSMODP00000013137
ENSG00000104870	ENST00000221466	ENSMODP00000017073
ENSG00000105369	ENST00000221972	
ENSG00000187266	ENST00000222139	ENSMODP00000008137
ENSG00000105855	ENST00000222573	ENSMODP00000001677
ENSG00000106327	ENST00000223051	ENSMODP00000005649
ENSG00000107779	ENST00000224764	ENSMODP00000013961
ENSG00000083454	ENST00000225328	ENSMODP00000008340
ENSG00000108405	ENST00000225538	ENSMODP00000025655
ENSG00000108947	ENST00000226091	ENSMODP00000009157
ENSG00000004468	ENST00000226279	ENSMODP00000001201
ENSG00000109163	ENST00000226413	ENSMODP00000025941
ENSG00000110324	ENST00000227752	ENSMODP00000016971
ENSG00000110848	ENST00000228434	ENSMODP00000022775
ENSG00000111291	ENST00000228887	ENSMODP00000022717
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	
ENSG00000111796	ENST00000229402	
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSMODP00000025374
ENSG00000113070	ENST00000230990	ENSMODP00000014655
ENSG00000113262	ENST00000231188	ENSMODP00000013061
ENSG00000115602	ENST00000233954	ENSMODP00000002882
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	ENSMODP00000007008
ENSG00000116329	ENST00000234961	ENSMODP00000013797
ENSG00000119686	ENST00000238667	ENSMODP00000007149
ENSG00000119973	ENST00000239032	ENSMODP00000011706
ENSG00000120586	ENST00000239761	ENSMODP00000033025
ENSG00000120659	ENST00000239849	ENSMODP00000036348
ENSG00000213809	ENST00000240618	
ENSG00000121853	ENST00000241256	ENSMODP00000026651
ENSG00000121989	ENST00000241416	ENSMODP00000004027
ENSG00000122025	ENST00000241453	ENSMODP00000033356
ENSG00000122679	ENST00000242249	ENSMODP00000012835
ENSG00000123146	ENST00000242786	ENSMODP00000032490
ENSG00000123384	ENST00000243077	ENSMODP00000023728
ENSG00000123612	ENST00000243349	ENSMODP00000005434
ENSG00000123901	ENST00000243673	ENSMODP00000000289
ENSG00000124089	ENST00000243911	ENSMODP00000029134
ENSG00000124334	ENST00000244174	
ENSG00000124557	ENST00000244513	
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSMODP00000016191
ENSG00000125384	ENST00000245457	ENSMODP00000018085
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSMODP00000007712
ENSG00000125910	ENST00000246115	ENSMODP00000023894
ENSG00000126246	ENST00000246532	ENSMODP00000017510
ENSG00000126262	ENST00000246549	ENSMODP00000017364
ENSG00000126266	ENST00000246553	ENSMODP00000017360
ENSG00000126353	ENST00000246657	ENSMODP00000016494
ENSG00000127364	ENST00000247881	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSMODP00000018750
ENSG00000127780	ENST00000248384	ENSMODP00000028186
ENSG00000128285	ENST00000249016	ENSMODP00000016297
ENSG00000128310	ENST00000249041	ENSMODP00000023809
ENSG00000128519	ENST00000249284	ENSMODP00000033793
ENSG00000128602	ENST00000249373	ENSMODP00000018347
ENSG00000128617	ENST00000249389	ENSMODP00000018841
ENSG00000129048	ENST00000249887	ENSMODP00000032599
ENSG00000129749	ENST00000250699	ENSMODP00000010245
ENSG00000130164	ENST00000252444	ENSMODP00000007833
ENSG00000130202	ENST00000252483	ENSMODP00000026092
ENSG00000130234	ENST00000252519	ENSMODP00000021483
ENSG00000130368	ENST00000252660	ENSMODP00000009150
ENSG00000130529	ENST00000252826	
ENSG00000130538	ENST00000252835	
ENSG00000131477	ENST00000253796	ENSMODP00000018803
ENSG00000132329	ENST00000254661	ENSMODP00000011016
ENSG00000132334	ENST00000254667	ENSMODP00000038185
ENSG00000132517	ENST00000254853	ENSMODP00000013417
ENSG00000132518	ENST00000254854	ENSMODP00000009459
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSMODP00000011114
ENSG00000133019	ENST00000255380	ENSMODP00000034980
ENSG00000133800	ENST00000256178	ENSMODP00000010202
ENSG00000134061	ENST00000256447	ENSMODP00000024548
ENSG00000134243	ENST00000256637	ENSMODP00000002515
ENSG00000134250	ENST00000256646	ENSMODP00000028978
ENSG00000134489	ENST00000256906	ENSMODP00000038429
ENSG00000134640	ENST00000257068	ENSMODP00000001206
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	ENSMODP00000008987
ENSG00000134853	ENST00000257290	ENSMODP00000025859
ENSG00000135409	ENST00000257863	
ENSG00000135424	ENST00000257879	
ENSG00000135577	ENST00000258042	ENSMODP00000021562
ENSG00000135902	ENST00000258385	ENSMODP00000003211
ENSG00000135914	ENST00000258400	ENSMODP00000013435
ENSG00000135960	ENST00000258443	ENSMODP00000037166
ENSG00000135973	ENST00000258456	ENSMODP00000037224
ENSG00000136040	ENST00000258526	ENSMODP00000011755
ENSG00000136834	ENST00000259357	ENSMODP00000024594
ENSG00000136928	ENST00000259455	ENSMODP00000002313
ENSG00000136939	ENST00000259466	ENSMODP00000024600
ENSG00000136960	ENST00000259486	ENSMODP00000034236
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSMODP00000036364
ENSG00000149305	ENST00000260191	ENSMODP00000017706
ENSG00000137642	ENST00000260197	ENSMODP00000016287
ENSG00000138271	ENST00000260843	ENSMODP00000026601
ENSG00000138435	ENST00000261007	ENSMODP00000011766
ENSG00000138448	ENST00000261023	ENSMODP00000013342
ENSG00000069431	ENST00000261200	ENSMODP00000036088
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSMODP00000035641
ENSG00000240505	ENST00000261652	ENSMODP00000036227
ENSG00000111452	ENST00000261654	ENSMODP00000019453
ENSG00000073060	ENST00000261693	ENSMODP00000019581
ENSG00000117971	ENST00000261751	ENSMODP00000014903
ENSG00000113721	ENST00000261799	ENSMODP00000012168
ENSG00000067141	ENST00000261908	ENSMODP00000012421
ENSG00000037280	ENST00000261937	ENSMODP00000004800
ENSG00000038945	ENST00000262101	ENSMODP00000023795
ENSG00000106018	ENST00000262178	ENSMODP00000006768
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSMODP00000001020
ENSG00000005961	ENST00000262407	ENSMODP00000014402
ENSG00000065325	ENST00000262441	ENSMODP00000001848
ENSG00000105707	ENST00000262626	ENSMODP00000017169
ENSG00000075275	ENST00000262738	ENSMODP00000009251
ENSG00000105737	ENST00000262895	ENSMODP00000024134
ENSG00000088812	ENST00000262919	ENSMODP00000005644
ENSG00000083457	ENST00000263087	ENSMODP00000027059
ENSG00000105464	ENST00000263269	
ENSG00000010310	ENST00000263281	ENSMODP00000031035
ENSG00000109991	ENST00000263314	ENSMODP00000025108
ENSG00000104998	ENST00000263379	
ENSG00000113594	ENST00000263409	ENSMODP00000025425
ENSG00000054219	ENST00000263636	ENSMODP00000006313
ENSG00000115170	ENST00000263640	ENSMODP00000005457
ENSG00000092445	ENST00000263798	ENSMODP00000000113
ENSG00000062524	ENST00000263800	ENSMODP00000000128
ENSG00000081479	ENST00000263816	ENSMODP00000009960
ENSG00000128052	ENST00000263923	ENSMODP00000035972
ENSG00000120949	ENST00000263932	
ENSG00000110400	ENST00000264025	ENSMODP00000016502
ENSG00000121594	ENST00000264246	ENSMODP00000022694
ENSG00000115598	ENST00000264257	ENSMODP00000002864
ENSG00000109158	ENST00000264318	ENSMODP00000025776
ENSG00000125675	ENST00000264357	ENSMODP00000018760
ENSG00000109738	ENST00000264428	ENSMODP00000002131
ENSG00000108797	ENST00000264638	ENSMODP00000018781
ENSG00000144668	ENST00000264741	ENSMODP00000016638
ENSG00000090339	ENST00000264832	
ENSG00000138760	ENST00000264896	ENSMODP00000037525
ENSG00000099250	ENST00000265371	ENSMODP00000009242
ENSG00000082556	ENST00000265572	ENSMODP00000011879
ENSG00000139193	ENST00000266557	ENSMODP00000022516
ENSG00000139292	ENST00000266674	ENSMODP00000025525
ENSG00000139572	ENST00000267015	
ENSG00000139636	ENST00000267102	ENSMODP00000023516
ENSG00000139874	ENST00000267377	ENSMODP00000015047
ENSG00000140443	ENST00000268035	ENSMODP00000015969
ENSG00000140678	ENST00000268296	ENSMODP00000003063
ENSG00000140749	ENST00000268389	ENSMODP00000009675
ENSG00000141458	ENST00000269228	ENSMODP00000026857
ENSG00000141505	ENST00000269299	ENSMODP00000030908
ENSG00000141655	ENST00000269485	ENSMODP00000006243
ENSG00000141736	ENST00000269571	ENSMODP00000016093
ENSG00000142166	ENST00000270139	ENSMODP00000026343
ENSG00000187244	ENST00000270233	
ENSG00000143126	ENST00000271332	ENSMODP00000002583
ENSG00000143226	ENST00000271450	ENSMODP00000001115
ENSG00000144136	ENST00000272542	ENSMODP00000017371
ENSG00000144407	ENST00000272847	ENSMODP00000019807
ENSG00000144476	ENST00000272928	ENSMODP00000028431
ENSG00000144820	ENST00000273352	ENSMODP00000002550
ENSG00000145103	ENST00000273691	ENSMODP00000022804
ENSG00000145242	ENST00000273854	ENSMODP00000025928
ENSG00000145244	ENST00000273857	ENSMODP00000025791
ENSG00000145451	ENST00000274093	ENSMODP00000004466
ENSG00000145623	ENST00000274276	ENSMODP00000025415
ENSG00000145863	ENST00000274545	ENSMODP00000009659
ENSG00000146360	ENST00000275169	ENSMODP00000029585
ENSG00000146399	ENST00000275216	ENSMODP00000029420
ENSG00000146648	ENST00000275493	ENSMODP00000011264
ENSG00000146904	ENST00000275815	ENSMODP00000001781
ENSG00000147138	ENST00000276077	ENSMODP00000027592
ENSG00000147246	ENST00000276198	ENSMODP00000006204
ENSG00000147262	ENST00000276218	ENSMODP00000024714
ENSG00000147434	ENST00000276410	ENSMODP00000012673
ENSG00000120889	ENST00000276431	ENSMODP00000011508
ENSG00000147650	ENST00000276654	ENSMODP00000006681
ENSG00000148136	ENST00000277216	ENSMODP00000015649
ENSG00000165204	ENST00000277309	ENSMODP00000024610
ENSG00000148734	ENST00000277942	ENSMODP00000015244
ENSG00000149534	ENST00000278888	ENSMODP00000025288
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSMODP00000022701
ENSG00000150269	ENST00000279791	ENSMODP00000025034
ENSG00000150594	ENST00000280155	ENSMODP00000012944
ENSG00000150637	ENST00000280200	ENSMODP00000026734
ENSG00000150938	ENST00000280527	ENSMODP00000019221
ENSG00000151490	ENST00000281171	ENSMODP00000022366
ENSG00000116106	ENST00000281821	ENSMODP00000026482
ENSG00000152207	ENST00000282018	ENSMODP00000033041
ENSG00000152208	ENST00000282020	ENSMODP00000013819
ENSG00000152578	ENST00000282499	ENSMODP00000018433
ENSG00000213949	ENST00000282588	ENSMODP00000024263
ENSG00000153233	ENST00000283228	ENSMODP00000025509
ENSG00000153246	ENST00000283243	ENSMODP00000006389
ENSG00000115221	ENST00000283249	ENSMODP00000006447
ENSG00000153563	ENST00000283635	ENSMODP00000011883
ENSG00000154165	ENST00000284311	
