Ensembl Gene ID	Ensembl Transcript ID	Rhesus Ensembl Protein ID	
ENSG00000003056	ENST00000000412	ENSMMUP00000023466	
ENSG00000004399	ENST00000324093	ENSMMUP00000016730	
ENSG00000004468	ENST00000226279	ENSMMUP00000020061	
ENSG00000004948	ENST00000359558	ENSMMUP00000018804	
ENSG00000005884	ENST00000007722	ENSMMUP00000034898	
ENSG00000005961	ENST00000262407	ENSMMUP00000016626	
ENSG00000006071	ENST00000389817	ENSMMUP00000031039	
ENSG00000006327	ENST00000326577	ENSMMUP00000010069	
ENSG00000006638	ENST00000411851	ENSMMUP00000031972	
ENSG00000007312	ENST00000392795	ENSMMUP00000000779	
ENSG00000007908	ENST00000333360	ENSMMUP00000021784	
ENSG00000008300	ENST00000164024	ENSMMUP00000019312	
ENSG00000010310	ENST00000263281	ENSMMUP00000009106	
ENSG00000010610	ENST00000011653	ENSMMUP00000017342	
ENSG00000011677	ENST00000370314	ENSMMUP00000002056	
ENSG00000013588	ENST00000014914	ENSMMUP00000023200	
ENSG00000013725	ENST00000313421	
ENSG00000015520	ENST00000289547	ENSMMUP00000001055	
ENSG00000019169	ENST00000327097	ENSMMUP00000003507	
ENSG00000019582	ENST00000009530	ENSMMUP00000011957	
ENSG00000020181	ENST00000412232	ENSMMUP00000004284	
ENSG00000021645	ENST00000554719	ENSMMUP00000018193	
ENSG00000022355	ENST00000023897	ENSMMUP00000033762	
ENSG00000026508	ENST00000428726	ENSMMUP00000005783	
ENSG00000026751	ENST00000368043	ENSMMUP00000022799	
ENSG00000027644	ENST00000368195	ENSMMUP00000016307	
ENSG00000027697	ENST00000367739	ENSMMUP00000015867	
ENSG00000028137	ENST00000376259	ENSMMUP00000028252	
ENSG00000030304	ENST00000374448	ENSMMUP00000039675	
ENSG00000036828	ENST00000498619	ENSMMUP00000010355	
ENSG00000037280	ENST00000261937	ENSMMUP00000024605	
ENSG00000038945	ENST00000262101	ENSMMUP00000032218	
ENSG00000043591	ENST00000369295	
ENSG00000044524	ENST00000336596	ENSMMUP00000010801	
ENSG00000047936	ENST00000368508	ENSMMUP00000031282	
ENSG00000048462	ENST00000053243	ENSMMUP00000028345	
ENSG00000049249	ENST00000377507	ENSMMUP00000021741	
ENSG00000050628	ENST00000356595	ENSMMUP00000022770	
ENSG00000054219	ENST00000263636	ENSMMUP00000027272	
ENSG00000054277	ENST00000366554	ENSMMUP00000007491	
ENSG00000054356	ENST00000295718	ENSMMUP00000015754	
ENSG00000054967	ENST00000064780	ENSMMUP00000004199	
ENSG00000056291	ENST00000308744	ENSMMUP00000024389	
ENSG00000056736	ENST00000288167	ENSMMUP00000025316	
ENSG00000060656	ENST00000345512	ENSMMUP00000020552	
ENSG00000062524	ENST00000263800	ENSMMUP00000010700	
ENSG00000064300	ENST00000172229	ENSMMUP00000019165	
ENSG00000064547	ENST00000407877	ENSMMUP00000000880	
ENSG00000064989	ENST00000392370	ENSMMUP00000012352	
ENSG00000065325	ENST00000262441	ENSMMUP00000023773	
ENSG00000065361	ENST00000267101	ENSMMUP00000027321	
ENSG00000066056	ENST00000372476	ENSMMUP00000013971	
ENSG00000066294	ENST00000311224	ENSMMUP00000020294	
ENSG00000066468	ENST00000457416	ENSMMUP00000012567	
ENSG00000067141	ENST00000261908	ENSMMUP00000012529	
ENSG00000067182	ENST00000162749	ENSMMUP00000000496	
ENSG00000068078	ENST00000340107	ENSMMUP00000026225	
ENSG00000069018	ENST00000513104	ENSMMUP00000000462	
ENSG00000069122	ENST00000452370	ENSMMUP00000030287	
ENSG00000069431	ENST00000261200	ENSMMUP00000027388	
ENSG00000069493	ENST00000261340	ENSMMUP00000020057	
ENSG00000069696	ENST00000176183	ENSMMUP00000037850	
ENSG00000069702	ENST00000212355	ENSMMUP00000002330	
ENSG00000070018	ENST00000261349	ENSMMUP00000040191	
ENSG00000070886	ENST00000166244	ENSMMUP00000027314	
ENSG00000070985	ENST00000155858	ENSMMUP00000037755	
ENSG00000072071	ENST00000340736	ENSMMUP00000018574	
ENSG00000072274	ENST00000360110	ENSMMUP00000002816	
ENSG00000072694	ENST00000358671	ENSMMUP00000005033	
ENSG00000073008	ENST00000425690	ENSMMUP00000004136	
ENSG00000073060	ENST00000261693	ENSMMUP00000038414	
ENSG00000075073	ENST00000373306	ENSMMUP00000020079	
ENSG00000075275	ENST00000262738	ENSMMUP00000027627	
ENSG00000076356	ENST00000367033	ENSMMUP00000006067	
ENSG00000077238	ENST00000395762	ENSMMUP00000006203	
ENSG00000077585	ENST00000366592	ENSMMUP00000018729	
ENSG00000077782	ENST00000425967	ENSMMUP00000029571	
ENSG00000077943	ENST00000378076	ENSMMUP00000015308	
ENSG00000078549	ENST00000304166	ENSMMUP00000007003	
ENSG00000078589	ENST00000544091	ENSMMUP00000024511	
ENSG00000080031	ENST00000376350	ENSMMUP00000031431	
ENSG00000080224	ENST00000389672	ENSMMUP00000030709	
ENSG00000080293	ENST00000019103	ENSMMUP00000014567	
ENSG00000080644	ENST00000326828	ENSMMUP00000033376	
ENSG00000081237	ENST00000442510	ENSMMUP00000000013	
ENSG00000081479	ENST00000263816	ENSMMUP00000022551	
ENSG00000081985	ENST00000262345	ENSMMUP00000000879	
ENSG00000082556	ENST00000265572	ENSMMUP00000024155	
ENSG00000082781	ENST00000296181	ENSMMUP00000019059	
ENSG00000083454	ENST00000225328	ENSMMUP00000030795	
ENSG00000083457	ENST00000263087	ENSMMUP00000035412	
ENSG00000085514	ENST00000198536	
ENSG00000088053	ENST00000310373	ENSMMUP00000004169	
ENSG00000088812	ENST00000262919	ENSMMUP00000029333	
ENSG00000089041	ENST00000546057	ENSMMUP00000038509	
ENSG00000089692	ENST00000203629	ENSMMUP00000017334	
ENSG00000090339	ENST00000264832	ENSMMUP00000019554	
ENSG00000091181	ENST00000446632	ENSMMUP00000002467	
ENSG00000091409	ENST00000409080	ENSMMUP00000003172	
ENSG00000092096	ENST00000206544	ENSMMUP00000019360	
ENSG00000092421	ENST00000343348	ENSMMUP00000016091	
ENSG00000092445	ENST00000263798	ENSMMUP00000018152	
ENSG00000094661	ENST00000209540	ENSMMUP00000025454	
ENSG00000094755	ENST00000518525	ENSMMUP00000000765	
ENSG00000095970	ENST00000373113	ENSMMUP00000018299	
ENSG00000096264	ENST00000373089	ENSMMUP00000004900	
ENSG00000096433	ENST00000374316	
ENSG00000096996	ENST00000430026	ENSMMUP00000015864	
ENSG00000099250	ENST00000265371	ENSMMUP00000036036	
ENSG00000099957	ENST00000413302	ENSMMUP00000026969	
ENSG00000100368	ENST00000403662	ENSMMUP00000016218	
ENSG00000100385	ENST00000216223	ENSMMUP00000007156	
ENSG00000100739	ENST00000216629	ENSMMUP00000032596	
ENSG00000101000	ENST00000374477	ENSMMUP00000023844	
ENSG00000101017	ENST00000372285	ENSMMUP00000004910	
ENSG00000101180	ENST00000340177	ENSMMUP00000012565	
