ENSG00000003056	ENST00000000412	ENSMEUP00000000106
ENSG00000005884	ENST00000007722	ENSMEUP00000009612
ENSG00000019582	ENST00000009530	ENSMEUP00000013615
ENSG00000010610	ENST00000011653	
ENSG00000013588	ENST00000014914	ENSMEUP00000014892
ENSG00000080293	ENST00000019103	ENSMEUP00000009598
ENSG00000022355	ENST00000023897	ENSMEUP00000002551
ENSG00000048462	ENST00000053243	
ENSG00000054967	ENST00000064780	ENSMEUP00000010637
ENSG00000070985	ENST00000155858	ENSMEUP00000009074
ENSG00000067182	ENST00000162749	ENSMEUP00000010994
ENSG00000008300	ENST00000164024	ENSMEUP00000006665
ENSG00000070886	ENST00000166244	ENSMEUP00000002055
ENSG00000064300	ENST00000172229	ENSMEUP00000000793
ENSG00000069696	ENST00000176183	ENSMEUP00000010838
ENSG00000085514	ENST00000198536	
ENSG00000089692	ENST00000203629	ENSMEUP00000006085
ENSG00000092096	ENST00000206544	ENSMEUP00000014631
ENSG00000094661	ENST00000209540	ENSMEUP00000006114
ENSG00000069702	ENST00000212355	ENSMEUP00000014972
ENSG00000100385	ENST00000216223	ENSMEUP00000005477
ENSG00000100739	ENST00000216629	
ENSG00000101890	ENST00000218006	
ENSG00000101958	ENST00000218075	
ENSG00000102195	ENST00000218316	ENSMEUP00000014004
ENSG00000102539	ENST00000218721	ENSMEUP00000000415
ENSG00000103310	ENST00000219593	ENSMEUP00000012041
ENSG00000104332	ENST00000220772	ENSMEUP00000004592
ENSG00000104870	ENST00000221466	ENSMEUP00000007917
ENSG00000105369	ENST00000221972	
ENSG00000187266	ENST00000222139	ENSMEUP00000001731
ENSG00000105855	ENST00000222573	ENSMEUP00000011565
ENSG00000106327	ENST00000223051	ENSMEUP00000014979
ENSG00000107779	ENST00000224764	
ENSG00000083454	ENST00000225328	ENSMEUP00000008306
ENSG00000108405	ENST00000225538	ENSMEUP00000006871
ENSG00000108947	ENST00000226091	ENSMEUP00000012997
ENSG00000004468	ENST00000226279	ENSMEUP00000013763
ENSG00000109163	ENST00000226413	ENSMEUP00000006119
ENSG00000110324	ENST00000227752	ENSMEUP00000000141
ENSG00000110848	ENST00000228434	ENSMEUP00000008431
ENSG00000111291	ENST00000228887	ENSMEUP00000014900
ENSG00000111432	ENST00000229030	ENSMEUP00000001724
ENSG00000111729	ENST00000229332	
ENSG00000111796	ENST00000229402	
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSMEUP00000012640
ENSG00000113070	ENST00000230990	
ENSG00000113262	ENST00000231188	ENSMEUP00000007644
ENSG00000115602	ENST00000233954	ENSMEUP00000011710
ENSG00000116014	ENST00000234371	ENSMEUP00000004123
ENSG00000116032	ENST00000234389	ENSMEUP00000001324
ENSG00000116329	ENST00000234961	ENSMEUP00000010362
ENSG00000119686	ENST00000238667	ENSMEUP00000008197
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSMEUP00000003456
ENSG00000120659	ENST00000239849	ENSMEUP00000012608
ENSG00000213809	ENST00000240618	ENSMEUP00000012567
ENSG00000121853	ENST00000241256	ENSMEUP00000002126
ENSG00000121989	ENST00000241416	ENSMEUP00000008179
ENSG00000122025	ENST00000241453	ENSMEUP00000013873
ENSG00000122679	ENST00000242249	ENSMEUP00000004702
ENSG00000123146	ENST00000242786	ENSMEUP00000004963
ENSG00000123384	ENST00000243077	ENSMEUP00000002926
ENSG00000123612	ENST00000243349	ENSMEUP00000000673
ENSG00000123901	ENST00000243673	ENSMEUP00000014277
ENSG00000124089	ENST00000243911	ENSMEUP00000009105
ENSG00000124334	ENST00000244174	
ENSG00000124557	ENST00000244513	ENSMEUP00000007402
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	
ENSG00000125384	ENST00000245457	ENSMEUP00000001407
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	
ENSG00000125910	ENST00000246115	
