ENSG00000003056	ENST00000000412	ENSETEP00000016145
ENSG00000005884	ENST00000007722	
ENSG00000010610	ENST00000011653	ENSETEP00000008580
ENSG00000013588	ENST00000014914	ENSETEP00000008081
ENSG00000080293	ENST00000019103	ENSETEP00000008866
ENSG00000022355	ENST00000023897	ENSETEP00000004698
ENSG00000048462	ENST00000053243	ENSETEP00000013533
ENSG00000054967	ENST00000064780	ENSETEP00000012888
ENSG00000070985	ENST00000155858	
ENSG00000067182	ENST00000162749	ENSETEP00000008117
ENSG00000008300	ENST00000164024	ENSETEP00000015389
ENSG00000070886	ENST00000166244	ENSETEP00000009249
ENSG00000064300	ENST00000172229	ENSETEP00000002870
ENSG00000069696	ENST00000176183	ENSETEP00000013023
ENSG00000085514	ENST00000198536	
ENSG00000089692	ENST00000203629	ENSETEP00000012927
ENSG00000092096	ENST00000206544	ENSETEP00000015444
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	ENSETEP00000007595
ENSG00000100385	ENST00000216223	ENSETEP00000008181
ENSG00000100739	ENST00000216629	
ENSG00000101890	ENST00000218006	ENSETEP00000006495
ENSG00000101958	ENST00000218075	ENSETEP00000002269
ENSG00000102195	ENST00000218316	
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSETEP00000009812
ENSG00000104332	ENST00000220772	ENSETEP00000000023
ENSG00000104870	ENST00000221466	
ENSG00000105369	ENST00000221972	ENSETEP00000007443
ENSG00000187266	ENST00000222139	
ENSG00000105855	ENST00000222573	ENSETEP00000006993
ENSG00000106327	ENST00000223051	ENSETEP00000008576
ENSG00000107779	ENST00000224764	ENSETEP00000005710
ENSG00000083454	ENST00000225328	ENSETEP00000005824
ENSG00000108405	ENST00000225538	ENSETEP00000003337
ENSG00000108947	ENST00000226091	ENSETEP00000007299
ENSG00000004468	ENST00000226279	ENSETEP00000015674
ENSG00000109163	ENST00000226413	ENSETEP00000008933
ENSG00000110324	ENST00000227752	ENSETEP00000013142
ENSG00000110848	ENST00000228434	ENSETEP00000012239
ENSG00000111291	ENST00000228887	ENSETEP00000010705
ENSG00000111432	ENST00000229030	ENSETEP00000014601
ENSG00000111796	ENST00000229402	ENSETEP00000003232
ENSG00000204252	ENST00000229829	ENSETEP00000009441
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSETEP00000008935
ENSG00000113070	ENST00000230990	ENSETEP00000004225
ENSG00000113262	ENST00000231188	ENSETEP00000015688
ENSG00000115602	ENST00000233954	ENSETEP00000001191
ENSG00000116014	ENST00000234371	ENSETEP00000003825
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	ENSETEP00000006611
ENSG00000119686	ENST00000238667	ENSETEP00000014116
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSETEP00000007249
ENSG00000120659	ENST00000239849	ENSETEP00000014185
ENSG00000213809	ENST00000240618	ENSETEP00000009079
ENSG00000121853	ENST00000241256	ENSETEP00000014447
ENSG00000121989	ENST00000241416	
ENSG00000122025	ENST00000241453	ENSETEP00000001606
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSETEP00000013432
ENSG00000123384	ENST00000243077	ENSETEP00000003642
ENSG00000123612	ENST00000243349	ENSETEP00000008786
ENSG00000123901	ENST00000243673	ENSETEP00000015999
ENSG00000124089	ENST00000243911	ENSETEP00000002962
ENSG00000124334	ENST00000244174	
ENSG00000124557	ENST00000244513	ENSETEP00000015955
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	
ENSG00000125384	ENST00000245457	ENSETEP00000012657
ENSG00000125810	ENST00000246006	ENSETEP00000006825
ENSG00000125910	ENST00000246115	ENSETEP00000002695
ENSG00000126246	ENST00000246532	
ENSG00000126262	ENST00000246549	ENSETEP00000012711
ENSG00000126266	ENST00000246553	ENSETEP00000007900
ENSG00000126353	ENST00000246657	ENSETEP00000003752
ENSG00000127364	ENST00000247881	ENSETEP00000012295
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	
ENSG00000127780	ENST00000248384	
ENSG00000128285	ENST00000249016	ENSETEP00000007719
ENSG00000128310	ENST00000249041	ENSETEP00000003798
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSETEP00000007411
ENSG00000128617	ENST00000249389	ENSETEP00000015008
ENSG00000129048	ENST00000249887	ENSETEP00000001990
ENSG00000129749	ENST00000250699	ENSETEP00000012062
ENSG00000130164	ENST00000252444	ENSETEP00000000569
ENSG00000130202	ENST00000252483	ENSETEP00000003212
ENSG00000130234	ENST00000252519	ENSETEP00000001535
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	
ENSG00000130538	ENST00000252835	ENSETEP00000007153
ENSG00000131355	ENST00000253673	ENSETEP00000010076
ENSG00000131477	ENST00000253796	
ENSG00000132329	ENST00000254661	ENSETEP00000015736
ENSG00000132334	ENST00000254667	ENSETEP00000013987
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	ENSETEP00000007529
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSETEP00000006180
ENSG00000133019	ENST00000255380	ENSETEP00000003196
ENSG00000133800	ENST00000256178	ENSETEP00000012885
ENSG00000134061	ENST00000256447	ENSETEP00000004365
ENSG00000134243	ENST00000256637	ENSETEP00000010469
ENSG00000134250	ENST00000256646	ENSETEP00000013143
ENSG00000134489	ENST00000256906	
ENSG00000134640	ENST00000257068	
ENSG00000134817	ENST00000257254	ENSETEP00000013735
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSETEP00000011657
ENSG00000135409	ENST00000257863	ENSETEP00000011942
ENSG00000135424	ENST00000257879	ENSETEP00000007385
ENSG00000135577	ENST00000258042	ENSETEP00000002134
ENSG00000135902	ENST00000258385	ENSETEP00000015246
ENSG00000135914	ENST00000258400	ENSETEP00000012065
ENSG00000135960	ENST00000258443	ENSETEP00000011253
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSETEP00000016084
ENSG00000136834	ENST00000259357	ENSETEP00000006014
ENSG00000136839	ENST00000259362	ENSETEP00000011194
ENSG00000136928	ENST00000259455	ENSETEP00000013529
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSETEP00000010976
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	
ENSG00000149305	ENST00000260191	ENSETEP00000005887
ENSG00000137642	ENST00000260197	ENSETEP00000015300
ENSG00000138271	ENST00000260843	
ENSG00000138435	ENST00000261007	ENSETEP00000011399
ENSG00000138448	ENST00000261023	ENSETEP00000016482
ENSG00000069431	ENST00000261200	ENSETEP00000013309
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSETEP00000013355
ENSG00000240505	ENST00000261652	ENSETEP00000015607
ENSG00000111452	ENST00000261654	
ENSG00000073060	ENST00000261693	ENSETEP00000000009
ENSG00000117971	ENST00000261751	
ENSG00000113721	ENST00000261799	ENSETEP00000007283
ENSG00000067141	ENST00000261908	ENSETEP00000011963
ENSG00000037280	ENST00000261937	ENSETEP00000014789
ENSG00000038945	ENST00000262101	ENSETEP00000004786
ENSG00000106018	ENST00000262178	ENSETEP00000005856
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSETEP00000008136
ENSG00000005961	ENST00000262407	ENSETEP00000001064
ENSG00000065325	ENST00000262441	ENSETEP00000007715
ENSG00000105707	ENST00000262626	ENSETEP00000016138
ENSG00000075275	ENST00000262738	ENSETEP00000006163
ENSG00000105737	ENST00000262895	ENSETEP00000003494
ENSG00000088812	ENST00000262919	ENSETEP00000007429
ENSG00000083457	ENST00000263087	ENSETEP00000014108
ENSG00000105464	ENST00000263269	ENSETEP00000003690
ENSG00000010310	ENST00000263281	ENSETEP00000013010
ENSG00000109991	ENST00000263314	ENSETEP00000008744
ENSG00000104998	ENST00000263379	ENSETEP00000011603
ENSG00000113594	ENST00000263409	ENSETEP00000015533
ENSG00000054219	ENST00000263636	ENSETEP00000008034
ENSG00000115170	ENST00000263640	ENSETEP00000003437
ENSG00000092445	ENST00000263798	ENSETEP00000005013
ENSG00000062524	ENST00000263800	
ENSG00000081479	ENST00000263816	ENSETEP00000003225
ENSG00000128052	ENST00000263923	ENSETEP00000013459
ENSG00000120949	ENST00000263932	ENSETEP00000008675
ENSG00000110400	ENST00000264025	ENSETEP00000009966
ENSG00000121594	ENST00000264246	ENSETEP00000016471
ENSG00000115598	ENST00000264257	ENSETEP00000013442
ENSG00000109158	ENST00000264318	ENSETEP00000010706
ENSG00000125675	ENST00000264357	ENSETEP00000014705
ENSG00000109738	ENST00000264428	ENSETEP00000005643
ENSG00000108797	ENST00000264638	ENSETEP00000006953
ENSG00000144668	ENST00000264741	ENSETEP00000009763
ENSG00000090339	ENST00000264832	ENSETEP00000015717
ENSG00000138760	ENST00000264896	ENSETEP00000009888
ENSG00000099250	ENST00000265371	ENSETEP00000015155
ENSG00000082556	ENST00000265572	ENSETEP00000013677
ENSG00000139193	ENST00000266557	
ENSG00000139292	ENST00000266674	ENSETEP00000014922
ENSG00000139572	ENST00000267015	
ENSG00000065361	ENST00000267101	ENSETEP00000015158
ENSG00000139636	ENST00000267102	ENSETEP00000015801
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSETEP00000009987
ENSG00000140678	ENST00000268296	ENSETEP00000010476
ENSG00000140749	ENST00000268389	ENSETEP00000002037
ENSG00000141194	ENST00000268912	ENSETEP00000004529
ENSG00000141458	ENST00000269228	ENSETEP00000003038
ENSG00000141655	ENST00000269485	ENSETEP00000013094
ENSG00000141736	ENST00000269571	ENSETEP00000002380
ENSG00000142166	ENST00000270139	ENSETEP00000001357
ENSG00000187244	ENST00000270233	
ENSG00000142511	ENST00000270590	ENSETEP00000016355
ENSG00000143126	ENST00000271332	ENSETEP00000016325
ENSG00000143226	ENST00000271450	ENSETEP00000009727
ENSG00000163518	ENST00000271532	ENSETEP00000003115
ENSG00000144136	ENST00000272542	ENSETEP00000003369
ENSG00000144407	ENST00000272847	ENSETEP00000016248
ENSG00000144476	ENST00000272928	ENSETEP00000012580
ENSG00000144820	ENST00000273352	ENSETEP00000015644
ENSG00000145103	ENST00000273691	ENSETEP00000006643
ENSG00000145242	ENST00000273854	ENSETEP00000010823
ENSG00000145244	ENST00000273857	ENSETEP00000015482
ENSG00000145451	ENST00000274093	ENSETEP00000005196
ENSG00000145623	ENST00000274276	ENSETEP00000009896
ENSG00000145863	ENST00000274545	ENSETEP00000000742
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	ENSETEP00000016166
ENSG00000146648	ENST00000275493	ENSETEP00000011618
ENSG00000146904	ENST00000275815	ENSETEP00000008164
ENSG00000147138	ENST00000276077	ENSETEP00000005190
ENSG00000147246	ENST00000276198	ENSETEP00000011734
ENSG00000147262	ENST00000276218	ENSETEP00000001425
ENSG00000147434	ENST00000276410	ENSETEP00000012164
ENSG00000120889	ENST00000276431	
ENSG00000147650	ENST00000276654	ENSETEP00000011379
ENSG00000148136	ENST00000277216	ENSETEP00000005860
ENSG00000165204	ENST00000277309	ENSETEP00000012554
ENSG00000148734	ENST00000277942	ENSETEP00000000697
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSETEP00000006273
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSETEP00000004626
ENSG00000150269	ENST00000279791	ENSETEP00000008156
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSETEP00000007702
ENSG00000150938	ENST00000280527	
ENSG00000151490	ENST00000281171	ENSETEP00000004047
ENSG00000116106	ENST00000281821	ENSETEP00000009822
ENSG00000152207	ENST00000282018	ENSETEP00000001973
ENSG00000152208	ENST00000282020	ENSETEP00000016086
ENSG00000152578	ENST00000282499	ENSETEP00000000218
ENSG00000213949	ENST00000282588	ENSETEP00000009827
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSETEP00000012986
ENSG00000153246	ENST00000283243	ENSETEP00000015259
ENSG00000115221	ENST00000283249	ENSETEP00000015261
ENSG00000153563	ENST00000283635	ENSETEP00000012809
ENSG00000196119	ENST00000284287	
ENSG00000154165	ENST00000284311	
ENSG00000154309	ENST00000284476	ENSETEP00000002958
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	ENSETEP00000001620
ENSG00000155249	ENST00000285600	ENSETEP00000010245
ENSG00000155511	ENST00000285900	ENSETEP00000014599
ENSG00000155760	ENST00000286201	
ENSG00000182578	ENST00000286301	ENSETEP00000000601
ENSG00000157219	ENST00000287907	
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSETEP00000007086
ENSG00000056736	ENST00000288167	ENSETEP00000006179
ENSG00000173285	ENST00000289451	ENSETEP00000004749
ENSG00000015520	ENST00000289547	ENSETEP00000006257
ENSG00000158748	ENST00000289753	ENSETEP00000008771
ENSG00000158869	ENST00000289902	ENSETEP00000012777
ENSG00000147432	ENST00000289957	ENSETEP00000011246
ENSG00000243646	ENST00000290200	ENSETEP00000001830
ENSG00000159128	ENST00000290219	ENSETEP00000001181
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSETEP00000009243
ENSG00000160013	ENST00000291294	
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	ENSETEP00000012111
ENSG00000160683	ENST00000292174	ENSETEP00000011349
ENSG00000121807	ENST00000292301	
ENSG00000160951	ENST00000292513	
ENSG00000161509	ENST00000293190	ENSETEP00000014329
ENSG00000161638	ENST00000293379	ENSETEP00000015539
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSETEP00000007199
ENSG00000108556	ENST00000293780	ENSETEP00000007185
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSETEP00000009455
ENSG00000153208	ENST00000295408	ENSETEP00000001770
ENSG00000163251	ENST00000295417	ENSETEP00000000867
ENSG00000163285	ENST00000295452	ENSETEP00000010826
ENSG00000163288	ENST00000295454	ENSETEP00000016455
ENSG00000163394	ENST00000295589	ENSETEP00000001767
ENSG00000163464	ENST00000295683	
ENSG00000054356	ENST00000295718	ENSETEP00000016219
ENSG00000163702	ENST00000295981	ENSETEP00000005325
ENSG00000163785	ENST00000296084	ENSETEP00000009570
ENSG00000163823	ENST00000296140	ENSETEP00000015875
ENSG00000082781	ENST00000296181	ENSETEP00000003189
ENSG00000163914	ENST00000296271	ENSETEP00000000222
ENSG00000164078	ENST00000296474	ENSETEP00000013062
ENSG00000120251	ENST00000296526	ENSETEP00000001159
ENSG00000164128	ENST00000296533	ENSETEP00000010357
ENSG00000164171	ENST00000296585	ENSETEP00000012051
