ENSG00000003056	ENST00000000412	ENSPCAP00000013437
ENSG00000005884	ENST00000007722	ENSPCAP00000007541
ENSG00000019582	ENST00000009530	ENSPCAP00000013419
ENSG00000010610	ENST00000011653	ENSPCAP00000015251
ENSG00000013588	ENST00000014914	ENSPCAP00000007535
ENSG00000080293	ENST00000019103	ENSPCAP00000006259
ENSG00000022355	ENST00000023897	ENSPCAP00000002384
ENSG00000048462	ENST00000053243	ENSPCAP00000009570
ENSG00000054967	ENST00000064780	ENSPCAP00000015439
ENSG00000070985	ENST00000155858	ENSPCAP00000006290
ENSG00000067182	ENST00000162749	ENSPCAP00000008441
ENSG00000008300	ENST00000164024	ENSPCAP00000002887
ENSG00000070886	ENST00000166244	ENSPCAP00000001169
ENSG00000064300	ENST00000172229	ENSPCAP00000013507
ENSG00000069696	ENST00000176183	ENSPCAP00000009998
ENSG00000085514	ENST00000198536	
ENSG00000089692	ENST00000203629	
ENSG00000092096	ENST00000206544	ENSPCAP00000001430
ENSG00000094661	ENST00000209540	
ENSG00000069702	ENST00000212355	
ENSG00000100385	ENST00000216223	ENSPCAP00000009348
ENSG00000100739	ENST00000216629	ENSPCAP00000009740
ENSG00000101890	ENST00000218006	ENSPCAP00000007432
ENSG00000101958	ENST00000218075	ENSPCAP00000008143
ENSG00000102195	ENST00000218316	ENSPCAP00000006662
ENSG00000102539	ENST00000218721	ENSPCAP00000013281
ENSG00000103310	ENST00000219593	ENSPCAP00000011378
ENSG00000104332	ENST00000220772	ENSPCAP00000001141
ENSG00000104870	ENST00000221466	ENSPCAP00000013688
ENSG00000105369	ENST00000221972	ENSPCAP00000013365
ENSG00000187266	ENST00000222139	ENSPCAP00000014542
ENSG00000105855	ENST00000222573	ENSPCAP00000015274
ENSG00000106327	ENST00000223051	ENSPCAP00000005982
ENSG00000107779	ENST00000224764	ENSPCAP00000012357
ENSG00000083454	ENST00000225328	ENSPCAP00000011465
ENSG00000108405	ENST00000225538	ENSPCAP00000011983
ENSG00000108947	ENST00000226091	ENSPCAP00000012020
ENSG00000004468	ENST00000226279	ENSPCAP00000001256
ENSG00000109163	ENST00000226413	ENSPCAP00000005035
ENSG00000110324	ENST00000227752	ENSPCAP00000000221
ENSG00000110848	ENST00000228434	
ENSG00000111291	ENST00000228887	ENSPCAP00000007544
ENSG00000111432	ENST00000229030	
ENSG00000111729	ENST00000229332	ENSPCAP00000011765
ENSG00000111796	ENST00000229402	ENSPCAP00000014353
ENSG00000204252	ENST00000229829	ENSPCAP00000008518
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSPCAP00000013005
ENSG00000113070	ENST00000230990	ENSPCAP00000007010
ENSG00000113262	ENST00000231188	
ENSG00000115602	ENST00000233954	ENSPCAP00000005200
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	ENSPCAP00000007919
ENSG00000119686	ENST00000238667	ENSPCAP00000008125
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSPCAP00000015580
ENSG00000120659	ENST00000239849	ENSPCAP00000011267
ENSG00000213809	ENST00000240618	ENSPCAP00000003382
ENSG00000121853	ENST00000241256	ENSPCAP00000005566
ENSG00000121989	ENST00000241416	ENSPCAP00000000025
ENSG00000122025	ENST00000241453	ENSPCAP00000006343
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSPCAP00000005280
ENSG00000123384	ENST00000243077	ENSPCAP00000013518
ENSG00000123612	ENST00000243349	ENSPCAP00000006673
ENSG00000123901	ENST00000243673	ENSPCAP00000015220
ENSG00000124089	ENST00000243911	
ENSG00000124334	ENST00000244174	
ENSG00000124557	ENST00000244513	
ENSG00000124657	ENST00000244623	ENSPCAP00000001764
ENSG00000124731	ENST00000244709	
ENSG00000125384	ENST00000245457	ENSPCAP00000006050
ENSG00000125810	ENST00000246006	ENSPCAP00000003705
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	ENSPCAP00000004516
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	ENSPCAP00000006160
ENSG00000126353	ENST00000246657	
ENSG00000127364	ENST00000247881	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSPCAP00000004213
ENSG00000127780	ENST00000248384	
ENSG00000128285	ENST00000249016	
ENSG00000128310	ENST00000249041	ENSPCAP00000006074
ENSG00000128519	ENST00000249284	ENSPCAP00000013185
ENSG00000128602	ENST00000249373	ENSPCAP00000011149
ENSG00000128617	ENST00000249389	
ENSG00000129048	ENST00000249887	
ENSG00000129749	ENST00000250699	ENSPCAP00000001847
ENSG00000130164	ENST00000252444	ENSPCAP00000001344
ENSG00000130202	ENST00000252483	ENSPCAP00000009687
ENSG00000130234	ENST00000252519	ENSPCAP00000012014
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSPCAP00000004080
ENSG00000130538	ENST00000252835	ENSPCAP00000001704
ENSG00000131355	ENST00000253673	ENSPCAP00000011189
ENSG00000131477	ENST00000253796	ENSPCAP00000012806
ENSG00000132329	ENST00000254661	
ENSG00000132334	ENST00000254667	ENSPCAP00000006918
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	ENSPCAP00000015307
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	
ENSG00000133019	ENST00000255380	ENSPCAP00000001576
ENSG00000133800	ENST00000256178	
ENSG00000134061	ENST00000256447	
ENSG00000134243	ENST00000256637	ENSPCAP00000006271
ENSG00000134250	ENST00000256646	ENSPCAP00000002615
ENSG00000134489	ENST00000256906	ENSPCAP00000012491
ENSG00000134640	ENST00000257068	ENSPCAP00000007398
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	ENSPCAP00000003544
ENSG00000134853	ENST00000257290	ENSPCAP00000005331
ENSG00000135409	ENST00000257863	ENSPCAP00000004730
ENSG00000135424	ENST00000257879	ENSPCAP00000008494
ENSG00000135577	ENST00000258042	ENSPCAP00000000225
ENSG00000135902	ENST00000258385	ENSPCAP00000014993
ENSG00000135914	ENST00000258400	ENSPCAP00000005516
ENSG00000135960	ENST00000258443	ENSPCAP00000000090
ENSG00000135973	ENST00000258456	ENSPCAP00000003925
ENSG00000136040	ENST00000258526	ENSPCAP00000015331
ENSG00000136834	ENST00000259357	ENSPCAP00000001938
ENSG00000136839	ENST00000259362	ENSPCAP00000014901
ENSG00000136928	ENST00000259455	ENSPCAP00000014611
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSPCAP00000013414
ENSG00000137332	ENST00000259875	
ENSG00000137462	ENST00000260010	
ENSG00000149305	ENST00000260191	ENSPCAP00000013647
ENSG00000137642	ENST00000260197	ENSPCAP00000008779
ENSG00000138271	ENST00000260843	ENSPCAP00000007874
ENSG00000138435	ENST00000261007	ENSPCAP00000002175
ENSG00000138448	ENST00000261023	ENSPCAP00000014723
ENSG00000069431	ENST00000261200	ENSPCAP00000002903
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSPCAP00000004438
ENSG00000240505	ENST00000261652	ENSPCAP00000003536
ENSG00000111452	ENST00000261654	ENSPCAP00000007883
ENSG00000073060	ENST00000261693	ENSPCAP00000000673
ENSG00000117971	ENST00000261751	
ENSG00000113721	ENST00000261799	ENSPCAP00000007817
ENSG00000067141	ENST00000261908	ENSPCAP00000004764
ENSG00000037280	ENST00000261937	ENSPCAP00000013888
ENSG00000038945	ENST00000262101	ENSPCAP00000014881
ENSG00000106018	ENST00000262178	
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSPCAP00000002997
ENSG00000005961	ENST00000262407	
ENSG00000065325	ENST00000262441	ENSPCAP00000003776
ENSG00000105707	ENST00000262626	ENSPCAP00000004561
ENSG00000075275	ENST00000262738	ENSPCAP00000012820
ENSG00000105737	ENST00000262895	ENSPCAP00000007716
ENSG00000088812	ENST00000262919	ENSPCAP00000004159
ENSG00000083457	ENST00000263087	ENSPCAP00000011685
ENSG00000105464	ENST00000263269	ENSPCAP00000003065
ENSG00000010310	ENST00000263281	ENSPCAP00000015699
ENSG00000109991	ENST00000263314	ENSPCAP00000002198
ENSG00000104998	ENST00000263379	ENSPCAP00000001370
ENSG00000113594	ENST00000263409	ENSPCAP00000000074
ENSG00000054219	ENST00000263636	ENSPCAP00000002891
ENSG00000115170	ENST00000263640	ENSPCAP00000008131
ENSG00000092445	ENST00000263798	ENSPCAP00000003704
ENSG00000062524	ENST00000263800	ENSPCAP00000005249
ENSG00000081479	ENST00000263816	ENSPCAP00000001891
ENSG00000128052	ENST00000263923	ENSPCAP00000000924
ENSG00000120949	ENST00000263932	ENSPCAP00000013351
ENSG00000110400	ENST00000264025	ENSPCAP00000008402
ENSG00000121594	ENST00000264246	
ENSG00000115598	ENST00000264257	ENSPCAP00000008967
ENSG00000109158	ENST00000264318	ENSPCAP00000007862
ENSG00000125675	ENST00000264357	ENSPCAP00000001094
ENSG00000109738	ENST00000264428	ENSPCAP00000010310
ENSG00000108797	ENST00000264638	ENSPCAP00000015724
ENSG00000144668	ENST00000264741	ENSPCAP00000010300
ENSG00000138760	ENST00000264896	ENSPCAP00000004031
ENSG00000099250	ENST00000265371	ENSPCAP00000010540
ENSG00000082556	ENST00000265572	ENSPCAP00000004993
ENSG00000139193	ENST00000266557	ENSPCAP00000009109
ENSG00000139292	ENST00000266674	ENSPCAP00000003427
ENSG00000139572	ENST00000267015	ENSPCAP00000000794
ENSG00000065361	ENST00000267101	ENSPCAP00000005068
ENSG00000139636	ENST00000267102	ENSPCAP00000003808
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSPCAP00000015555
ENSG00000140678	ENST00000268296	ENSPCAP00000014475
ENSG00000140749	ENST00000268389	
ENSG00000141458	ENST00000269228	ENSPCAP00000011252
ENSG00000141505	ENST00000269299	ENSPCAP00000014265
ENSG00000141655	ENST00000269485	
ENSG00000141736	ENST00000269571	ENSPCAP00000006065
ENSG00000142166	ENST00000270139	ENSPCAP00000008959
ENSG00000187244	ENST00000270233	ENSPCAP00000009617
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSPCAP00000006082
ENSG00000143226	ENST00000271450	ENSPCAP00000003267
ENSG00000163518	ENST00000271532	ENSPCAP00000012347
ENSG00000144136	ENST00000272542	
ENSG00000144407	ENST00000272847	ENSPCAP00000009901
ENSG00000144476	ENST00000272928	ENSPCAP00000002907
ENSG00000144820	ENST00000273352	ENSPCAP00000003891
ENSG00000145103	ENST00000273691	ENSPCAP00000015551
ENSG00000145242	ENST00000273854	ENSPCAP00000002456
ENSG00000145244	ENST00000273857	ENSPCAP00000008372
ENSG00000145451	ENST00000274093	ENSPCAP00000006126
ENSG00000145623	ENST00000274276	ENSPCAP00000004313
ENSG00000145863	ENST00000274545	ENSPCAP00000002681
ENSG00000146360	ENST00000275169	ENSPCAP00000004574
ENSG00000146399	ENST00000275216	
ENSG00000146648	ENST00000275493	ENSPCAP00000005960
ENSG00000146904	ENST00000275815	ENSPCAP00000011333
ENSG00000147138	ENST00000276077	ENSPCAP00000005143
ENSG00000147246	ENST00000276198	ENSPCAP00000015781
ENSG00000147262	ENST00000276218	ENSPCAP00000011992
ENSG00000147434	ENST00000276410	ENSPCAP00000001714
ENSG00000120889	ENST00000276431	ENSPCAP00000010597
ENSG00000147650	ENST00000276654	ENSPCAP00000014566
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	ENSPCAP00000008983
ENSG00000148734	ENST00000277942	ENSPCAP00000006361
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSPCAP00000005732
ENSG00000150045	ENST00000279544	ENSPCAP00000003923
ENSG00000150086	ENST00000279593	ENSPCAP00000012995
ENSG00000150261	ENST00000279783	ENSPCAP00000009971
ENSG00000150269	ENST00000279791	ENSPCAP00000015410
ENSG00000150594	ENST00000280155	ENSPCAP00000008833
ENSG00000150637	ENST00000280200	
ENSG00000150938	ENST00000280527	ENSPCAP00000007652
ENSG00000151490	ENST00000281171	ENSPCAP00000001206
ENSG00000116106	ENST00000281821	ENSPCAP00000007693
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSPCAP00000009449
ENSG00000152578	ENST00000282499	ENSPCAP00000002799
ENSG00000213949	ENST00000282588	ENSPCAP00000002625
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSPCAP00000012010
ENSG00000153246	ENST00000283243	ENSPCAP00000003019
ENSG00000115221	ENST00000283249	ENSPCAP00000011621
ENSG00000153563	ENST00000283635	ENSPCAP00000013977
ENSG00000196119	ENST00000284287	ENSPCAP00000003178
ENSG00000154165	ENST00000284311	
ENSG00000154309	ENST00000284476	ENSPCAP00000009194
ENSG00000154478	ENST00000284674	ENSPCAP00000008813
ENSG00000154639	ENST00000284878	ENSPCAP00000011995
ENSG00000155249	ENST00000285600	ENSPCAP00000001422
ENSG00000155511	ENST00000285900	ENSPCAP00000002303
ENSG00000155760	ENST00000286201	
ENSG00000182578	ENST00000286301	ENSPCAP00000011134
ENSG00000157219	ENST00000287907	ENSPCAP00000012204
ENSG00000157240	ENST00000287934	ENSPCAP00000002490
ENSG00000157404	ENST00000288135	ENSPCAP00000007199
ENSG00000056736	ENST00000288167	ENSPCAP00000011303
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	ENSPCAP00000015774
ENSG00000158748	ENST00000289753	ENSPCAP00000004630
ENSG00000158869	ENST00000289902	ENSPCAP00000012894
ENSG00000147432	ENST00000289957	ENSPCAP00000008542
ENSG00000243646	ENST00000290200	ENSPCAP00000007027
ENSG00000159128	ENST00000290219	ENSPCAP00000008607
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSPCAP00000006111
