enst	genename	AIC2	AIC3	trans2w	trans2k	extraw	extrak	trans3w	trans3k	outerw	outerk	innerw	innerk
ENST00000014914	GPRC5A	13983.3	13964.7	0.180807	2.97215	0.299555	2.09836	0.180804	2.97226	0.219505	1.76395	0.517774	2.59471
ENST00000209540	OR1I1	11707.8	11709.7	0.143389	3.48282	0.232914	3.23303	0.143404	3.48351	0.287857	3.60256	0.186836	3.08051
ENST00000216629	BDKRB1	14956.8	14971.4	0.175806	2.70558	0.353212	3.16777	0.175865	2.70576	0.399216	3.79347	0.312636	2.73885
ENST00000218316	GPR50	11531.1	11513.5	0.0976331	4.48115	0.381619	3.07239	0.0975971	4.49303	0.419034	3.09823	0.209052	2.98642
ENST00000226413	GNRHR	15435.1	15448.8	0.135899	3.02661	0.237326	3.22356	0.135919	3.02619	0.234938	3.0631	0.242844	3.25199
ENST00000228887	GPRC5D	20868.4	20836.7	0.17323	2.33952	0.300842	2.23403	0.173198	2.33903	0.349292	2.27083	0.211802	2.23426
ENST00000234961	OPRD1	9888.8	9888.94	0.0377457	3.20041	0.0883116	3.70929	0.0377434	3.20137	0.0673112	2.81371	0.107321	4.62628
ENST00000241256	GHSR	13100.4	13065.8	0.0267296	3.19077	0.108732	2.59412	0.0267327	3.19103	0.108954	2.96899	0.0980173	2.40107
ENST00000244623	OR2B6	11246.9	11249.1	0.199972	2.12182	0.265567	3.22994	0.199943	2.12141	0.258456	3.10417	0.266988	3.34246
ENST00000245457	PTGER2	15683.8	15665.6	0.130141	2.77611	0.286377	3.14913	0.130191	2.77675	0.370474	3.34872	0.185591	2.92766
ENST00000246115	S1PR4	11454.1	11450.9	0.113669	2.42775	0.0901288	2.82097	0.113674	2.42646	0.0853571	3.08299	0.103044	2.44237
ENST00000246549	FFAR2	11656.6	11624.1	0.0948069	2.32312	0.268127	2.14836	0.0948426	2.32312	0.254149	2.36656	0.252395	1.91321
ENST00000246553	FFAR1	11264.8	11282.2	0.110603	3.8363	0.227829	3.32619	0.110621	3.83424	0.251182	3.1536	0.222393	3.46671
ENST00000246657	CCR7	11196.4	11190.7	0.0955629	3.46285	0.094351	2.77557	0.0955538	3.46276	0.0586767	2.96235	0.127846	2.79711
