gene	enst	transw	trans_sd	transk	extraw	extra_sd	extrak	transcat	extracat	translen	extralen	transpos	extrapos	chemo
ADCYAP1R1	ENST00000304166	0.058680788	0.070879542	2.9443	0.131874471	0.183743549	2.62328	2	3	141	269	0	0	0
ADORA1	ENST00000309502	0.058675607	0.076055481	4.38014	0.098713828	0.153088335	3.00399	2	3	140	146	0	0	0
ADORA2B	ENST00000304222	0.094105674	0.114316771	3.64685	0.260293411	0.402154975	3.20625	2	3	135	144	0	9	0
ADORA3	ENST00000369716	0.227879387	0.261576912	3.23325	0.426588523	0.31007069	3.94473	2	2	138	175	0	0	0
ADRA1A	ENST00000380586	0.036933767	0.090665862	2.88134	0.125234099	0.169875089	2.29996	3	3	140	294	0	0	0
ADRA1B	ENST00000306675	0.027108628	0.081411448	3.08231	0.120302655	0.173045289	2.41049	2	3	137	333	0	0	0
ADRA2A	ENST00000280155	0.027981753	0.040731239	4.43862	0.090258498	0.124372705	3.16876	2	2	142	282	0	0	0
ADRA2B	ENST00000409345	0.015040382	0.035721104	3.9259	0.245913846	0.301180712	2.75754	2	3	137	265	0	11	0
ADRB2	ENST00000305988	0.039012502	0.080618882	3.96832	0.202956946	0.204679666	2.75022	2	2	137	232	0	0	0
ADRB3	ENST00000345060	0.067041625	0.125854641	3.76186	0.253450477	0.26450982	3.33353	3	4	131	218	0	0	0
AGTR1	ENST00000497524	0.067398935	0.124550282	2.41192	0.116062836	0.159707982	2.68328	2	2	143	181	0	0	0
AGTR2	ENST00000371906	0.112195509	0.124164878	2.70055	0.241502373	0.223184952	2.65338	2	2	139	182	0	0	0
APLNR	ENST00000257254	0.040974837	0.054502839	5.39498	0.095508839	0.120721678	2.85509	2	2	142	199	0	0	0
AVPR1A	ENST00000299178	0.060030951	0.069439247	3.79073	0.212122741	0.24502294	2.59846	2	3	133	235	0	0	0
AVPR1B	ENST00000367126	0.069147668	0.098758106	5.51803	0.281541928	0.271377938	3.95885	2	3	133	238	0	0	0
BDKRB1	ENST00000216629	1.543275196	2.099072824	2.66316	0.387772801	0.256494767	3.24582	3	2	137	168	58	0	0
BDKRB2	ENST00000554311	0.137186539	0.160048712	2.87569	0.205627291	0.226319634	2.63644	2	3	132	200	0	0	0
BRS3	ENST00000370648	0.128078239	0.235183964	2.52133	0.420091706	0.422123197	3.0096	3	3	141	216	7	20	0
C3AR1	ENST00000307637	0.322254117	0.422075931	4.4572	0.794686054	0.507735338	3.52693	3	3	138	296	20	113	0
CALCR	ENST00000359558	0.195085991	0.290638444	2.07019	0.397886322	0.359098441	1.88521	3	3	128	309	9	32	0
CALCRL	ENST00000392370	0.054833322	0.079921144	2.64984	0.139088123	0.224879936	2.21748	2	3	136	285	0	0	0
CCBP2	ENST00000442925	0.240054895	0.374850389	4.09592	0.32947592	0.244047033	3.68196	3	3	134	197	16	0	0
CCKAR	ENST00000295589	0.023363017	0.056149453	2.94584	0.140903615	0.172416216	2.69481	2	2	135	243	0	0	0
CCKBR	ENST00000334619	0.100900381	0.185850777	3.37715	0.1742615	0.199131784	3.1569	2	3	133	266	0	0	0
CCR1	ENST00000296140	0.247290018	0.370194515	3.40035	0.340783262	0.331303574	2.79512	3	3	137	175	13	0	0
CCR10	ENST00000332438	0.060669047	0.12342518	6.62643	0.123189593	0.15567672	3.60919	3	2	137	189	0	0	0
CCR2	ENST00000292301	0.134629242	0.122097608	2.41798	0.482255285	0.422056269	2.49256	2	3	129	199	0	21	0
CCR3	ENST00000545097	0.185389937	0.215352023	2.96204	0.512952822	0.605860958	2.7994	3	4	133	193	0	56	0
CCR4	ENST00000330953	0.081433336	0.093553282	2.89625	0.179646489	0.206316254	2.40057	2	3	138	180	0	0	0
CCR5	ENST00000343801	0.178119241	0.18829192	2.73031	0.3081714	0.341621481	3.27244	2	3	129	175	0	14	0
CCR7	ENST00000246657	0.121072475	0.2097769	3.62942	0.105098788	0.112910007	2.86405	2	2	137	192	0	0	0
CCR8	ENST00000326306	0.245470205	0.37060934	3.70139	0.364510518	0.328133569	3.41175	3	2	139	172	11	0	0
CCRL1	ENST00000249887	0.161222528	0.240985289	3.03392	0.194613942	0.199529754	2.54992	3	2	142	176	4	0	0
CCRL2	ENST00000357392	0.580749844	0.350154144	2.99817	0.537720622	0.217261293	2.40331	2	2	134	178	0	0	0
CHRM1	ENST00000306960	0.012439274	0.041794872	3.96743	0.045305182	0.075071274	2.85706	2	2	134	273	0	0	0
CHRM2	ENST00000445907	0.00904616	0	2.25573	0.100073927	0.194327843	2.2171	1	3	134	273	0	2	0
CHRM3	ENST00000255380	0.015125884	0.039581847	2.15238	0.118029915	0.174038217	2.61393	2	3	135	402	0	0	0
